alpha,q,z_lz_scaling,c_out,superradiant_allowed,a_res_over_rc,r_peri_over_x90_upper,required_cloud_fraction_for_hpeak_1e-23_at_1kpc
0.18,0.0001,0.738269,0.0978619,1,29.849,0.175056,0.483818
0.18,0.001,7.38269,0,1,29.8579,0.175109,1e+273
0.18,0.01,73.8269,0,1,29.9471,0.175632,1e+273
0.24,0.0001,0.175195,0.471149,1,29.7978,0.174756,0.0565276
0.24,0.001,1.75195,0.00407083,1,29.8067,0.174809,6.54238
0.24,0.01,17.5195,0,1,29.8958,0.175331,1e+273
0.3,0.0001,0.0574078,0.459476,1,29.7343,0.174384,0.0370968
0.3,0.001,0.574078,0.162468,1,29.7432,0.174436,0.104913
0.3,0.01,5.74078,1.49012e-08,1,29.8321,0.174957,1.14387e+06
0.34,0.0001,0.0307031,0.380349,1,29.6856,0.174098,0.03489
0.34,0.001,0.307031,0.352377,1,29.6945,0.17415,0.0376596
0.34,0.01,3.07031,6.47053e-05,1,29.7832,0.174671,205.089
