z_lz,lambda_sweep,p_tr_lz,c_out_lz,p_g_post,p_e_post,c_post,h_peak_post_over_A0,representative_label
1.000000000000e+01,5.740777240495e-02,1.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,0.000000000000e+00,
7.550250000000e+00,7.603426695136e-02,1.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,0.000000000000e+00,slow
5.000000000000e+00,1.148155448099e-01,1.000000000000e+00,1.508627588400e-07,2.275957200482e-14,1.000000000000e+00,1.508627588400e-07,1.508627588400e-07,
2.000000000000e+00,2.870388620248e-01,9.999965126576e-01,1.867439475503e-03,3.487342356223e-06,9.999965126576e-01,1.867439475503e-03,1.867439475503e-03,
1.000000000000e+00,5.740777240495e-01,9.981325572683e-01,4.317354964966e-02,1.867442731708e-03,9.981325572683e-01,4.317354964966e-02,4.317354964966e-02,
5.740777240495e-01,1.000000000000e+00,9.728678720731e-01,1.624683832660e-01,2.713212792690e-02,9.728678720731e-01,1.624683832660e-01,1.624683832660e-01,reference
5.000000000000e-01,1.148155448099e+00,9.567860817362e-01,2.033383277497e-01,4.321391826377e-02,9.567860817362e-01,2.033383277497e-01,2.033383277497e-01,
2.000000000000e-01,2.870388620248e+00,7.153904566640e-01,4.512282694802e-01,2.846095433360e-01,7.153904566640e-01,4.512282694802e-01,4.512282694802e-01,
1.000000000000e-01,5.740777240495e+00,4.665119089089e-01,4.988772872712e-01,5.334880910911e-01,4.665119089089e-01,4.988772872712e-01,4.988772872712e-01,
3.000000000000e-02,1.913592413498e+01,1.717958186931e-01,3.772028835689e-01,8.282041813069e-01,1.717958186931e-01,3.772028835689e-01,3.772028835689e-01,
1.000000000000e-02,5.740777240495e+01,6.089863257571e-02,2.391442851630e-01,9.391013674243e-01,6.089863257571e-02,2.391442851630e-01,2.391442851630e-01,
3.000000000000e-03,1.913592413498e+02,1.867301402796e-02,1.353673984941e-01,9.813269859720e-01,1.867301402796e-02,1.353673984941e-01,1.353673984941e-01,
1.000000000000e-04,5.740777240495e+03,6.281211799651e-04,2.505447352766e-02,9.993718788200e-01,6.281211799651e-04,2.505447352766e-02,2.505447352766e-02,very_fast
