# module=lowfre211_snrprobe
# detector=DECIGO
# transition_family=hyperfine
# transition_states=|21-1> -> |211>
# direction=upward
# method=exact_fft_capped_monotone
# redshift=2.1999999999999999e-02
# luminosity_distance_m=8.5583199794946389e+20
# primary_mass_msun=1.5000000000000000e+03
# secondary_mass_msun=5.0000000000000000e-01
# alpha=2.8989898989898988e-01
# transition_frequency_obs_hz=3.6192672428086684e-03
# selected_resonance_harmonic=4
# available_observation_years=4.0880000000000005e-01
# alignment_duration_s=1.0519200000000000e+06
# alignment_time_shift_s=0.0000000000000000e+00
# alignment_phase_shift_rad=4.5771170094027237e-12
# analysis_band_low_hz=2.0911652312999999e-03
# analysis_band_high_hz=5.1461456108181439e-02
# columns=observation_years effective_observation_years mismatch raw_mismatch distinguishability_threshold snr
3.333333333333333287e-02 3.333333333333333287e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
6.666666666666666574e-02 6.666666666666666574e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
1.000000000000000056e-01 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
1.333333333333333315e-01 1.333333333333333315e-01 4.440892098500626162e-16 4.440892098500626162e-16 1.300000000000000148e+61 0.000000000000000000e+00
1.666666666666666574e-01 1.666666666666666574e-01 4.440892098500626162e-16 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
1.999999999999999833e-01 1.999999999999999833e-01 4.440892098500626162e-16 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
2.333333333333333370e-01 2.333333333333333370e-01 1.091395320194930019e-01 1.091395320194930019e-01 2.016685063826398894e-01 5.677245012193966822e+00
2.666666666666666630e-01 2.666666666666666630e-01 2.215542209265124463e-01 2.215542209265124463e-01 1.336883889030183736e-01 6.972842145180718099e+00
2.999999999999999889e-01 2.999999999999999889e-01 3.100987985734501295e-01 3.100987985734501295e-01 1.136154185207302186e-01 7.563765257925811447e+00
3.333333333333333148e-01 3.333333333333333148e-01 3.779066430576071278e-01 3.779066430576071278e-01 1.024512469696738093e-01 7.965225106242507458e+00
3.666666666666666408e-01 3.666666666666666408e-01 4.350093166656526789e-01 4.350093166656526789e-01 1.003580922814873017e-01 8.047861240014844597e+00
4.000000000000000222e-01 4.000000000000000222e-01 4.839623787934157484e-01 4.839623787934157484e-01 1.001829292302011953e-01 8.054893736938884885e+00
