# module=lowfre211v_snrprobe
# detector=DECIGO
# transition_family=hyperfine
# transition_states=|211> -> |21-1>
# direction=downward
# method=exact_fft_capped_monotone
# redshift=2.1999999999999999e-02
# luminosity_distance_m=1.9356146463376536e+20
# primary_mass_msun=1.5000000000000000e+03
# secondary_mass_msun=5.0000000000000000e-01
# alpha=2.9595959595959598e-01
# transition_frequency_obs_hz=4.1393179974272458e-03
# selected_resonance_harmonic=4
# available_observation_years=4.0880000000000005e-01
# alignment_duration_s=1.0519200000000000e+06
# alignment_time_shift_s=0.0000000000000000e+00
# alignment_phase_shift_rad=9.9421013923814329e-13
# analysis_band_low_hz=2.0911652312999999e-03
# analysis_band_high_hz=2.6484989991276287e-01
# columns=observation_years effective_observation_years mismatch raw_mismatch distinguishability_threshold snr
3.333333333333333287e-02 3.333333333333333287e-02 4.440892098500626162e-16 4.440892098500626162e-16 1.300000000000000148e+61 0.000000000000000000e+00
6.666666666666666574e-02 6.666666666666666574e-02 4.440892098500626162e-16 1.110223024625156540e-16 1.300000000000000148e+61 0.000000000000000000e+00
1.000000000000000056e-01 1.000000000000000056e-01 4.440892098500626162e-16 3.330669073875469621e-16 1.300000000000000148e+61 0.000000000000000000e+00
1.333333333333333315e-01 1.333333333333333315e-01 4.440892098500626162e-16 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
1.666666666666666574e-01 1.666666666666666574e-01 4.440892098500626162e-16 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
1.999999999999999833e-01 1.999999999999999833e-01 4.440892098500626162e-16 0.000000000000000000e+00 1.300000000000000148e+61 0.000000000000000000e+00
2.333333333333333370e-01 2.333333333333333370e-01 3.109220404855173037e-02 3.109220404855173037e-02 6.483595651515509095e-01 3.166275621813919194e+00
2.666666666666666630e-01 2.666666666666666630e-01 1.559704959005435709e-01 1.559704959005435709e-01 1.819149050563386993e-01 5.977540623465644742e+00
2.999999999999999889e-01 2.999999999999999889e-01 2.507941627968951481e-01 2.507941627968951481e-01 1.118999425492723243e-01 7.621522683667143028e+00
3.333333333333333148e-01 3.333333333333333148e-01 3.266019023075342753e-01 3.266019023075342753e-01 1.011768293173537919e-01 8.015232888975507564e+00
3.666666666666666408e-01 3.666666666666666408e-01 3.887433838924079232e-01 3.887433838924079232e-01 1.011768285983151300e-01 8.015232917456645012e+00
4.000000000000000222e-01 4.000000000000000222e-01 4.404595249558598269e-01 4.404595249558598269e-01 1.011768305596294076e-01 8.015232839768943407e+00
