# module=lowfre322_snrprobe
# detector=DECIGO
# transition_family=fine
# transition_states=|300> -> |322>
# direction=upward
# method=exact_fft_capped_monotone
# redshift=2.1999999999999999e-02
# luminosity_distance_m=3.7840610996616765e+21
# primary_mass_msun=1.5000000000000000e+03
# secondary_mass_msun=5.0000000000000000e-01
# alpha=2.6565656565656570e-01
# transition_frequency_obs_hz=2.2953124389729924e-03
# selected_resonance_harmonic=4
# available_observation_years=4.0880000000000005e-01
# alignment_duration_s=1.0519200000000000e+06
# alignment_time_shift_s=-5.6536680172973650e+05
# alignment_phase_shift_rad=-2.9242487340104177e+00
# analysis_band_low_hz=2.0911652312999999e-03
# analysis_band_high_hz=6.0000764163566006e-02
# columns=observation_years effective_observation_years mismatch raw_mismatch distinguishability_threshold snr
3.333333333333333287e-02 3.333333333333333287e-02 8.251392244734818693e-01 8.251392244734818693e-01 1.197965209655530883e+00 2.329349068938010969e+00
6.666666666666666574e-02 6.666666666666666574e-02 9.086908287757590186e-01 9.086908287757590186e-01 6.220754961082715084e-01 3.232474674758678113e+00
1.000000000000000056e-01 1.000000000000000056e-01 9.222183335066376220e-01 9.222183335066376220e-01 4.033830227683776748e-01 4.014189497092805148e+00
1.333333333333333315e-01 1.333333333333333315e-01 9.237409203583835104e-01 9.237409203583835104e-01 3.093509208259387355e-01 4.583856061081345246e+00
1.666666666666666574e-01 1.666666666666666574e-01 9.237409203583835104e-01 9.225365023722447155e-01 2.447347357026336823e-01 5.153578210941316406e+00
1.999999999999999833e-01 1.999999999999999833e-01 9.338754927351058388e-01 9.338754927351058388e-01 2.049094109049914569e-01 5.632169623537007119e+00
2.333333333333333370e-01 2.333333333333333370e-01 9.379658998518234370e-01 9.379658998518234370e-01 1.762619141240657772e-01 6.072638621031106076e+00
2.666666666666666630e-01 2.666666666666666630e-01 9.379658998518234370e-01 9.350261030628804759e-01 1.535268304449054211e-01 6.506756226100281815e+00
2.999999999999999889e-01 2.999999999999999889e-01 9.379658998518234370e-01 9.343391711817090606e-01 1.376314249039087834e-01 6.872232993725107875e+00
3.333333333333333148e-01 3.333333333333333148e-01 9.379658998518234370e-01 9.357704169294226437e-01 1.233046897657919250e-01 7.260505870303816778e+00
3.666666666666666408e-01 3.666666666666666408e-01 9.427209096183024606e-01 9.427209096183024606e-01 1.125996154037202518e-01 7.597806429171886755e+00
4.000000000000000222e-01 4.000000000000000222e-01 9.427209096183024606e-01 9.384415769680338748e-01 1.032099468157873234e-01 7.935894783788317142e+00
