# module=lowfre322v_snrprobe
# detector=DECIGO
# transition_family=fine
# transition_states=|322> -> |300>
# direction=downward
# method=exact_fft_capped_monotone
# redshift=2.1999999999999999e-02
# luminosity_distance_m=5.6908000942629306e+19
# primary_mass_msun=1.5000000000000000e+03
# secondary_mass_msun=5.0000000000000000e-01
# alpha=2.9393939393939394e-01
# transition_frequency_obs_hz=3.8065190951158310e-03
# selected_resonance_harmonic=4
# available_observation_years=4.0880000000000005e-01
# alignment_duration_s=1.0519200000000000e+06
# alignment_time_shift_s=0.0000000000000000e+00
# alignment_phase_shift_rad=8.2273450947476447e-12
# analysis_band_low_hz=2.0911652312999999e-03
# analysis_band_high_hz=2.4355102364608394e-01
# columns=observation_years effective_observation_years mismatch raw_mismatch distinguishability_threshold snr
3.333333333333333287e-02 3.333333333333333287e-02 2.220446049250313081e-16 2.220446049250313081e-16 1.300000000000000148e+61 0.000000000000000000e+00
6.666666666666666574e-02 6.666666666666666574e-02 1.760286549907883469e-01 1.760286549907883469e-01 1.284025764268524883e+00 2.249934158957743957e+00
1.000000000000000056e-01 1.000000000000000056e-01 4.919168415363636138e-01 4.919168415363636138e-01 5.972737660727083231e-01 3.298906134019336189e+00
1.333333333333333315e-01 1.333333333333333315e-01 6.273654798673744537e-01 6.273654798673744537e-01 3.892717016851854894e-01 4.086300130520720941e+00
1.666666666666666574e-01 1.666666666666666574e-01 6.979426691463230803e-01 6.979426691463230803e-01 2.887962782484603808e-01 4.744176984171593503e+00
1.999999999999999833e-01 1.999999999999999833e-01 7.535900996715748645e-01 7.535900996715748645e-01 2.295930024099943623e-01 5.320805143180874275e+00
2.333333333333333370e-01 2.333333333333333370e-01 7.911397287103419940e-01 7.911397287103419940e-01 1.905645466532624732e-01 5.840306308585569539e+00
2.666666666666666630e-01 2.666666666666666630e-01 8.168613636118924326e-01 8.168613636118924326e-01 1.629016971447456719e-01 6.316752688524820414e+00
2.999999999999999889e-01 2.999999999999999889e-01 8.386087364824094115e-01 8.386087364824094115e-01 1.422681179967130449e-01 6.759318097729661190e+00
3.333333333333333148e-01 3.333333333333333148e-01 8.557618778012057170e-01 8.557618778012057170e-01 1.262870645617392151e-01 7.174262185462764840e+00
3.666666666666666408e-01 3.666666666666666408e-01 8.694562916860341106e-01 8.694562916860341106e-01 1.135454704089826766e-01 7.566094675554489335e+00
4.000000000000000222e-01 4.000000000000000222e-01 8.812010094071857091e-01 8.812010094071857091e-01 1.031482542205133107e-01 7.938267643928915263e+00
