# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=CE.csv
5.000680712099999425e+00 1.677242167894731571e-07
5.029292784750013290e+00 1.549393110645280007e-07
5.058068565252709980e+00 1.431289444822832947e-07
5.087008990284762611e+00 1.322188320568770981e-07
5.116115001882167057e+00 1.221403512318805201e-07
5.145387547470906320e+00 1.128301102573294966e-07
5.174827579897791630e+00 1.042295494675069637e-07
5.204436057461469645e+00 9.628457295166756331e-08
5.234213943943628600e+00 8.894520830092618282e-08
5.264162208640364327e+00 8.216529229119918913e-08
5.294281826393728352e+00 7.590218052518940323e-08
5.324573777623466952e+00 7.011647920716673043e-08
5.355039048358927189e+00 6.477179736336870115e-08
5.385678630271158340e+00 5.983451794963914458e-08
5.416493520705191855e+00 5.527358640652402280e-08
5.447484722712502503e+00 5.106031533193714388e-08
5.478653245083656920e+00 4.716820404280238941e-08
5.510000102381158449e+00 4.357277189085160830e-08
5.541526314972465173e+00 4.025140428364034849e-08
5.573232909063206897e+00 3.718321044315723896e-08
5.605120916730586877e+00 3.434889200681991626e-08
5.637191375956978945e+00 3.173062164439119007e-08
5.669445330663712923e+00 2.931193092742341049e-08
5.701883830745057224e+00 2.707760674593678515e-08
5.734507932102390626e+00 2.504155965389701620e-08
5.767318696678580103e+00 2.331395879086446804e-08
5.800317192492533636e+00 2.179822879205752543e-08
5.833504493673981273e+00 2.039048761585152598e-08
5.866881680498430285e+00 1.901016692594529887e-08
5.900449839422330811e+00 1.759733305977281448e-08
5.934210063118439571e+00 1.611243109225648342e-08
5.968163450511390522e+00 1.453715023522444875e-08
6.002311106813461805e+00 1.273947124751911953e-08
6.036654143560554964e+00 1.052909990265829869e-08
6.071193678648374892e+00 8.335949785738651730e-09
6.105930836368818504e+00 6.443019989777340458e-09
6.140866747446567686e+00 4.954969192392829005e-09
6.176002549075904291e+00 3.864168668071535496e-09
6.211339384957718757e+00 3.114450070079161014e-09
6.246878405336739881e+00 2.644011854879140997e-09
6.282620767038980425e+00 2.363061291797740229e-09
6.318567633509388770e+00 2.153232528774330005e-09
6.354720174849720848e+00 1.989146524403376576e-09
6.391079567856628785e+00 1.854067785956487705e-09
6.427646996059968032e+00 1.735363757299944022e-09
6.464423649761315893e+00 1.623247012099855548e-09
6.501410726072725410e+00 1.510187835391244959e-09
6.538609428955687974e+00 1.390761571164341113e-09
6.576020969260324200e+00 1.264340991923420191e-09
6.613646564764795954e+00 1.138268664985060278e-09
6.651487440214950198e+00 1.018900086297144243e-09
6.689544827364181323e+00 9.104619361322073034e-10
6.727819965013529746e+00 8.154033371750602175e-10
6.766314099052003428e+00 7.348535398741421456e-10
6.805028482497128550e+00 6.690889097826525207e-10
6.843964375535751543e+00 6.179139840567724180e-10
6.883123045565036513e+00 5.778217313116430605e-10
6.922505767233740670e+00 5.447655562606078692e-10
6.962113822483693149e+00 5.164656387350703325e-10
7.001948500591529623e+00 4.910835046108642799e-10
7.042011098210654296e+00 4.671081907679405788e-10
7.082302919413450581e+00 4.432961312951960803e-10
7.122825275733728922e+00 4.186497361474562139e-10
7.163579486209419755e+00 3.923531928016134697e-10
7.204566877425506277e+00 3.636570941145448213e-10
7.245788783557202350e+00 3.342012611023994969e-10
7.287246546413400416e+00 3.057448433071594129e-10
7.328941515480317470e+00 2.795626335015455355e-10
7.370875047965451010e+00 2.565085934498216800e-10
7.413048508841739270e+00 2.371163051788638849e-10
7.455463270892001226e+00 2.217131801411600031e-10
7.498120714753617300e+00 2.101710219040178569e-10
7.541022228963472074e+00 2.001286327901016697e-10
7.584169210003153694e+00 1.910314340716190543e-10
7.627563062344401956e+00 1.827826583262156938e-10
7.671205198494846833e+00 1.752972161534287948e-10
7.715097039043955718e+00 1.685001363813084591e-10
7.759240012709301304e+00 1.623252321114621583e-10
7.803635556383054173e+00 1.567139573498315065e-10
7.848285115178760485e+00 1.516144248112617818e-10
7.893190142478377247e+00 1.469805603048313128e-10
7.938352099979583798e+00 1.427713730913407207e-10
7.983772457743361528e+00 1.389503249062726002e-10
8.029452694241843602e+00 1.354847830838782163e-10
8.075394296406448902e+00 1.323455455003455978e-10
8.121598759676261992e+00 1.295064269580294884e-10
8.168067588046735494e+00 1.269438982238595705e-10
8.214802294118637604e+00 1.247112137497600201e-10
