# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=DECIGO.csv
2.091165231299999417e-03 1.251812545137274869e-09
2.105484188001289364e-03 1.215918954085278525e-09
2.119901191723419683e-03 1.181564669861173783e-09
2.134416913829427151e-03 1.148730337950235779e-09
2.149032030279419535e-03 1.117394677284756238e-09
2.163747221662037836e-03 1.087534906722646121e-09
2.178563173226158792e-03 1.059127145840319592e-09
2.193480574912802950e-03 1.032146791143597223e-09
2.208500121387268252e-03 1.006568869047940655e-09
2.223622512071470481e-03 9.823683671966129058e-10
2.238848451176517033e-03 9.595205458747361146e-10
2.254178647735503166e-03 9.380012314463294023e-10
2.269613815636524218e-03 9.177870938920344549e-10
2.285154673655928961e-03 8.988559106636104183e-10
2.300801945491778942e-03 8.811868192021964315e-10
2.316556359797558064e-03 8.647605605953851998e-10
2.332418650216098142e-03 8.495597169777693881e-10
2.348389555413753823e-03 8.355689454184112133e-10
2.364469819114784800e-03 8.227752111888029757e-10
2.380660190135999547e-03 8.111680234750132276e-10
2.396961422421623692e-03 8.007316776671738862e-10
2.413374275078405615e-03 7.913352375354788217e-10
2.429899512410977486e-03 7.828624844322058873e-10
2.446537903957430541e-03 7.752253651838826131e-10
2.463290224525161842e-03 7.683410143697862172e-10
2.480157254226951317e-03 7.621310275319642342e-10
2.497139778517288178e-03 7.565208237363707140e-10
2.514238588228957967e-03 7.514390886080731171e-10
2.531454479609851656e-03 7.468172904719910528e-10
2.548788254360059673e-03 7.425892635120571230e-10
2.566240719669194478e-03 7.386908529484149024e-10
2.583812688253995030e-03 7.350596181447822677e-10
2.601504978396152867e-03 7.316345903167747719e-10
2.619318413980431352e-03 7.283560821304552288e-10
2.637253824533026050e-03 7.251655469721961686e-10
2.655312045260193980e-03 7.220054860417779604e-10
2.673493917087155225e-03 7.188194016821513094e-10
2.691800286697238701e-03 7.155517955131081045e-10
2.710232006571318495e-03 7.121482099904477749e-10
2.728789935027509540e-03 7.085553119685512800e-10
2.747474936261144318e-03 7.047210167105148931e-10
2.766287880385003266e-03 7.005946505672504693e-10
2.785229643469841389e-03 6.961271502436887272e-10
2.804301107585185915e-03 6.912712961915124287e-10
2.823503160840405441e-03 6.859819772219944320e-10
2.842836697426080056e-03 6.802164829306351381e-10
2.862302617655624291e-03 6.739368245182995101e-10
2.881901828007224064e-03 6.672535122344059842e-10
2.901635241166044665e-03 6.602713356335026698e-10
2.921503776066731919e-03 6.530232011734407658e-10
2.941508357936213451e-03 6.455413570431620284e-10
2.961649918336769702e-03 6.378572855312704079e-10
2.981929395209421962e-03 6.300016091586696693e-10
3.002347732917608376e-03 6.220040102713562887e-10
3.022905882291169587e-03 6.138931636890105177e-10
3.043604800670610209e-03 6.056966819200111924e-10
3.064445451951689457e-03 5.974410723826143106e-10
3.085428806630307122e-03 5.891517060156332662e-10
3.106555841847691811e-03 5.808527966190666245e-10
3.127827541435917492e-03 5.725673902341218651e-10
3.149244895963699761e-03 5.643173638534263610e-10
3.170808902782534279e-03 5.561234327436321703e-10
3.192520566073137056e-03 5.480051656644181675e-10
3.214380896892218235e-03 5.399810072775053943e-10
3.236390913219546438e-03 5.320683070573611395e-10
3.258551640005363098e-03 5.242833540395836767e-10
3.280864109218113375e-03 5.166414167732332652e-10
3.303329359892493659e-03 5.091567878784124212e-10
3.325948438177855123e-03 5.018428326498378218e-10
3.348722397386896549e-03 4.947120411893972432e-10
3.371652298044729244e-03 4.877760835960701641e-10
3.394739207938256807e-03 4.810458677887094579e-10
3.417984202165910528e-03 4.745315995862086965e-10
3.441388363187697450e-03 4.681809949627012031e-10
3.464952780875616648e-03 4.619157234571191730e-10
3.488678552564412894e-03 4.557342947973852534e-10
3.512566783102669468e-03 4.496355869854030310e-10
3.536618584904275241e-03 4.436184930378324410e-10
3.560835078000203560e-03 4.376819207851472790e-10
3.585217390090684932e-03 4.318247926734133090e-10
3.609766656597711895e-03 4.260460455686834170e-10
3.634484020717930301e-03 4.203446305640376220e-10
3.659370633475851099e-03 4.147195127891977387e-10
3.684427653777464558e-03 4.091696712226744019e-10
3.709656248464206652e-03 4.036940985064487273e-10
3.735057592367289729e-03 3.982918007631424420e-10
3.760632868362426533e-03 3.929617974155700882e-10
3.786383267424892497e-03 3.877031210088004276e-10
3.812309988685001327e-03 3.825148170345300742e-10
3.838414239483936216e-03 3.773959437578526934e-10
3.864697235429989577e-03 3.723455720462777198e-10
3.891160200455147117e-03 3.673627852011143452e-10
3.917804366872098230e-03 3.624466787911024915e-10
3.944630975431620210e-03 3.575963604881695860e-10
3.971641275380351915e-03 3.528109499055298090e-10
3.998836524518970328e-03 3.480895784378772972e-10
4.026217989260772595e-03 3.434313891037429930e-10
4.053786944690631472e-03 3.388355363899112770e-10
4.081544674624380115e-03 3.343011860979340209e-10
4.109492471668612333e-03 3.298275151927568966e-10
4.137631637280848006e-03 3.254137116533184088e-10
4.165963481830157328e-03 3.210589743251291460e-10
4.194489324658176241e-03 3.167625127748861018e-10
4.223210494140545133e-03 3.125235471469931834e-10
4.252128327748762142e-03 3.083413080219935925e-10
4.281244172112486611e-03 3.042150362769246252e-10
4.310559383082218990e-03 3.001439829475291829e-10
4.340075325792457778e-03 2.961274090923127227e-10
4.369793374725260658e-03 2.921645856584064087e-10
4.399714913774271409e-03 2.882547933492287083e-10
4.429841336309131919e-03 2.843973224939640473e-10
4.460174045240392071e-03 2.805914729187053884e-10
4.490714453084832490e-03 2.768365538193780936e-10
4.521463982031234848e-03 2.731318836363735675e-10
4.552424064006630952e-03 2.694767899308133773e-10
4.583596140742957764e-03 2.658706092624828822e-10
4.614981663844208541e-03 2.623126870694720080e-10
4.646582094854024604e-03 2.588023775492687577e-10
4.678398905323775427e-03 2.553390435416279040e-10
4.710433576881053325e-03 2.519220564128595879e-10
4.742687601298689430e-03 2.485507959417701082e-10
4.775162480564218957e-03 2.452246502070308382e-10
4.807859726949817447e-03 2.419430154761918350e-10
4.840780863082744419e-03 2.387052960960152683e-10
4.873927422016217231e-03 2.355109043843977078e-10
4.907300947300823578e-03 2.323592605236755593e-10
4.940902993056388477e-03 2.292497924554218310e-10
4.974735124044367754e-03 2.261819357765636474e-10
5.008798915740681271e-03 2.231551336369720429e-10
5.043095954409105609e-03 2.201688366383555972e-10
5.077627837175128188e-03 2.172225027345788389e-10
5.112396172100324397e-03 2.143155971332340855e-10
5.147402578257257756e-03 2.114475921986049116e-10
5.182648685804844974e-03 2.086179673558632020e-10
5.218136136064289131e-03 2.058262089966058751e-10
5.253866581595501191e-03 2.030718103856170492e-10
5.289841686274079219e-03 2.003542715688856097e-10
5.326063125368755112e-03 1.976730992828686403e-10
5.362532585619432003e-03 1.950189558099454902e-10
5.399251765315723865e-03 1.923199680411209275e-10
5.436222374376034616e-03 1.895762002837777863e-10
5.473446134427211417e-03 1.868063861440621311e-10
5.510924778884676752e-03 1.840283258500340030e-10
5.548660053033176338e-03 1.812588694814040101e-10
5.586653714108038779e-03 1.785139161736736245e-10
5.624907531377027620e-03 1.758084278732462377e-10
5.663423286222701684e-03 1.731564562338072490e-10
5.702202772225386899e-03 1.705711812920531132e-10
5.741247795246697157e-03 1.680649606375011248e-10
5.780560173513618963e-03 1.656493878925014947e-10
5.820141737703210180e-03 1.633353594404504807e-10
5.859994331027811379e-03 1.611331484795177368e-10
5.900119809320900771e-03 1.590524856322498556e-10
5.940520041123510328e-03 1.571026455068714130e-10
5.981196907771255990e-03 1.552925387813041344e-10
6.022152303481916047e-03 1.536308095660457536e-10
6.063388135443661779e-03 1.521259379956850026e-10
6.104906323903863154e-03 1.507863482030065258e-10
6.146708802258511219e-03 1.496284553233767458e-10
6.188797517142245914e-03 1.486619270422696930e-10
6.231174428519029203e-03 1.478621971564567042e-10
6.273841509773379378e-03 1.472045882688837744e-10
6.316800747802284524e-03 1.466652731735855843e-10
6.360054143107746541e-03 1.462210720649692325e-10
6.403603709889901970e-03 1.458492883354139788e-10
6.447451476140841041e-03 1.455275808296722479e-10
6.491599483739043421e-03 1.452338710540417168e-10
6.536049788544460136e-03 1.449462843090032195e-10
6.580804460494246028e-03 1.446431240354183726e-10
6.625865583699175679e-03 1.443028788429444027e-10
6.671235256540654357e-03 1.439042617284046616e-10
6.716915591768457539e-03 1.434262808957676249e-10
6.762908716599133965e-03 1.428483413604557345e-10
6.809216772815026263e-03 1.421503761645085999e-10
6.855841916864033152e-03 1.413130055524218161e-10
6.902786319960022184e-03 1.403177218707334645e-10
6.950052168183942433e-03 1.391470972726898634e-10
6.997641662585612002e-03 1.377841114245592023e-10
7.045557019286247113e-03 1.361174198595720041e-10
7.093800469581618313e-03 1.341127511416536275e-10
7.142374260045975150e-03 1.318204942754464177e-10
7.191280652636688163e-03 1.292906167436220780e-10
7.240521924799536192e-03 1.265718104029772495e-10
7.290100369574794258e-03 1.237107946742542378e-10
7.340018295704001453e-03 1.207517760895927472e-10
7.390278027737478238e-03 1.177360578626902263e-10
7.440881906142565380e-03 1.147017890586695241e-10
7.491832287412644384e-03 1.116838401172101123e-10
7.543131544176825791e-03 1.087137898194642598e-10
7.594782065310470148e-03 1.058200081444345181e-10
7.646786256046413273e-03 1.030278196717671982e-10
7.699146538087005970e-03 1.003597330886858178e-10
7.751865349716835496e-03 9.783572379018678323e-11
7.804945145916307447e-03 9.547355838128931030e-11
7.858388398475954495e-03 9.328915197874662503e-11
7.912197596111537889e-03 9.129695147496878958e-11
7.966375244579966888e-03 8.951034030489645911e-11
8.020923866795943297e-03 8.792780649866721567e-11
8.075846002949476840e-03 8.644665631829318468e-11
8.131144210624158611e-03 8.503910456757402041e-11
8.186821064916294938e-03 8.369936656569455361e-11
8.242879158554773308e-03 8.242200477488936087e-11
8.299321102021832083e-03 8.120189827636760681e-11
8.356149523674612570e-03 8.003421538003925698e-11
8.413367069867564579e-03 7.891438908000411638e-11
8.470976405075658633e-03 7.783809510061759544e-11
8.528980212018510629e-03 7.680123230678671927e-11
8.587381191785245504e-03 7.579990527732398693e-11
8.646182063960318465e-03 7.483040886216817271e-11
8.705385566750174081e-03 7.388921456340141498e-11
8.764994457110712039e-03 7.297295859665329478e-11
8.825011510875703513e-03 7.207843150370151765e-11
8.885439522886050615e-03 7.120256919946245573e-11
8.946281307119925350e-03 7.034244534703921440e-11
9.007539696823810629e-03 6.949526496324874599e-11
9.069217544644467624e-03 6.865835916451542011e-11
9.131317722761723640e-03 6.782918096894586806e-11
9.193843123022250527e-03 6.700530207527193526e-11
9.256796657074252074e-03 6.618441054306460696e-11
9.320181256503008368e-03 6.536430930141949100e-11
9.383999872967417610e-03 6.454291541517509400e-11
9.448255478337443461e-03 6.371826003892287180e-11
9.512951064832507811e-03 6.288848898951220506e-11
9.578089645160818566e-03 6.205240289167360892e-11
9.643674252659707041e-03 6.122200790382290120e-11
9.709707941436817105e-03 6.040272539201263659e-11
9.776193786512366382e-03 5.959440664733470168e-11
9.843134883962359818e-03 5.879690495093053138e-11
9.910534351062715713e-03 5.801007554735625503e-11
9.978395326434469012e-03 5.723377561830849982e-11
1.004672097018990962e-02 5.646786425670095753e-11
1.011551446407974938e-02 5.571220244108653178e-11
1.018477901164129007e-02 5.496665301042704335e-11
1.025451783834760433e-02 5.423108063919606311e-11
1.032473419175771769e-02 5.350535181281284981e-11
1.039543134166786252e-02 5.278933480340828456e-11
1.046661258026374344e-02 5.208289964592183918e-11
1.053828122227382091e-02 5.138591811450142180e-11
1.061044060512371205e-02 5.069826369923486380e-11
1.068309408909155940e-02 5.001981158318787072e-11
1.075624505746453768e-02 4.935043861974211682e-11
1.082989691669640660e-02 4.869002331024934865e-11
1.090405309656613739e-02 4.803844578197555749e-11
1.097871705033761150e-02 4.739558776634318242e-11
1.105389225492044679e-02 4.676133257746049367e-11
1.112958221103191661e-02 4.613556509094804369e-11
1.120579044335994270e-02 4.551817172303660795e-11
1.128252050072726595e-02 4.490904040995685551e-11
1.135977595625666837e-02 4.430806058758920026e-11
1.143756040753738518e-02 4.371512317140512339e-11
1.151587747679264084e-02 4.313012053666168426e-11
1.159473081104831979e-02 4.255294649887639383e-11
1.167412408230278885e-02 4.198349629454175065e-11
1.175406098769790283e-02 4.142166656211244284e-11
1.183454524969116718e-02 4.086735532324471727e-11
1.191558061622909927e-02 4.032046196428093031e-11
1.199717086092174159e-02 3.978088721799622435e-11
1.207931978321839100e-02 3.924853314557055281e-11
1.216203120858452488e-02 3.872330311882015564e-11
1.224530898867997285e-02 3.820510180265155277e-11
1.232915700153825074e-02 3.769383513776214081e-11
1.241357915174714881e-02 3.718941032356538866e-11
1.249857937063057062e-02 3.669173580134424455e-11
1.258416161643160017e-02 3.620072123763763345e-11
1.267032987449683533e-02 3.571627750784028959e-11
1.275708815746197204e-02 3.523831668002565631e-11
1.284444050543864617e-02 3.476675199898469296e-11
1.293239098620257987e-02 3.430149787048171330e-11
1.302094369538303424e-02 3.384246984571709022e-11
1.311010275665348314e-02 3.338958460599517225e-11
1.319987232192369568e-02 3.294275994760751907e-11
1.329025657153303126e-02 3.250191476690564544e-11
1.338125971444512757e-02 3.206696904558378498e-11
1.347288598844392088e-02 3.163784383615417372e-11
1.356513966033096388e-02 3.121446124761604909e-11
1.365802502612412095e-02 3.079674443131858393e-11
1.375154641125761988e-02 3.038926898181581965e-11
1.384570817078351231e-02 2.999973845476960326e-11
1.394051468957441774e-02 2.962623168151112839e-11
1.403597038252777686e-02 2.926669676246510194e-11
1.413207969477139371e-02 2.891917925088243848e-11
1.422884710187044717e-02 2.858181452187479487e-11
1.432627711003593533e-02 2.825282137441015596e-11
1.442437425633449032e-02 2.793049677275088051e-11
1.452314310889964849e-02 2.761321164316486743e-11
1.462258826714460218e-02 2.729940764921778214e-11
1.472271436197635994e-02 2.698759487471944411e-11
1.482352605601142646e-02 2.667635034765816780e-11
1.492502804379290844e-02 2.636431734132001515e-11
1.502722505200911399e-02 2.605020539046239317e-11
1.513012183971367865e-02 2.573279096094024716e-11
1.523372319854719541e-02 2.541091871079114280e-11
1.533803395296033656e-02 2.508350327953515278e-11
1.544305896043849866e-02 2.474953154050583858e-11
1.554880311172802607e-02 2.440806524852011159e-11
1.565527133106394547e-02 2.405824401228327644e-11
1.576246857639930499e-02 2.369928851771905128e-11
1.587039983963601728e-02 2.333050392511118576e-11
1.597907014685733679e-02 2.295128335966910950e-11
1.608848455856189130e-02 2.256111141209605211e-11
1.619864816989938922e-02 2.215956756303789001e-11
1.630956611090781175e-02 2.174632944320492612e-11
1.642124354675238845e-02 2.130746764937375535e-11
1.653368567796605418e-02 2.079854464319248471e-11
1.664689774069164768e-02 2.023520566992885787e-11
1.676088500692577560e-02 1.963792308200437171e-11
1.687565278476429315e-02 1.902551538576802522e-11
1.699120641864946754e-02 1.841492431152094907e-11
1.710755128961887264e-02 1.782115168175360942e-11
1.722469281555600099e-02 1.725733000585083622e-11
1.734263645144249605e-02 1.673490066132520127e-11
1.746138768961225454e-02 1.626387617045662625e-11
1.758095206000710731e-02 1.585316768276937414e-11
1.770133513043439452e-02 1.551096471376243824e-11
1.782254250682622707e-02 1.524516106658175852e-11
1.794457983350055200e-02 1.505564692159021067e-11
1.806745279342395274e-02 1.489908686884576200e-11
1.819116710847633669e-02 1.476554986588078788e-11
