# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=ET.csv
1.635280405899999900e+00 7.486878138136197974e-07
1.647153258465937853e+00 7.086669776895582444e-07
1.659112313145925333e+00 6.563209133024925318e-07
1.671158195805096724e+00 5.965274810447858907e-07
1.683291536852641990e+00 5.336940790254680405e-07
1.695512971274797165e+00 4.714217116059156831e-07
1.707823138668078000e+00 4.123724028767512147e-07
1.720222683272750075e+00 3.490484555582913527e-07
1.732712254006546493e+00 2.771506068699320510e-07
1.745292504498627384e+00 2.129884745888250383e-07
1.757964093123786986e+00 1.636827042438133605e-07
1.770727683036908973e+00 1.299727062966456694e-07
1.783583942207672690e+00 1.101794188645453710e-07
1.796533543455509641e+00 1.008359936694309615e-07
1.809577164484815537e+00 9.389017002400487096e-08
1.822715487920417043e+00 8.828789611162970064e-08
1.835949201343296755e+00 8.373332367838719836e-08
1.849278997326575524e+00 7.999286179493140048e-08
1.862705573471759690e+00 7.687754405565294536e-08
1.876229632445247653e+00 7.423056245635518407e-08
1.889851882015104234e+00 7.191849768347165156e-08
1.903573035088100607e+00 6.982528041962885857e-08
1.917393809747023559e+00 6.784824488175637288e-08
1.931314929288255433e+00 6.589584258164704865e-08
1.945337122259628293e+00 6.388670697911905380e-08
1.959461122498549202e+00 6.176669429290439173e-08
1.973687669170407943e+00 5.978212215101437221e-08
1.988017506807258306e+00 5.799872222492006288e-08
2.002451385346783574e+00 5.637486450229916345e-08
2.016990060171542698e+00 5.487347219518316787e-08
2.031634292148503995e+00 5.346124587209225165e-08
2.046384847668862861e+00 5.210810388855196343e-08
2.061242498688150793e+00 5.078680407715601988e-08
2.076208022766634631e+00 4.947271850510166650e-08
2.091282203110010673e+00 4.814373737311541564e-08
2.106465828610390556e+00 4.678028035408621784e-08
2.121759693887589115e+00 4.536539430221915472e-08
2.137164599330709791e+00 4.388491571452392190e-08
2.152681351140030230e+00 4.239706969868412418e-08
2.168310761369196982e+00 4.097629848089473510e-08
2.184053647967721723e+00 3.959812430561941496e-08
2.199910834823787908e+00 3.824057622107710994e-08
2.215883151807367835e+00 3.688460021657905266e-08
2.231971434813654120e+00 3.551399178482470026e-08
2.248176525806806048e+00 3.411540821319718278e-08
2.264499272864009427e+00 3.267843460712559131e-08
2.280940530219863760e+00 3.119567756660459449e-08
2.297501158311086034e+00 2.966286016746618325e-08
2.314182023821540479e+00 2.807889195797197695e-08
2.330983999727595624e+00 2.644588855561798316e-08
2.347907965343813519e+00 2.466814680488254614e-08
2.364954806368962714e+00 2.243748607377358565e-08
2.382125414932373619e+00 2.006357368143664261e-08
2.399420689640627380e+00 1.783473610992057641e-08
2.416841535624583148e+00 1.593592455024102339e-08
2.434388864586745527e+00 1.447331124517361859e-08
2.452063594848979733e+00 1.348129482462408464e-08
2.469866651400570046e+00 1.268849019757493304e-08
2.487798965946629082e+00 1.199964077616346507e-08
2.505861476956855682e+00 1.139763773249581605e-08
2.524055129714652068e+00 1.086821229398614047e-08
2.542380876366589604e+00 1.039935466983110171e-08
2.560839675972243157e+00 9.980861582222855382e-09
2.579432494554380728e+00 9.603983246326497477e-09
2.598160305149517679e+00 9.261148031872369357e-09
2.617024087858841330e+00 8.945748461693784047e-09
2.636024829899504152e+00 8.651976189070708412e-09
2.655163525656286883e+00 8.374696522018019030e-09
2.674441176733640013e+00 8.109357240470558973e-09
2.693858792008101855e+00 7.860793654950609408e-09
2.713417387681096304e+00 7.634026638839497320e-09
2.733117987332113863e+00 7.426208332393296086e-09
2.752961621972283002e+00 7.234785178011191071e-09
2.772949330098323450e+00 7.057454340412934520e-09
2.793082157746896943e+00 6.892127621166478940e-09
2.813361158549349206e+00 6.736901727352561118e-09
2.833787393786852071e+00 6.590033968485245711e-09
2.854361932445943939e+00 6.449922625355073486e-09
2.875085851274473026e+00 6.315091367620770952e-09
2.895960234837950509e+00 6.184177200338504203e-09
2.916986175576307794e+00 6.055921498337537754e-09
2.938164773861068557e+00 5.929163745607751786e-09
2.959497138052936460e+00 5.802837638015778610e-09
2.980984384559800304e+00 5.675969234597631431e-09
3.002627637895159296e+00 5.547676857848054572e-09
3.024428030736971529e+00 5.417172449157715250e-09
3.046386703986938116e+00 5.283764083957900350e-09
3.068504806830202103e+00 5.148752705252152758e-09
3.090783496795495910e+00 5.023118704041020813e-09
3.113223939815719543e+00 4.905904293137269900e-09
3.135827310288954894e+00 4.793983990754152779e-09
3.158594791139929914e+00 4.684504070492464293e-09
3.181527573881922866e+00 4.574860449419677170e-09
3.204626858679124002e+00 4.462692120374103140e-09
3.227893854409438656e+00 4.345887718085896566e-09
3.251329778727755748e+00 4.222602817569125898e-09
3.274935858129675026e+00 4.091285404548395726e-09
3.298713328015689950e+00 3.950706686821968197e-09
3.322663432755842194e+00 3.799994093023991215e-09
3.346787425754848222e+00 3.638265362599191012e-09
3.371086569517690368e+00 3.435414224399328252e-09
3.395562135715688878e+00 3.196003230290211605e-09
3.420215405253059782e+00 2.948892498693349635e-09
3.445047668333941271e+00 2.716530413087982162e-09
3.470060224529920578e+00 2.515094866651759646e-09
3.495254382848043129e+00 2.355909520133964709e-09
3.520631461799321738e+00 2.233132981564490698e-09
3.546192789467735196e+00 2.128244660068926232e-09
3.571939703579734005e+00 2.037144485106507239e-09
3.597873551574251039e+00 1.956454131505630216e-09
3.623995690673214032e+00 1.883299149070123713e-09
3.650307487952577645e+00 1.815202144179900507e-09
3.676810320413869348e+00 1.750011778374601374e-09
3.703505575056248222e+00 1.685859904410205229e-09
3.730394648949096670e+00 1.621140927579366216e-09
3.757478949305132154e+00 1.554508428577547832e-09
3.784759893554055843e+00 1.484884448215435291e-09
3.812238909416727939e+00 1.411476809518018635e-09
3.839917434979886579e+00 1.330515836869865999e-09
3.867796918771413406e+00 1.233615209867600736e-09
3.895878819836135598e+00 1.133084285933768977e-09
3.924164607812183903e+00 1.040174724690875568e-09
3.952655763007909329e+00 9.628324084034165718e-10
3.981353776479348294e+00 9.066385294150919560e-10
4.010260150108256205e+00 8.744237311035706433e-10
4.039376396680713022e+00 8.520879121309666642e-10
4.068704039966284824e+00 8.346220414056307524e-10
4.098244614797773799e+00 8.210162916638442720e-10
4.127999667151539320e+00 8.103706132984558904e-10
4.157970754228411003e+00 8.018609776335554664e-10
4.188159444535176412e+00 7.947150999184308008e-10
4.218567317966668284e+00 7.881962136808216863e-10
4.249195965888451276e+00 7.815940072293263433e-10
4.280046991220102015e+00 7.742221605288550773e-10
4.311122008519091331e+00 7.654220676924696123e-10
4.342422644065290882e+00 7.545723161840577458e-10
4.373950535946073970e+00 7.411043314456887957e-10
4.405707334142046072e+00 7.257270356216164708e-10
4.437694700613394438e+00 7.094655670947564476e-10
4.469914309386869178e+00 6.924611945480098539e-10
4.502367846643386073e+00 6.748506726868030751e-10
4.535057010806270661e+00 6.567651268715545499e-10
4.567983512630154230e+00 6.383291345190627994e-10
4.601149075290488000e+00 6.196599975179286721e-10
4.634555434473736746e+00 6.008671965520411851e-10
4.668204338468211034e+00 5.820520155606782727e-10
4.702097548255557591e+00 5.633073225541780618e-10
4.736236837602921135e+00 5.447174916166974615e-10
4.770623993155779452e+00 5.263584501017386164e-10
4.805260814531433056e+00 5.078786692897314179e-10
4.840149114413196507e+00 4.882358155048735448e-10
4.875290718645256760e+00 4.678689554831078639e-10
4.910687466328235828e+00 4.472696013536704989e-10
4.946341209915425807e+00 4.268651692099950413e-10
4.982253815309744205e+00 4.070182339248444977e-10
5.018427161961383831e+00 3.880292342650430022e-10
5.054863142966167011e+00 3.701417623092927541e-10
5.091563665164620112e+00 3.535496535474177475e-10
5.128530649241773709e+00 3.384052212257379236e-10
5.165766029827667971e+00 3.248281294645962825e-10
5.203271755598605885e+00 3.129145588602113460e-10
5.241049789379137458e+00 3.027290420406674566e-10
5.279102108244776659e+00 2.939952052532220710e-10
5.317430703625472432e+00 2.864173592681483915e-10
5.356037581409830217e+00 2.797880842356999745e-10
5.394924762050084865e+00 2.739225237960712917e-10
5.434094280667838284e+00 2.686536761447147054e-10
5.473548187160570677e+00 2.638288024924411705e-10
5.513288546308913851e+00 2.593067738963208392e-10
5.553317437884713215e+00 2.549562231444308160e-10
5.593636956759867829e+00 2.506544001983473792e-10
5.634249213015968927e+00 2.462866502563408954e-10
5.675156332054721808e+00 2.417464447014898539e-10
5.716360454709177752e+00 2.369358985207352261e-10
5.757863737355782163e+00 2.317667045099295784e-10
5.799668352027209650e+00 2.261614059958962744e-10
5.841776486526049084e+00 2.200549173266058221e-10
5.884190344539296014e+00 2.133961866554313085e-10
