# module=highfre322
# component=axion_backreaction_total
# transition_family=fine
# eta_model=finite_separation_fourier
# eta_reference_hz=4.9671265225313139e-03
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=5.9421954114539064e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=4
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=1.4121429464253092e+01
# fft_nyquist_hz=1.6957850958023158e+02
# fft_dt_obs_s=2.9484868173312861e-03
# fft_df_hz=2.7580019773644662e-03
# fft_n_samples=30743
# fft_n_fft=122972
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=3.2000000000000000e+02
# spectrum_window_local_period_source_s=2.8325744292335137e-01
# spectrum_window_start_source_s=3.3384417258123713e+03
# spectrum_window_stop_source_s=3.4290841075478438e+03
# spectrum_window_duration_source_s=9.0642381735472554e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=3.3837629166801075e+03
# spectrum_window_anchor_harmonic=4
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 1.057818229643845084e-24 1.057818229643845084e-24 0.000000000000000000e+00
2.758001977364466211e-03 1.036376840087806718e-24 7.321873561702901539e-25 -7.334702653378308313e-25
5.516003954728932422e-03 9.744525140523593103e-25 -1.269928401755304366e-27 -9.744516865524004587e-25
8.274005932093398200e-03 8.788317940064171529e-25 -6.220387271372021315e-25 -6.208165140345953703e-25
1.103200790945786484e-02 7.595396751718567929e-25 -7.595396708201475943e-25 -8.130554524743267264e-29
1.379000988682233149e-02 6.282070037167330793e-25 -4.449290858874645889e-25 4.434886109587263664e-25
1.654801186418679640e-02 4.963028394892134429e-25 -1.400802437832183235e-27 4.963008626202317369e-25
1.930601384155126304e-02 3.735882701476945676e-25 2.634565070702577024e-25 2.648751865960382374e-25
2.206401581891572969e-02 2.670621504103923903e-25 2.670621447443336166e-25 5.501254109693914645e-29
2.482201779628019633e-02 1.805245039887141020e-25 1.270166600139868853e-25 -1.282804140126719188e-25
2.758001977364466298e-02 1.147354935683481178e-25 -1.293396712436518543e-27 -1.147282031991990692e-25
3.033802175100912962e-02 6.803887784085646934e-26 -4.875463449599931556e-26 -4.745813431862343023e-26
3.309602372837359280e-02 3.725257059742474476e-26 -3.725256939325008814e-26 -9.471916454469439763e-30
3.585402570573806291e-02 1.858718069489129095e-26 -1.378925491670947373e-26 1.246353621676220146e-26
3.861202768310252609e-02 8.347311860415112715e-27 -1.319360841829059878e-27 8.242384501106153217e-27
4.137002966046699620e-02 3.291171141943663601e-27 1.576001954975997161e-27 2.889294952661392102e-27
4.412803163783145938e-02 9.892424912990086997e-28 9.892130967244435774e-28 -7.625998971009252593e-30
4.688603361519592255e-02 9.688378884318997543e-28 -5.053545727549951252e-28 -8.265976106043365493e-28
4.964403559256039267e-02 1.327167453585238808e-27 -1.326975542260980192e-27 -2.256900744616178240e-29
5.240203756992485584e-02 9.375180668456043950e-28 -6.506488169573803442e-28 6.749786979260015077e-28
5.516003954728932596e-02 2.549156703306053507e-29 2.547130017919979369e-29 1.016295715879536344e-30
5.791804152465378913e-02 9.340860586627962746e-28 -6.435037273252457718e-28 -6.770669966160753487e-28
6.067604350201825925e-02 1.319726285665806866e-27 -1.319701253568388848e-27 -8.128370518753377333e-30
6.343404547938272242e-02 9.311408088073824886e-28 -6.466692904875683208e-28 6.699567408174734417e-28
6.619204745674718560e-02 3.566053206545549140e-29 3.541180223050184923e-29 -4.204498778594634814e-30
6.895004943411164877e-02 9.382498595110539459e-28 -6.374933253253523537e-28 -6.884148887394409989e-28
7.170805141147612582e-02 1.321914558087989574e-27 -1.321804312425919501e-27 -1.707215678251963166e-29
7.446605338884058900e-02 9.314853403098645781e-28 -6.513532810132729304e-28 6.658857578634856167e-28
7.722405536620505218e-02 3.027428665147070786e-29 2.983105949656327823e-29 -5.161426311390994420e-30
7.998205734356951535e-02 9.399131630029230884e-28 -6.429417889928719416e-28 -6.856111215206510281e-28
8.274005932093399240e-02 1.324126021230696817e-27 -1.324078507188664633e-27 -1.121725908025648369e-29
8.549806129829845558e-02 9.338614104650453719e-28 -6.489230422376881155e-28 6.715623717933782862e-28
8.825606327566291875e-02 3.601356643655651813e-29 3.588517486990131928e-29 -3.038287681716964577e-30
9.101406525302738193e-02 9.382768510898829646e-28 -6.367079755560387267e-28 -6.891780634600011617e-28
9.377206723039184511e-02 1.322637319016507873e-27 -1.322501390758916923e-27 -1.896177987179565755e-29
9.653006920775632216e-02 9.326846126944336006e-28 -6.535857291040124410e-28 6.653767966111698934e-28
9.928807118512078533e-02 2.969500760396902710e-29 2.951154967598097184e-29 -3.295741543550677321e-30
1.020460731624852485e-01 9.372318962608637338e-28 -6.391175257028556383e-28 -6.855161673572652448e-28
1.048040751398497117e-01 1.320445633028111377e-27 -1.320340899172663807e-27 -1.663068714549159424e-29
1.075620771172141887e-01 9.294817047547754103e-28 -6.504537559734558869e-28 6.639624619011735570e-28
1.103200790945786519e-01 3.131273757931175937e-29 3.052827428609848270e-29 -6.965055909580416374e-30
1.130780810719431151e-01 9.405587342812274828e-28 -6.406222431010846893e-28 -6.886609283797355988e-28
1.158360830493075783e-01 1.322547277024070046e-27 -1.322431424354126881e-27 -1.750508053387801690e-29
1.185940850266720414e-01 9.298401019856912014e-28 -6.505566748557908694e-28 6.643633253433977666e-28
1.213520870040365185e-01 3.336793005972508664e-29 3.227799996498645239e-29 -8.458692258915653317e-30
1.241100889814009817e-01 9.437261248781409031e-28 -6.407811409964957126e-28 -6.928336944178894882e-28
1.268680909587654448e-01 1.326699373354928846e-27 -1.326547785394892841e-27 -2.005493266670177255e-29
1.296260929361299219e-01 9.344501939546685413e-28 -6.541858102314277592e-28 6.672616358474149468e-28
1.323840949134943712e-01 3.528664373603549480e-29 3.508041070457004139e-29 -3.809463341808244951e-30
1.351420968908588482e-01 9.396895414128673183e-28 -6.332591045976426955e-28 -6.942617234767568265e-28
1.379000988682232975e-01 1.323269425308037396e-27 -1.322952201801863883e-27 -2.897315486211567756e-29
1.406581008455877746e-01 9.319914821227953726e-28 -6.595087327717012286e-28 6.585258948191101125e-28
1.434161028229522516e-01 2.591958303341116087e-29 2.553088886250268095e-29 -4.471968080882543088e-30
1.461741048003167009e-01 9.377106068435454016e-28 -6.381168127367668448e-28 -6.871012410770047569e-28
1.489321067776811780e-01 1.318909967999322273e-27 -1.318737387023714804e-27 -2.133559827701685825e-29
1.516901087550456551e-01 9.253605543221839683e-28 -6.495726553773030431e-28 6.590504691459820593e-28
1.544481107324101044e-01 3.552046512974990515e-29 3.309140780005496739e-29 -1.290977044119067456e-29
1.572061127097745814e-01 9.471698547407474736e-28 -6.393171856669603076e-28 -6.988592632572640500e-28
1.599641146871390307e-01 1.327707305624999760e-27 -1.327415781854748694e-27 -2.782142147595804457e-29
1.627221166645035078e-01 9.324446257313236580e-28 -6.577844258470095077e-28 6.608877583738015705e-28
1.654801186418679848e-01 3.205329208173627492e-29 3.099539748647757272e-29 -8.166937487966779478e-30
1.682381206192324341e-01 9.452603010371934841e-28 -6.381524082774326474e-28 -6.973367482978642561e-28
1.709961225965969112e-01 1.328944757103588838e-27 -1.328651301997297807e-27 -2.792642358057979563e-29
1.737541245739613605e-01 9.370870855524762499e-28 -6.601024586968272826e-28 6.651292730978221105e-28
1.765121265513258375e-01 3.522323984178758917e-29 3.522267054169306983e-29 2.002619870069549543e-31
1.792701285286903146e-01 9.332068058087721878e-28 -6.240192205742772848e-28 -6.938839634706099883e-28
1.820281305060547639e-01 1.312499933705218830e-27 -1.311940990728487034e-27 -3.830029794348415189e-29
1.847861324834192409e-01 9.162122925516699388e-28 -6.539327542054942476e-28 6.417296299844689794e-28
1.875441344607836902e-01 3.300198769546527225e-29 2.215992053318660902e-29 -2.445545161747163105e-29
1.903021364381481673e-01 9.600741585178537779e-28 -6.529352278361384943e-28 -7.038593453981661848e-28
1.930601384155126443e-01 1.340887502832859463e-27 -1.340654226906676926e-27 -2.501078028776103743e-29
1.958181403928770936e-01 9.429048882106826916e-28 -6.642764557159229124e-28 6.691833968301154617e-28
1.985761423702415707e-01 3.108739710910594265e-29 3.044916023389698392e-29 -6.266968969902021275e-30
2.013341443476060200e-01 9.633061371254318329e-28 -6.553087154357455939e-28 -7.060660034993004201e-28
2.040921463249704970e-01 1.388719115104991009e-27 -1.388680901175074077e-27 -1.030220217106439334e-29
2.068501483023349741e-01 1.075096526176280331e-27 -7.319637662058000922e-28 7.874398932986099476e-28
2.096081502796994234e-01 2.827242101239323792e-28 9.207004818307176337e-29 2.673127105428552724e-28
