# module=highfre322
# component=pure_binary_template
# transition_family=fine
# eta_model=finite_separation_fourier
# eta_reference_hz=4.9671265225313139e-03
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=5.9421954114539064e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=4
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=1.4121429464253092e+01
# fft_nyquist_hz=1.6957850958023158e+02
# fft_dt_obs_s=2.9484868173312861e-03
# fft_df_hz=2.7580019773644662e-03
# fft_n_samples=30743
# fft_n_fft=122972
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=3.2000000000000000e+02
# spectrum_window_local_period_source_s=2.8325744292335137e-01
# spectrum_window_start_source_s=3.3384417258123713e+03
# spectrum_window_stop_source_s=3.4290841075478438e+03
# spectrum_window_duration_source_s=9.0642381735472554e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=3.3837629166801075e+03
# spectrum_window_anchor_harmonic=4
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 1.057653196434356381e-24 1.057653196434356381e-24 0.000000000000000000e+00
2.758001977364466211e-03 1.036214981336960515e-24 7.320721720388219000e-25 -7.333565452585249085e-25
5.516003954728932422e-03 9.742998318517868331e-25 -1.271895627874751289e-27 -9.742990016560274812e-25
8.274005932093398200e-03 8.786933099481172006e-25 -6.219427116270297079e-25 -6.207166796547318839e-25
1.103200790945786484e-02 7.594189625346076522e-25 -7.594189585133665580e-25 -7.815122208642420600e-29
1.379000988682233149e-02 6.281059537046599760e-25 -4.448553230300662012e-25 4.434194748215913837e-25
1.654801186418679640e-02 4.962216790297470208e-25 -1.397778573935331968e-27 4.962197103644307376e-25
1.930601384155126304e-02 3.735257985667364115e-25 2.634140464021997719e-25 2.648293079569138463e-25
2.206401581891572969e-02 2.670161243178327161e-25 2.670161189540185193e-25 5.352055427943414034e-29
2.482201779628019633e-02 1.804920827151736232e-25 1.269935042454771467e-25 -1.282577163460937867e-25
2.758001977364466298e-02 1.147136652891527175e-25 -1.292410626440152963e-27 -1.147063846472567761e-25
3.033802175100912962e-02 6.802481588189753920e-26 -4.874307100830802033e-26 -4.744985357664553545e-26
3.309602372837359280e-02 3.724390623565732709e-26 -3.724390395465090676e-26 -1.303484458387236031e-29
3.585402570573806291e-02 1.858219524843058786e-26 -1.378881658841244211e-26 1.245658530023048423e-26
3.861202768310252609e-02 8.344983133486728735e-27 -1.324727941348965710e-27 8.239164968586762667e-27
4.137002966046699620e-02 3.290682013250287439e-27 1.570327486909218032e-27 2.891826359964640766e-27
4.412803163783145938e-02 9.873181367762583298e-28 9.873166316104244001e-28 -1.723993267893242750e-30
4.688603361519592255e-02 9.628384880925407189e-28 -5.027374780098955983e-28 -8.211656241931828254e-28
4.964403559256039267e-02 1.321906657148740978e-27 -1.321751594358186524e-27 -2.024680285256756783e-29
5.240203756992485584e-02 9.330055880381287357e-28 -6.454679054365840476e-28 6.736991987242403008e-28
5.516003954728932596e-02 2.880717523845206960e-29 2.867258275730073830e-29 -2.781428274219240585e-30
5.791804152465378913e-02 9.371625921258895432e-28 -6.430807001024431192e-28 -6.817044353940115293e-28
6.067604350201825925e-02 1.321925321716002857e-27 -1.321871111119290615e-27 -1.197170757286136760e-29
6.343404547938272242e-02 9.324852219125762760e-28 -6.504746829723674187e-28 6.681402366998600478e-28
6.619204745674718560e-02 3.162797760504320135e-29 3.143482357493080443e-29 -3.490105184387510475e-30
6.895004943411164877e-02 9.380008684111388694e-28 -6.401539487906512379e-28 -6.856008685728067083e-28
7.170805141147612582e-02 1.322274301345043450e-27 -1.322206618495004185e-27 -1.337856515209462447e-29
7.446605338884058900e-02 9.323401940756596378e-28 -6.494618615339061508e-28 6.689226621231724346e-28
7.722405536620505218e-02 3.336070590691343015e-29 3.311324177567293048e-29 -4.055849813959746622e-30
7.998205734356951535e-02 9.387396431335434615e-28 -6.398360453703510445e-28 -6.869075284456581310e-28
8.274005932093399240e-02 1.322831347284612434e-27 -1.322755058626275398e-27 -1.420662653205868882e-29
8.549806129829845558e-02 9.325811794870762078e-28 -6.501062686478637094e-28 6.686325566394878681e-28
8.825606327566291875e-02 3.328234114443382152e-29 3.303397322427104839e-29 -4.058428892147277700e-30
9.101406525302738193e-02 9.388661260571333804e-28 -6.391717384061221488e-28 -6.876984015398209257e-28
9.377206723039184511e-02 1.322892422766081894e-27 -1.322792297308721701e-27 -1.627576089243813594e-29
9.653006920775632216e-02 9.325548690550910623e-28 -6.516987677409237916e-28 6.670437016592837704e-28
9.928807118512078533e-02 3.199751794296685823e-29 3.175984947063630806e-29 -3.892700362602883589e-30
1.020460731624852485e-01 9.382821481657482045e-28 -6.384787441775076598e-28 -6.875451132835166817e-28
1.048040751398497117e-01 1.321729629197036830e-27 -1.321606103660876652e-27 -1.806984957471047229e-29
1.075620771172141887e-01 9.308750423653271571e-28 -6.521071089134152833e-28 6.642926034536564356e-28
1.103200790945786519e-01 3.062562785289546463e-29 3.010972108235492518e-29 -5.597658235980300928e-30
1.130780810719431151e-01 9.394107790516358377e-28 -6.397655577108965267e-28 -6.878899933603240145e-28
