# module=highfre322v
# component=axion_backreaction_total
# transition_family=fine
# eta_model=finite_separation_fourier
# eta_reference_hz=4.9671265225313156e-03
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=5.9421954114539064e+00
# resonance_harmonic=4
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=1.4121429464253092e+01
# fft_nyquist_hz=1.6939671706225019e+02
# fft_dt_obs_s=2.9516510630855919e-03
# fft_df_hz=5.3025955381659738e-03
# fft_n_samples=15973
# fft_n_fft=63892
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=1.6000000000000000e+02
# spectrum_window_local_period_source_s=2.9464856736969813e-01
# spectrum_window_start_source_s=3.3601910312905316e+03
# spectrum_window_stop_source_s=3.4073348020696835e+03
# spectrum_window_duration_source_s=4.7143770779151964e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=3.3837629166801075e+03
# spectrum_window_anchor_harmonic=4
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 1.291525785065405734e-24 1.291525785065405734e-24 0.000000000000000000e+00
5.302595538165973815e-03 1.344539103253320763e-24 9.518472667202845614e-25 -9.496168601148400619e-25
1.060519107633194763e-02 1.497622553269540162e-24 3.312331609978314420e-27 -1.497618890279126410e-24
1.590778661449792145e-02 1.733943628913718434e-24 -1.222346289930644793e-24 -1.229808950911995714e-24
2.121038215266389526e-02 2.028667296740535864e-24 -2.028653732197588734e-24 -7.418605350607720814e-27
2.651297769082986908e-02 2.353019768186117130e-24 -1.670607573586235595e-24 1.657037224853732383e-24
3.181557322899584289e-02 2.678665310786056379e-24 -1.166125680633009864e-26 2.678639927705524155e-24
3.711816876716181324e-02 2.981519274133229977e-24 2.098650415973333116e-24 2.117811042931568564e-24
4.242076430532779052e-02 3.244334950638287794e-24 3.244298837498168840e-24 1.530767589063009467e-26
4.772335984349376781e-02 3.457751722509074836e-24 2.457041565419115168e-24 -2.432898214130064433e-24
5.302595538165973815e-02 3.619867980549265647e-24 1.897588179167991003e-26 -3.619818243022160893e-24
5.832855091982570850e-02 3.734702660089240183e-24 -2.625891139336511634e-24 -2.655691940649675466e-24
6.363114645799168578e-02 3.810069766905830357e-24 -3.809998531325961530e-24 -2.329849745938365078e-26
6.893374199615766307e-02 3.855397459588293616e-24 -2.744156951041297682e-24 2.708079060783048572e-24
7.423633753432362647e-02 3.879908214775222999e-24 -2.756910809979918489e-26 3.879810265896883106e-24
7.953893307248960376e-02 3.891396119091403747e-24 2.730752201645248900e-24 2.772355707496652558e-24
8.484152861065558104e-02 3.895651424289188741e-24 3.895527109936377805e-24 3.112162137680393632e-26
9.014412414882155833e-02 3.896436512433047281e-24 2.778310055942190393e-24 -2.731887759127726838e-24
9.544671968698753561e-02 3.895833513499604385e-24 3.467331366859180314e-26 -3.895679212438559546e-24
