# module=highfre322v
# component=axion_transition
# transition_family=fine
# eta_model=finite_separation_fourier
# eta_reference_hz=4.9671265225313156e-03
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=5.9421954114539064e+00
# resonance_harmonic=4
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=1.4121429464253092e+01
# fft_nyquist_hz=1.6939671706225019e+02
# fft_dt_obs_s=2.9516510630855919e-03
# fft_df_hz=5.3025955381659738e-03
# fft_n_samples=15973
# fft_n_fft=63892
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=1.6000000000000000e+02
# spectrum_window_local_period_source_s=2.9464856736969813e-01
# spectrum_window_start_source_s=3.3601910312905316e+03
# spectrum_window_stop_source_s=3.4073348020696835e+03
# spectrum_window_duration_source_s=4.7143770779151964e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=3.3837629166801075e+03
# spectrum_window_anchor_harmonic=4
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 1.762834526865574172e-27 -1.762834526865574172e-27 0.000000000000000000e+00
5.302595538165973815e-03 1.727129442825488542e-27 -1.221368563129701455e-27 1.221161310095096292e-27
1.060519107633194763e-02 1.623998860634631095e-27 -2.468260978182643226e-31 1.623998841877498978e-27
1.590778661449792145e-02 1.464715263725439037e-27 1.035513786237534519e-27 1.035906367536317344e-27
2.121038215266389526e-02 1.265944452655381107e-27 1.265944428195493191e-27 2.488568219208585118e-31
2.651297769082986908e-02 1.047049298339809291e-27 7.405140233075362060e-28 -7.402372690149913696e-28
3.181557322899584289e-02 8.271583714469609459e-28 1.568963090532826995e-31 -8.271583565668285985e-28
3.711816876716181324e-02 6.225795672844466206e-28 -4.401221578489715812e-28 -4.403382833350442874e-28
4.242076430532779052e-02 4.450144177858935354e-28 -4.450143832637643802e-28 -1.752874474604043978e-31
4.772335984349376781e-02 3.008078827422506555e-28 -2.128410677544253427e-28 2.125654303903429525e-28
5.302595538165973815e-02 1.912159823355640752e-28 -1.811258040310459556e-31 1.912158965515102479e-28
5.832855091982570850e-02 1.134576914329402816e-28 8.013988903160099100e-29 8.031342310781534715e-29
6.363114645799168578e-02 6.218909121106705042e-29 6.218908061954579643e-29 3.629537229338194945e-32
6.893374199615766307e-02 3.101761603778701607e-29 2.190298343909397081e-29 -2.196250944528783967e-29
7.423633753432362647e-02 1.375014176183366745e-29 -7.768315555118580899e-32 -1.374992231970296749e-29
7.953893307248960376e-02 5.203395983080140227e-30 -3.719761978120107043e-30 -3.638502519288193177e-30
8.484152861065558104e-02 1.551452123439220663e-30 -1.551451189875838631e-30 -1.701986166529009718e-33
9.014412414882155833e-02 3.048090405188733586e-31 -2.549884750495907556e-31 1.670012837493186413e-31
9.544671968698753561e-02 8.917915428435058373e-32 -8.712903892736159197e-32 1.901189455226162064e-32
1.007493152251534990e-01 6.537740301747699688e-32 -2.700749451525921846e-32 5.953822356535214204e-32
1.060519107633194763e-01 4.735117185987895206e-32 4.734750746313205232e-32 -5.890785452270747715e-34
1.113545063014854536e-01 7.066720470494257800e-32 -1.995454972178331489e-32 -6.779136940799422863e-32
1.166571018396514170e-01 8.716173567194959174e-32 -8.713525060660435463e-32 2.148549992684387624e-33
1.219596973778173943e-01 6.966882091279329292e-32 -1.961460697899003811e-32 6.685066791318257203e-32
1.272622929159833716e-01 4.290894282849434099e-32 4.290322221034260707e-32 -7.006415838073820305e-34
1.325648884541493489e-01 6.817312557184559473e-32 -2.409138001874117918e-32 -6.377444989200005968e-32
1.378674839923153261e-01 8.714784500313610786e-32 -8.713482824008708453e-32 1.506185998194523855e-33
1.431700795304813034e-01 6.780547123785890888e-32 -2.231864567135468423e-32 6.402702542820986963e-32
1.484726750686472529e-01 4.078517522105027276e-32 4.077700788263894986e-32 -8.161776467005992378e-34
1.537752706068132302e-01 6.868725439897452751e-32 -2.339099430749042379e-32 -6.458173350241069892e-32
1.590778661449792075e-01 8.712671789364135129e-32 -8.712251216179618312e-32 -8.560639788236796763e-34
