# module=highfre322v
# component=pure_binary_template
# transition_family=fine
# eta_model=finite_separation_fourier
# eta_reference_hz=4.9671265225313156e-03
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=5.9421954114539064e+00
# resonance_harmonic=4
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=1.4121429464253092e+01
# fft_nyquist_hz=1.6939671706225019e+02
# fft_dt_obs_s=2.9516510630855919e-03
# fft_df_hz=5.3025955381659738e-03
# fft_n_samples=15973
# fft_n_fft=63892
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=1.6000000000000000e+02
# spectrum_window_local_period_source_s=2.9464856736969813e-01
# spectrum_window_start_source_s=3.3601910312905316e+03
# spectrum_window_stop_source_s=3.4073348020696835e+03
# spectrum_window_duration_source_s=4.7143770779151964e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=3.3837629166801075e+03
# spectrum_window_anchor_harmonic=4
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 2.468615065041912678e-23 2.468615065041912678e-23 0.000000000000000000e+00
5.302595538165973815e-03 2.418615193583996768e-23 1.710306536833499112e-23 -1.710131867634761554e-23
1.060519107633194763e-02 2.274195366119914112e-23 2.300111837266251852e-27 -2.274195354488295831e-23
1.590778661449792145e-02 2.051140677829273280e-23 -1.450158516349913484e-23 -1.450592416119617404e-23
2.121038215266389526e-02 1.772788841861078890e-23 -1.772788807665874462e-23 -3.481978626307053578e-27
2.651297769082986908e-02 1.466254767177919492e-23 -1.037050075363127683e-23 1.036547241307074156e-23
3.181557322899584289e-02 1.158325704323807087e-23 -3.353503041067527006e-27 1.158325655779676224e-23
3.711816876716181324e-02 8.718392440721036546e-24 6.162740239223193315e-24 6.166927881391266871e-24
4.242076430532779052e-02 6.231823754015102438e-24 6.231823268664191533e-24 2.459520774618686146e-27
4.772335984349376781e-02 4.212406033091323223e-24 2.979974140165426451e-24 -2.977266986947845736e-24
5.302595538165973815e-02 2.677726219539586147e-24 1.376711020853217735e-27 -2.677725865632352165e-24
5.832855091982570850e-02 1.588834802929183503e-24 -1.122845813282778153e-24 -1.124105560253285951e-24
6.363114645799168578e-02 8.708917162164765130e-25 -8.708915754308467844e-25 -4.951949691481245222e-28
6.893374199615766307e-02 4.343736757735868451e-25 -3.073026832964412312e-25 3.069943827562065007e-25
7.423633753432362647e-02 1.925549491981968679e-25 -6.630847872119724699e-29 1.925549377811585321e-25
7.953893307248960376e-02 7.285973238020707168e-26 5.150558927713896991e-26 5.153362859075675737e-26
8.484152861065558104e-02 2.172087323209347912e-26 2.172084466114855007e-26 3.523025588219049280e-29
9.014412414882155833e-02 4.178735685547415407e-27 2.998364853397738472e-27 -2.910608207158186101e-27
9.544671968698753561e-02 2.832243282614735347e-28 6.316324382275914299e-29 -2.760913340707194044e-28
1.007493152251534990e-01 3.432194457460511100e-28 -2.212946837565970346e-28 -2.623513881787062909e-28
