# module=highfre644
# component=axion_backreaction_total
# transition_family=bohr
# eta_model=finite_separation_fourier
# eta_reference_hz=5.2763856656606216e-04
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=1
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=5.3809271737277893e+00
# fft_nyquist_hz=3.3314355737104864e+02
# fft_dt_obs_s=1.5008544783086109e-03
# fft_df_hz=4.8097649193094344e-03
# fft_n_samples=34632
# fft_n_fft=138528
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=3.2000000000000000e+02
# spectrum_window_local_period_source_s=1.6242528575473453e-01
# spectrum_window_start_source_s=1.0737705529627540e+03
# spectrum_window_stop_source_s=1.1257466444042691e+03
# spectrum_window_duration_source_s=5.1976091441515109e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=1.0997585986835115e+03
# spectrum_window_anchor_harmonic=1
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 3.643998851426417427e-24 -3.643998851426417427e-24 0.000000000000000000e+00
4.809764919309434360e-03 3.864144537906339574e-24 -2.724267148930209251e-24 2.740434547857523399e-24
9.619529838618868720e-03 4.499978650646787632e-24 2.324878842815573211e-26 4.499918593720725260e-24
1.442929475792830221e-02 5.481920806238137612e-24 3.901392980672465681e-24 3.851050315982148600e-24
1.923905967723773744e-02 6.707146719978983882e-24 6.706972863241972159e-24 -4.829218426011366804e-26
2.404882459654717267e-02 8.056255257408550703e-24 5.653397642229014042e-24 -5.739542130811685637e-24
2.885858951585660442e-02 9.411357621706605780e-24 -7.305026095531261560e-26 -9.411074112078247886e-24
3.366835443516603965e-02 1.067200513115654660e-23 -7.605788951703023040e-24 -7.486231892052496497e-24
3.847811935447547488e-02 1.176615490523662599e-23 -1.176576682372304823e-23 9.556308807248944839e-26
4.328788427378491011e-02 1.265474936182946832e-23 -8.872603141231996712e-24 9.023280717617258840e-24
4.809764919309434533e-02 1.333004338012688066e-23 1.179100934850263911e-25 1.332952188662139370e-23
5.290741411240378056e-02 1.380913119042545666e-23 9.855909627266999583e-24 9.672287715609317566e-24
5.771717903171320885e-02 1.412489677754604323e-23 1.412418121202586283e-23 -1.421761800942848344e-25
6.252694395102265101e-02 1.431672050923584566e-23 1.001360091870768806e-23 -1.023212015080114669e-23
6.733670887033207930e-02 1.442280469403795202e-23 -1.664592961543287627e-25 -1.442184407574451001e-23
7.214647378964152147e-02 1.447516330578539984e-23 -1.036046787989523568e-23 -1.010895929553656788e-23
7.695623870895094976e-02 1.449744411173786800e-23 -1.449621407703225762e-23 1.888470434367359119e-25
8.176600362826037804e-02 1.450506295083295505e-23 -1.011431286302885661e-23 1.039699603329711169e-23
8.657576854756982021e-02 1.450676913117553475e-23 2.113778800359410428e-25 1.450522905772462990e-23
