# module=highfre644
# component=axion_transition
# transition_family=bohr
# eta_model=finite_separation_fourier
# eta_reference_hz=5.2763856656606216e-04
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=1
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=5.3809271737277893e+00
# fft_nyquist_hz=3.3314355737104864e+02
# fft_dt_obs_s=1.5008544783086109e-03
# fft_df_hz=4.8097649193094344e-03
# fft_n_samples=34632
# fft_n_fft=138528
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=3.2000000000000000e+02
# spectrum_window_local_period_source_s=1.6242528575473453e-01
# spectrum_window_start_source_s=1.0737705529627540e+03
# spectrum_window_stop_source_s=1.1257466444042691e+03
# spectrum_window_duration_source_s=5.1976091441515109e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=1.0997585986835115e+03
# spectrum_window_anchor_harmonic=1
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 1.595593060572740209e-24 -1.595593060572740209e-24 0.000000000000000000e+00
4.809764919309434360e-03 1.563273342478661016e-24 -1.105415258967708695e-24 1.105387103482648031e-24
9.619529838618868720e-03 1.469921212559629867e-24 -4.472862239950752084e-29 1.469921211879100371e-24
1.442929475792830221e-02 1.325740806711041995e-24 9.373874458413747069e-25 9.374931802193697384e-25
1.923905967723773744e-02 1.145818412288512298e-24 1.145818407559728297e-24 1.040992597721585350e-28
2.404882459654717267e-02 9.476817134681531189e-25 6.701992147271523687e-25 -6.700251059632340262e-25
2.885858951585660442e-02 7.486461519396545828e-25 1.238079691066673218e-28 -7.486461417022324045e-25
3.366835443516603965e-02 5.634735562431654302e-25 -3.983618839358742199e-25 -3.985100475676627216e-25
3.847811935447547488e-02 4.027556046412377138e-25 -4.027555980698181503e-25 -7.275542656544176336e-29
4.328788427378491011e-02 2.722347458635495791e-25 -1.925271824533606367e-25 1.924708831796690721e-25
4.809764919309434533e-02 1.730466520012821940e-25 -1.733466074305537217e-29 1.730466511330467988e-25
5.290741411240378056e-02 1.026727010431232719e-25 7.259316062845501927e-26 7.260796491750677531e-26
5.771717903171320885e-02 5.627466163460017603e-26 5.627465939080985519e-26 1.589141520365431736e-29
6.252694395102265101e-02 2.806555857702064316e-26 1.986252258269014019e-26 -1.982815611428105827e-26
6.733670887033207930e-02 1.243955760631404757e-26 2.608782357372323792e-29 -1.243953025102904946e-26
7.214647378964152147e-02 4.705658941962906708e-27 -3.315401817393552154e-27 -3.339361745498531451e-27
7.695623870895094976e-02 1.401690609931921725e-27 -1.401690599752097061e-27 -1.689317293193186603e-31
8.176600362826037804e-02 2.688136516895045534e-28 -1.787649488689589879e-28 2.007582436427574410e-28
8.657576854756982021e-02 2.693623890026378966e-29 2.156634929756437722e-29 1.613857317322472069e-29
9.138553346687924850e-02 2.490057097298496937e-29 2.458449915904203256e-29 3.954849665881545388e-30
9.619529838618869066e-02 4.235162262672415625e-29 4.233469015592832024e-29 1.197475894538013595e-30
1.010050633054981190e-01 3.414306642689698803e-29 3.279784361071510370e-29 -9.489491004188517587e-30
1.058148282248075611e-01 2.246509535551584970e-29 2.226236776862595585e-29 3.011227435260250004e-30
1.106245931441169894e-01 3.498746204036921116e-29 3.300234034625865889e-29 1.161757426040327320e-29
1.154343580634264177e-01 4.009818118637642945e-29 4.009087729433596942e-29 7.653053155238879871e-31
1.202441229827358599e-01 3.077572289591787991e-29 2.992470147283936004e-29 -7.187305581911073503e-30
1.250538879020453020e-01 2.186068054215944780e-29 2.183208543077227521e-29 1.117765409113075108e-30
1.298636528213547303e-01 3.067966604600118324e-29 2.942448155100607478e-29 8.685723582331016734e-30
1.346734177406641586e-01 3.734559140931567380e-29 3.732667124600458181e-29 1.188617433932120892e-30
1.394831826599735869e-01 3.120934203709964634e-29 3.036760114361413583e-29 -7.199432697861706088e-30
1.442929475792830429e-01 2.196809063629149897e-29 2.196128563361238731e-29 -5.467536220349218144e-31
1.491027124985924712e-01 2.991417804461922537e-29 2.879505220371800214e-29 8.105739736158203533e-30
1.539124774179018995e-01 3.803046122126941097e-29 3.800795081258197163e-29 1.308302614392337088e-30
1.587222423372113278e-01 3.250612829175849705e-29 3.146520480256195066e-29 -8.160224460950471735e-30
1.635320072565207561e-01 2.201300761862306361e-29 2.195641113441256460e-29 -1.577502619395939572e-30
1.683417721758302121e-01 2.986539722695999408e-29 2.871961711280791374e-29 8.193018028652229179e-30
1.731515370951396404e-01 3.881971600986895686e-29 3.879183613651546054e-29 1.470986146980833965e-30
1.779613020144490687e-01 3.327503025078133081e-29 3.212858441408146300e-29 -8.659197522730057389e-30
1.827710669337584970e-01 2.203532603917054353e-29 2.195774302912009918e-29 -1.847461696402688357e-30
1.875808318530679530e-01 3.012607231925053803e-29 2.889332207432803877e-29 8.529722908386975223e-30
