# label=highfre644 axion+backreaction
# source_module=highfre644v
# source_component=axion_backreaction_total
# source_transition_family=bohr
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=4
# superradiant_spin_threshold=2.9339853300733498e-01
# nu_cut_hz=2.5809543931540094e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=5.3333333333333333e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
6.684678562947448093e-04 3.426490794546169069e-40
6.859245072608696758e-04 4.060112450557298761e-39
7.038370285580555687e-04 8.337783537183162133e-39
7.222173249760107695e-04 1.407370332936997199e-38
7.410776121911302880e-04 1.972593316161407573e-38
7.604304248851272803e-04 2.710213565308856866e-38
7.802886250756657822e-04 3.445403964840869093e-38
8.006654106645566061e-04 4.384342247487835754e-38
8.215743242091705150e-04 5.328833953448705274e-38
8.430292619229222840e-04 6.514052327395687864e-38
8.650444829107950453e-04 7.715344794075965862e-38
8.876346186460380358e-04 9.200970485310724866e-38
9.108146826943549568e-04 1.071632601307152953e-37
9.346000806920201805e-04 1.256742440513070754e-37
9.590066205845817560e-04 1.446576616851480393e-37
9.840505231329288883e-04 1.676044504933912471e-37
1.009748432693727835e-03 1.912461091632639380e-37
1.036117428281383909e-03 2.195651623420499901e-37
1.063175034918869416e-03 2.488593324573538953e-37
1.090939235284986994e-03 2.836720731342129038e-37
1.119428481665778663e-03 3.198106322157470819e-37
1.148661708218054770e-03 3.624584883610995549e-37
1.178658343553162444e-03 4.068685061858430085e-37
1.209438323649387635e-03 4.589543923806142608e-37
1.241022105101541014e-03 5.133426434563868685e-37
1.273430678716560259e-03 5.767800363444445136e-37
1.306685583464154950e-03 6.431856826819093956e-37
1.340808920791750547e-03 7.202579705853097257e-37
1.375823369313278069e-03 8.012005936252738436e-37
1.411752199881533693e-03 8.948757944165834271e-37
1.448619291054163791e-03 9.935395955372291223e-37
1.486449144963514430e-03 1.107253752426371538e-36
1.525266903600934259e-03 1.227270869182289705e-36
1.565098365526313004e-03 1.365076204390601820e-36
1.605970003013991584e-03 1.510793719140034221e-36
1.647908979646430612e-03 1.677532986114293092e-36
1.690943168367309984e-03 1.854149688310161792e-36
1.735101170006099654e-03 2.055606369580316239e-36
1.780412332286361934e-03 2.269335067123448856e-36
1.826906769330472477e-03 2.512411462437881822e-36
1.874615381673668197e-03 2.770671505767921171e-36
1.923569876800769549e-03 3.063599770186864035e-36
1.973802790219207973e-03 3.375245283189972400e-36
2.025347507082342086e-03 3.727878391929299101e-36
2.078238284377486016e-03 4.103994801586014750e-36
2.132510273693331675e-03 4.529185923028908868e-36
2.188199544581962037e-03 4.983448750344824147e-36
2.245343108530918966e-03 5.495883752360376657e-36
2.303978943561308442e-03 6.044066239258451819e-36
2.364146019468272176e-03 6.661205485495297065e-36
2.425884323720574765e-03 7.322197713424199166e-36
2.489234888036582528e-03 8.064930076928202307e-36
2.554239815654215425e-03 8.861344352796246206e-36
2.620942309313080160e-03 9.754649346919252621e-36
2.689386699967302209e-03 1.071357531681486293e-35
2.759618476248202907e-03 1.178826709710393446e-35
2.831684314696377141e-03 1.294453759795987940e-35
2.905632110783235890e-03 1.423889910733623101e-35
2.981511010742702358e-03 1.563308332356682723e-35
3.059371444234126446e-03 1.719153176813579127e-35
3.139265157858220877e-03 1.887195760490408351e-35
3.221245249548201732e-03 2.074780818492627089e-35
3.305366203859061696e-03 2.277251793222179159e-35
3.391683928178406467e-03 2.503003711266315100e-35
3.480255789882879397e-03 2.747077036862805126e-35
3.571140654464958781e-03 3.019060518030536126e-35
3.664398924655356757e-03 3.313438448195462352e-35
3.760092580567133032e-03 3.641114132227471841e-35
3.858285220888098537e-03 3.996115075047588035e-35
3.959042105148964479e-03 4.390852528236654156e-35
4.062430197095311113e-03 4.818917527622955420e-35
4.168518209192137100e-03 5.294518785175647076e-35
4.277376648290692231e-03 5.810850430017753556e-35
4.389077862487800706e-03 6.384003290319101944e-35
4.503696089208955068e-03 7.006787764985199077e-35
4.621307504547013389e-03 7.697499822125423641e-35
4.741990273889384877e-03 8.448627801079767132e-35
4.865824603867314156e-03 9.280809402345302692e-35
4.992892795661778294e-03 1.018629727332376878e-34
5.123279299701423949e-03 1.118022578618473738e-34
5.257070771788935684e-03 1.228011769096324666e-34
5.394356130693122447e-03 1.347812690390829663e-34
5.535226617244932111e-03 1.480224604488945816e-34
5.679775854976776631e-03 1.624456931566219543e-34
5.828099912345410805e-03 1.783732872842322567e-34
5.980297366579706564e-03 1.957325381616396673e-34
6.136469369195771476e-03 2.148843426372711233e-34
6.296719713222979908e-03 2.357512207022219508e-34
6.461154902185581653e-03 2.587433566138647221e-34
6.629884220885669949e-03 2.838039086463186397e-34
6.803019808034657841e-03 3.113924369763441694e-34
6.980676730781482098e-03 3.414476327292791766e-34
7.162973061187041107e-03 3.744894086288445939e-34
7.350029954695714955e-03 4.104925987046382803e-34
7.541971730656155115e-03 4.491378415924428948e-34
7.738925954944831341e-03 4.912732310545915278e-34
7.941023524747185119e-03 5.373012645976340556e-34
8.148398755552854061e-03 5.875708131921360983e-34
8.361189470422723119e-03 6.424384944813533263e-34
8.579537091587100678e-03 7.023147964884430433e-34
8.803586734435927402e-03 7.676449135626156729e-34
9.033487303963519052e-03 8.388889468148363076e-34
9.269391593731910947e-03 9.165667750723462785e-34
9.511456387418510197e-03 1.001242253657592562e-33
9.759842563015663081e-03 1.093510447874257463e-33
1.001471519975134609e-02 1.194035083858156025e-33
1.027624368780196383e-02 1.303530755077323851e-33
1.054460184087028726e-02 1.422768982764760045e-33
1.081996801170328690e-02 1.552597462797436448e-33
1.110252521062663443e-02 1.693929533292221878e-33
1.139246122717468314e-02 1.847761713402212054e-33
1.168996875489671482e-02 2.015176808389706315e-33
1.199524551942248059e-02 2.197350298147645437e-33
1.230849440987204571e-02 2.395560093667601328e-33
1.262992361369735632e-02 2.611195688949007470e-33
1.295974675504510745e-02 2.845763751730237350e-33
1.329818303673287877e-02 3.100904806855501695e-33
1.364545738593289821e-02 3.378396026001508951e-33
1.400180060366022425e-02 3.680171886081086465e-33
1.436744951816479321e-02 4.008329664651234336e-33
1.474264714232913394e-02 4.365149140371199195e-33
1.512764283517647676e-02 4.753089176049755544e-33
1.552269246759654768e-02 5.174819557532835050e-33
1.592805859239918020e-02 5.633260245503720052e-33
1.634401061880880190e-02 6.131573954100529198e-33
1.677082499151572731e-02 6.673207531533901494e-33
1.720878537440325221e-02 7.261901221709689877e-33
1.765818283907274328e-02 7.901719884189574693e-33
1.811931605829187122e-02 8.597082130151378294e-33
1.859249150449467439e-02 9.352794479665696750e-33
1.907802365346533691e-02 1.017406747857794249e-32
1.957623519334103848e-02 1.106658007763000566e-32
2.008745723907280276e-02 1.203649522748412125e-32
2.061202955248682411e-02 1.309052475678517434e-32
2.115030076809267315e-02 1.423595841728796902e-32
2.170262862478823315e-02 1.548074498779169572e-32
2.226938020361553944e-02 1.683351967649707067e-32
2.285093217172548194e-02 1.830360695735116651e-32
2.344767103271345673e-02 1.990120190346895534e-32
2.405999338349244440e-02 2.163743303226770061e-32
2.468830617787415652e-02 2.352440446370759003e-32
2.533302699703339142e-02 2.557529808320885735e-32
2.599458432703555949e-02 2.780446821658193211e-32
2.667341784361151533e-02 3.022756801767689401e-32
2.736997870436922234e-02 3.286167294084088154e-32
2.808472984863630978e-02 3.572542811560230335e-32
2.881814630513287318e-02 3.883917796324784457e-32
2.957071550767895879e-02 4.222511314049116104e-32
3.034293761914651569e-02 4.590725427172710282e-32
3.113532586387130277e-02 4.991187035176893507e-32
3.194840686874537983e-02 5.426775475853387196e-32
3.278272101321715037e-02 5.900639702493695054e-32
3.363882278843136064e-02 6.416228605359283105e-32
3.451728116574792615e-02 6.977311532947076167e-32
3.541867997488432757e-02 7.588004692259069912e-32
3.634361829193306220e-02 8.252798549601424276e-32
3.729271083751179577e-02 8.976596476664140767e-32
3.826658838531120377e-02 9.764746614123490612e-32
3.926589818131161896e-02 1.062314864187653833e-31
4.029130437394732450e-02 1.155827747929545552e-31
4.134348845550436108e-02 1.257723597956480422e-31
4.242314971504519000e-02 1.368781609559082780e-31
4.353100570316120049e-02 1.489861140916133589e-31
4.466779270886189063e-02 1.621911507879237462e-31
4.583426624891794032e-02 1.765976189284144528e-31
4.703120156998294443e-02 1.923198347911309014e-31
4.825939416382793445e-02 2.094827352244763908e-31
4.951966029603088737e-02 2.282235474094894484e-31
5.081283754847264189e-02 2.486933619131322101e-31
5.213978537599984336e-02 2.710579803318334096e-31
5.350138567762477426e-02 2.954998145724239056e-31
5.489854338264164857e-02 3.222207075296702302e-31
5.633218705204923876e-02 3.514449146596397525e-31
5.780326949567906464e-02 3.834191215744771949e-31
5.931276840543964202e-02 4.184143139757630490e-31
6.086168700509749646e-02 4.567323152755984166e-31
6.245105471702686040e-02 4.987072655803639079e-31
6.408192784637119221e-02 5.447050780709361574e-31
6.575539028307098022e-02 5.951297991561470066e-31
6.747255422222488142e-02 6.504308439546588832e-31
6.923456090326263190e-02 7.111001378000839894e-31
7.104258136842059312e-02 7.776725663027452404e-31
7.289781724102503691e-02 8.507462150010212125e-31
7.480150152409972830e-02 9.309943125145175333e-31
7.675489941982811815e-02 1.019184852329262434e-30
7.875930917041630563e-02 1.116178610120793197e-30
8.081606292091347843e-02 1.222897103686403408e-30
8.292652760456571681e-02 1.340338471570554876e-30
8.509210585128888782e-02 1.469607371371126838e-30
8.731423691986722746e-02 1.611921978637407915e-30
8.959439765449438153e-02 1.768654791696929347e-30
9.193410346629489471e-02 1.941312655739748534e-30
9.433490934047758514e-02 2.131563556521480537e-30
9.679841086978908937e-02 2.341243874056001103e-30
9.932624531495708176e-02 2.572377940521438850e-30
1.019200926928245932e-01 2.827202466084063903e-30
1.045816768929020563e-01 3.108166598091064265e-30
1.073127668230758613e-01 3.417981680600594770e-30
1.101151775852374920e-01 3.759589930217531114e-30
1.129907716816136026e-01 4.136253134073706549e-30
1.159414602525974253e-01 4.551557262768477594e-30
1.189692043469073729e-01 5.009407220242162756e-30
1.220760162249130004e-01 5.514019101346225005e-30
1.252639606959986551e-01 6.069959467506577083e-30
1.285351564908496780e-01 6.682253999818739774e-30
1.318917776695762989e-01 7.356287979945207585e-30
1.353360550666099782e-01 8.097830318013364615e-30
1.388702777733309413e-01 8.913055596104842278e-30
1.424967946594158374e-01 9.808516168219394880e-30
1.462180159339120655e-01 1.079122075571158890e-29
1.500364147470812648e-01 1.186856756442773596e-29
1.539545288340714302e-01 1.304832982394981980e-29
1.579749622015144406e-01 1.433850267321669094e-29
1.621003868581679108e-01 1.574717961040913069e-29
1.663335445907501153e-01 1.728252237124434640e-29
1.706772487861524801e-01 1.895270929701032412e-29
1.751343863012351787e-01 2.076564988938073706e-29
1.797079193814542786e-01 2.272882647240010556e-29
1.844008876295897548e-01 2.484944153588194361e-29
1.892164100258888482e-01 2.713398829055512591e-29
1.941576870009610878e-01 2.958767809426390601e-29
1.992280025628081486e-01 3.221528155130717400e-29
2.044307264793994439e-01 3.502132652504957107e-29
2.097693165182427932e-01 3.801061788818435078e-29
2.152473207444429160e-01 4.119006550553543740e-29
2.208683798787692831e-01 4.457178543420593856e-29
2.266362297173067919e-01 4.817850436503944740e-29
2.325547036142911750e-01 5.205226616056670588e-29
2.386277350297840438e-01 5.627143093653671665e-29
2.448593601438794898e-01 6.097638055561888948e-29
2.512537205391764950e-01 6.641441747942612734e-29
2.578150659533063327e-01 7.301539024067293835e-29
2.645477571033363340e-01 8.152172856975920210e-29
2.714562685839361222e-01 9.321370443017377555e-29
2.785451918412228389e-01 1.103079066121098000e-28
2.858192382242704110e-01 1.366949398631669663e-28
2.932832421163062420e-01 1.793362113992294069e-28
3.009421641476749953e-01 2.510290730757598320e-28
3.088010944927114809e-01 3.762407616815588059e-28
3.168652562527042305e-01 6.043863926997988112e-28
3.251400089272086791e-01 1.043365589557124452e-27
3.336308519760065039e-01 1.957386955940391584e-27
3.423434284740869415e-01 4.123848775140351451e-27
3.512835288620757557e-01 1.078092002204781508e-26
3.604570947946010850e-01 6.390045380226489759e-26
3.698702230891623421e-01 5.441977068476104196e-25
3.795291697781159046e-01 7.635307294093514737e-25
3.894403542664818807e-01 8.413345882040310225e-25
3.996103635983235813e-01 9.116104354571996798e-25
4.100459568345470318e-01 9.830531071632987058e-25
4.207540695450185386e-01 1.057955733685335526e-24
4.317418184179953045e-01 1.138280273649458965e-24
4.430165059899282554e-01 1.225132757771181039e-24
4.545856254987774014e-01 1.321989601904262142e-24
4.664568658640744214e-01 1.435044893773045671e-24
4.786381167970302775e-01 1.605642792506894241e-24
4.911374740440973552e-01 2.785283622723895587e-24
5.039632447674569082e-01 3.418365073024242085e-24
5.171239530660199923e-01 3.671395472172806319e-24
5.306283456406062360e-01 3.922996120960665591e-24
