# label=highfre644 axion+backreaction
# source_module=highfre644
# source_component=axion_backreaction_total
# source_transition_family=bohr
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=4
# superradiant_spin_threshold=2.9339853300733498e-01
# nu_cut_hz=3.2925508496272931e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=5.3333333333333333e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
8.690129035871911340e-04 5.815905726859904260e-42
8.916729591044282935e-04 6.807541414694951648e-41
9.149238897558833322e-04 1.379647759152431572e-40
9.387811029806058909e-04 2.303162609363566831e-40
9.632604079762643878e-04 3.185595669280642786e-40
9.883780261752540645e-04 4.328484869139632653e-40
1.014150601993976056e-03 5.429953837746617338e-40
1.040595213862408530e-03 6.833212087829095109e-40
1.067729385541284562e-03 8.195289196029476141e-40
1.095571097734367736e-03 9.906806319561567394e-40
1.124138800003532390e-03 1.157811131960957120e-39
1.153451422994526340e-03 1.365376288302126403e-39
1.183528390981538041e-03 1.569108304860107848e-39
1.214389634738866248e-03 1.819598589352419489e-39
1.246055604748227659e-03 2.066556590801385740e-39
1.278547284750452488e-03 2.367552244013858527e-39
1.311886205650550580e-03 2.665454879591313406e-39
1.346094459785359678e-03 3.025770710498162920e-39
1.381194715563231583e-03 3.383601497818274344e-39
1.417210232485457879e-03 3.813477547200790731e-39
1.454164876559387552e-03 4.241680977327274115e-39
1.492083136113454009e-03 4.753001302423468148e-39
1.530990138024584685e-03 5.263707948525057981e-39
1.570911664368754594e-03 5.870251443342241426e-39
1.611874169505710368e-03 6.477536119677090639e-39
1.653904797609190161e-03 7.195263774621350784e-39
1.697031400654260957e-03 7.915441300023041874e-39
1.741282556873671337e-03 8.762821145061385825e-39
1.786687589695482459e-03 9.614447033590899347e-39
1.833276587174501081e-03 1.061183619890916959e-38
1.881080421930398858e-03 1.161565528521179220e-38
1.930130771605734772e-03 1.278703427619828080e-38
1.980460139857428883e-03 1.396779244994781266e-38
2.032101877895604869e-03 1.534105720544315678e-38
2.085090206584070543e-03 1.672728424267390099e-38
2.139460239117082184e-03 1.822494056705270347e-38
2.195248004287418848e-03 1.995910736303040941e-38
2.252490470361187287e-03 2.171289734636121950e-38
2.311225569575178340e-03 2.373801307479016543e-38
2.371492223273004036e-03 2.578842735436685191e-38
2.433330367696679569e-03 2.814991175768298095e-38
2.496780980450731980e-03 3.054347338899025487e-38
2.561886107656382271e-03 3.329343614232062339e-38
2.628688891813783964e-03 3.608775046061365957e-38
2.697233600390790305e-03 3.935593369539376506e-38
