# module=highfre644
# component=pure_binary_template
# transition_family=bohr
# eta_model=finite_separation_fourier
# eta_reference_hz=5.2763856656606216e-04
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=1
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=5.3809271737277893e+00
# fft_nyquist_hz=3.3314355737104864e+02
# fft_dt_obs_s=1.5008544783086109e-03
# fft_df_hz=4.8097649193094344e-03
# fft_n_samples=34632
# fft_n_fft=138528
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=3.2000000000000000e+02
# spectrum_window_local_period_source_s=1.6242528575473453e-01
# spectrum_window_start_source_s=1.0737705529627540e+03
# spectrum_window_stop_source_s=1.1257466444042691e+03
# spectrum_window_duration_source_s=5.1976091441515109e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=1.0997585986835115e+03
# spectrum_window_anchor_harmonic=1
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 2.844739781785455543e-23 2.844739781785455543e-23 0.000000000000000000e+00
4.809764919309434360e-03 2.787117547286002027e-23 1.970812050182087246e-23 -1.970767384864743220e-23
9.619529838618868720e-03 2.620681882629007739e-23 7.421684334229931976e-28 -2.620681881578109912e-23
1.442929475792830221e-02 2.363625883694823935e-23 -1.671244391010505547e-23 -1.671427385077814853e-23
1.923905967723773744e-02 2.042846905034083107e-23 -2.042846896601741090e-23 -1.856124121877562810e-27
2.404882459654717267e-02 1.689594759373341134e-23 -1.194881884907150060e-23 1.194565917822283507e-23
2.885858951585660442e-02 1.334740510031750883e-23 -2.262691714355353957e-27 1.334740490852840265e-23
3.366835443516603965e-02 1.004602199850655628e-23 7.102261812131942563e-24 7.104958490125748817e-24
3.847811935447547488e-02 7.180630130540088054e-24 7.180630013438638277e-24 1.296813163242145615e-27
4.328788427378491011e-02 4.853608123773242608e-24 3.432493081949523782e-24 -3.431545287698571796e-24
4.809764919309434533e-02 3.085205137432647028e-24 2.531752319139781404e-28 -3.085205127044731818e-24
5.290741411240378056e-02 1.830521519594157648e-24 -1.294270432989187944e-24 -1.294477917921848565e-24
5.771717903171320885e-02 1.003302149504856424e-24 -1.003302109879107346e-24 -2.819808454955984668e-28
6.252694395102265101e-02 5.003747027472049385e-25 -3.541506045976161607e-25 3.534857739888504135e-25
6.733670887033207930e-02 2.217927972015925948e-25 -5.169455457699089725e-28 2.217921947630472775e-25
7.214647378964152147e-02 8.391749934170829195e-26 5.910028912238889188e-26 5.957602304128441903e-26
7.695623870895094976e-02 2.501796386982381778e-26 2.501796370945554595e-26 -2.832697516234265312e-30
8.176600362826037804e-02 4.822596944668798079e-27 3.174158056553655005e-27 -3.630724710404845434e-27
8.657576854756982021e-02 5.429596835432748855e-28 -4.464107715048307739e-28 -3.090673729753352568e-28
