# module=highfre644v
# component=axion_backreaction_total
# transition_family=bohr
# eta_model=finite_separation_fourier
# eta_reference_hz=5.2763856656606216e-04
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=1
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=5.3809271737277893e+00
# fft_nyquist_hz=2.5808713170418781e+02
# fft_dt_obs_s=1.9373302213807619e-03
# fft_df_hz=7.3021483619337881e-03
# fft_n_samples=17672
# fft_n_fft=70688
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=1.6000000000000000e+02
# spectrum_window_local_period_source_s=2.1396601464325707e-01
# spectrum_window_start_source_s=1.0826413175120510e+03
# spectrum_window_stop_source_s=1.1168758798549720e+03
# spectrum_window_duration_source_s=3.4234562342920981e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=1.0997585986835115e+03
# spectrum_window_anchor_harmonic=1
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 2.952480966648566253e-24 2.952480966648566253e-24 0.000000000000000000e+00
7.302148361933788120e-03 3.021568055338596014e-24 2.124355228821240724e-24 -2.148717844395238483e-24
1.460429672386757624e-02 3.221061012207599661e-24 -3.453102627486869896e-26 -3.220875913876262207e-24
2.190644508580136263e-02 3.529009325917627991e-24 -2.531839114187765026e-24 -2.458393280637275425e-24
2.920859344773515248e-02 3.913027771598843199e-24 -3.912412631192375608e-24 6.938115443088611939e-26
3.651074180966894234e-02 4.335589495463306999e-24 -3.003757519398489167e-24 3.126463983133150553e-24
4.381289017160272525e-02 4.759727855200561708e-24 1.039925547502457493e-25 4.758591682854146598e-24
5.111503853353651511e-02 5.154012253643791152e-24 3.729011238630226638e-24 3.557852933003247769e-24
5.841718689547030496e-02 5.495933946683594929e-24 5.494202950485171268e-24 -1.379271009959815238e-25
6.571933525740408788e-02 5.773285997643668271e-24 3.971393877466695188e-24 -4.190329567063728119e-24
7.302148361933788467e-02 5.983610713241633255e-24 -1.717982353147772888e-25 -5.981143915168968124e-24
8.032363198127166759e-02 6.132184879465767202e-24 -4.467657394892281058e-24 -4.200443881045537829e-24
8.762578034320545051e-02 6.229230443604884265e-24 -6.225815554093517852e-24 2.062343471420972580e-25
9.492792870513924730e-02 6.287053434551769192e-24 -4.284722583997365197e-24 4.600890486318070725e-24
1.022300770670730302e-01 6.317664054748616250e-24 2.408415536797586993e-25 6.313071713095285510e-24
1.095322254290068270e-01 6.331189998408250197e-24 4.655556857034619659e-24 4.290659290466045854e-24
1.168343737909406099e-01 6.335144511371075567e-24 6.329166956450268887e-24 -2.751392689768155993e-25
1.241365221528743928e-01 6.334414195581033499e-24 4.267659137124627850e-24 -4.681013639212686213e-24
1.314386705148081758e-01 6.331721612644688226e-24 -3.095509008263259803e-25 -6.324150284412085886e-24
1.387408188767419726e-01 6.328295521518073599e-24 -4.700003304236500397e-24 -4.237604647419539328e-24
1.460429672386757693e-01 6.324526271658943365e-24 -6.315138082329858192e-24 3.444757785553943811e-25
1.533451156006095384e-01 6.320465190599133189e-24 -4.205956926710648269e-24 4.717860379052145510e-24
1.606472639625433352e-01 6.316115354237715423e-24 3.793370424629632864e-25 6.304713837776689332e-24
1.679494123244771320e-01 6.311534439892370652e-24 4.734497148766195456e-24 4.173727798296418435e-24
1.752515606864109010e-01 6.306815234001886301e-24 6.293241002820452649e-24 -4.135650810424926643e-25
1.825537090483446978e-01 6.302021896593002965e-24 4.141339214411107413e-24 -4.750240993499009609e-24
1.898558574102784946e-01 6.297144605116237711e-24 -4.476068970420793257e-25 -6.281216302871992812e-24
1.971580057722122914e-01 6.292102544124395653e-24 -4.765667999235332945e-24 -4.108401507501547343e-24
2.044601541341460604e-01 6.286789868018508778e-24 -6.268287273806124586e-24 4.819766567587758193e-25
2.117623024960798572e-01 6.281135049254894798e-24 -4.074418613557451233e-24 4.780352546462956359e-24
2.190644508580136540e-01 6.275139162873932854e-24 5.162444089862530658e-25 6.253867861062032058e-24
2.263665992199474231e-01 6.268872616170507305e-24 4.793702485116931534e-24 4.039700528746681079e-24
2.336687475818812199e-01 6.262433745681640431e-24 6.238238382013552767e-24 -5.499620970804331993e-25
2.409708959438150166e-01 6.255893563483843574e-24 4.004637035770674410e-24 -4.806150901643898360e-24
2.482730443057487857e-01 6.249257824285341755e-24 -5.836475129919174240e-25 -6.221943340707138818e-24
2.555751926676825825e-01 6.242467145542323368e-24 -4.818355605507234813e-24 -3.968859448513177370e-24
2.628773410296163515e-01 6.235434154427710194e-24 -6.204750305801152761e-24 6.178290514892497034e-25
2.701794893915501761e-01 6.228095737647985647e-24 -3.931981239518067589e-24 4.829979301134423269e-24
2.774816377534839451e-01 6.220450078995594389e-24 6.520337387956222560e-25 6.186182278978569807e-24
2.847837861154177141e-01 6.212556955349063969e-24 4.840412693159659710e-24 3.894389410851832827e-24
2.920859344773515387e-01 6.204500848066938980e-24 6.166490308940999135e-24 -6.857317576137951196e-25
2.993880828392853077e-01 6.196338019719272597e-24 3.856475295623315717e-24 -4.849969396693717111e-24
3.066902312012190768e-01 6.188058531062761961e-24 -7.193638026007085207e-25 -6.146103164067983751e-24
3.139923795631529013e-01 6.179586377710242459e-24 -4.859172730700336031e-24 -3.817817200024148604e-24
3.212945279250866704e-01 6.170819604696017733e-24 -6.124651817753224584e-24 7.534286329791591519e-25
3.285966762870204394e-01 6.161689329283111593e-24 -3.777941313358130441e-24 4.867604628913815570e-24
3.358988246489542639e-01 6.152205081428353256e-24 7.874973171608485018e-25 6.101596130474166078e-24
3.432009730108880330e-01 6.142460462567978470e-24 4.874746549780836726e-24 3.737200370546199368e-24
3.505031213728218020e-01 6.132594405735890178e-24 6.077366473807506845e-24 -8.211765268830148213e-25
3.578052697347556266e-01 6.122727563396781882e-24 3.696081306976419431e-24 -4.881267846348751701e-24
3.651074180966893956e-01 6.112906974276842467e-24 -8.551287279225543625e-25 -6.052799892185764976e-24
3.724095664586232202e-01 6.103087415025045857e-24 -4.888141824095768540e-24 -3.654277699212635252e-24
3.797117148205569892e-01 6.093157375975033653e-24 -6.027798007270332560e-24 8.900662851421555826e-25
3.870138631824907582e-01 6.082993071178736038e-24 -3.611240939422456196e-24 4.895073398984710760e-24
3.943160115444245828e-01 6.072509265357842251e-24 9.255699086978966696e-25 6.001557224751740033e-24
4.016181599063583518e-01 6.061679205810421620e-24 4.901029422867448100e-24 3.567052759680185462e-24
4.089203082682921209e-01 6.050515397394502796e-24 5.973733302569604007e-24 -9.608574316092949064e-25
4.162224566302259454e-01 6.039026974743130025e-24 3.522018498225972415e-24 -4.905632731853172578e-24
4.235246049921597145e-01 6.027183873577126663e-24 -9.957877857233815319e-25 -5.944354643837487065e-24
4.308267533540934835e-01 6.014914149751681388e-24 -4.908783658324621559e-24 -3.476066055852238366e-24
4.381289017160273080e-01 6.002140562989067416e-24 -5.913079685112865885e-24 1.030135901415078142e-24
4.454310500779610771e-01 5.988837614862320221e-24 -3.429364413648127174e-24 4.909749046091219601e-24
4.527331984398948461e-01 5.975075362117151339e-24 1.062925524965199050e-24 5.879771671702640069e-24
4.600353468018286707e-01 5.961020779856277308e-24 4.908140674802936214e-24 3.382886911237696419e-24
4.673374951637624397e-01 5.946889513454710460e-24 5.845459699473873342e-24 -1.093661641946179127e-24
4.746396435256962087e-01 5.932868521743270939e-24 3.337428451309207778e-24 -4.905150377784967553e-24
