# module=highfre644v
# component=axion_transition
# transition_family=bohr
# eta_model=finite_separation_fourier
# eta_reference_hz=5.2763856656606216e-04
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=1
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=5.3809271737277893e+00
# fft_nyquist_hz=2.5808713170418781e+02
# fft_dt_obs_s=1.9373302213807619e-03
# fft_df_hz=7.3021483619337881e-03
# fft_n_samples=17672
# fft_n_fft=70688
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=1.6000000000000000e+02
# spectrum_window_local_period_source_s=2.1396601464325707e-01
# spectrum_window_start_source_s=1.0826413175120510e+03
# spectrum_window_stop_source_s=1.1168758798549720e+03
# spectrum_window_duration_source_s=3.4234562342920981e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=1.0997585986835115e+03
# spectrum_window_anchor_harmonic=1
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 1.179977978402963529e-24 -1.179977978402963529e-24 0.000000000000000000e+00
7.302148361933788120e-03 1.156076068148916420e-24 -8.174836702637662388e-25 8.174547841922143663e-25
1.460429672386757624e-02 1.087038781586417079e-24 -5.273323289489618679e-29 1.087038780307348636e-24
2.190644508580136263e-02 9.804145574789872417e-25 6.931874967085406047e-25 6.933280601011799394e-25
2.920859344773515248e-02 8.473620089052472632e-25 8.473619956377138075e-25 1.499493498962954881e-28
3.651074180966894234e-02 7.008434054870064727e-25 4.957024644041841573e-25 -4.954397499174274262e-25
4.381289017160272525e-02 5.536617252838298788e-25 1.904391184978501675e-28 -5.536616925318287404e-25
5.111503853353651511e-02 4.167300282792392607e-25 -2.945596417392975923e-25 -2.947855727949253310e-25
5.841718689547030496e-02 2.978778239444967985e-25 -2.978778053439459041e-25 -1.052681476979939029e-28
6.571933525740408788e-02 2.013506555044123979e-25 -1.424111015818652084e-25 1.423417177720439768e-25
7.302148361933788467e-02 1.279900998215588194e-25 -1.253813048414474150e-29 1.279900992074304054e-25
8.032363198127166759e-02 7.593734259156589610e-26 5.369196710647450570e-26 5.369965240209761038e-26
8.762578034320545051e-02 4.161831322116381987e-26 4.161830775752922563e-26 2.132544212288239413e-29
9.492792870513924730e-02 2.075550994056923703e-26 1.470612061556464370e-26 -1.464654257268700540e-26
1.022300770670730302e-01 9.202576838173971220e-27 4.897356088216180964e-29 -9.202446525399131773e-27
1.095322254290068270e-01 3.487349782250941061e-27 -2.442359948850978271e-27 -2.489274268539795074e-27
1.168343737909406099e-01 1.045928216092037979e-27 -1.045927749823215326e-27 -9.876068137863651639e-31
1.241365221528743928e-01 2.081214620046805817e-28 -1.240403494891739546e-28 1.671183252835226914e-28
1.314386705148081758e-01 4.583698014375423418e-29 4.362538463466257310e-29 1.406607849319297614e-29
1.387408188767419726e-01 3.309862522554394187e-29 2.993255295384251669e-29 -1.412661550005617399e-29
1.460429672386757693e-01 2.433949002472921604e-29 2.433543907903662480e-29 -4.440489774676922278e-31
1.533451156006095384e-01 3.464317919319226430e-29 3.316220739988656433e-29 1.002087146801805777e-29
1.606472639625433352e-01 4.377884632361811720e-29 4.367312506058443977e-29 3.040646784735538993e-30
1.679494123244771320e-01 3.628186107400598107e-29 3.511216863412096350e-29 -9.138328993996787175e-30
1.752515606864109010e-01 2.143563753082161991e-29 2.142648855385067856e-29 -6.262145035641572322e-31
1.825537090483446978e-01 3.281296953373669630e-29 3.024513560668212569e-29 1.272488670893935941e-29
1.898558574102784946e-01 4.369256060546470942e-29 4.360242131791611672e-29 2.805121651041377303e-30
1.971580057722122914e-01 3.508634454206978418e-29 3.334767162751785182e-29 -1.090799570718978934e-29
2.044601541341460604e-01 1.994156712307422925e-29 1.993076497856826068e-29 -6.562824796929480855e-31
2.117623024960798572e-01 3.298695257297966391e-29 3.056549377586788464e-29 1.240522592657592483e-29
2.190644508580136540e-01 4.369204839061728237e-29 4.366431950866775141e-29 1.556372196172624233e-30
2.263665992199474231e-01 3.490229772366815924e-29 3.297573969617832160e-29 -1.143551388794840102e-29
2.336687475818812199e-01 2.032530763898428657e-29 2.031088850041313752e-29 -7.654664872731401269e-31
2.409708959438150166e-01 3.326291688162746957e-29 3.110209975727591182e-29 1.179326206621880606e-29
2.482730443057487857e-01 4.370879591048512106e-29 4.369482402857695371e-29 1.105076040883703807e-30
2.555751926676825825e-01 3.508672772701321549e-29 3.320079105220966894e-29 -1.134838914106633045e-29
2.628773410296163515e-01 2.092623059593833187e-29 2.090783151824103545e-29 -8.773301312688844586e-31
2.701794893915501761e-01 3.338213064310945897e-29 3.136122447964299227e-29 1.143854210164341830e-29
2.774816377534839451e-01 4.371759765977887036e-29 4.370229979843448339e-29 1.156433080665240368e-30
2.847837861154177141e-01 3.534266144369391135e-29 3.355873603193143205e-29 -1.108670166743542326e-29
