# module=highfre644v
# component=pure_binary_template
# transition_family=bohr
# eta_model=finite_separation_fourier
# eta_reference_hz=5.2763856656606216e-04
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=0.0000000000000000e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=1
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=5.3809271737277893e+00
# fft_nyquist_hz=2.5808713170418781e+02
# fft_dt_obs_s=1.9373302213807619e-03
# fft_df_hz=7.3021483619337881e-03
# fft_n_samples=17672
# fft_n_fft=70688
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=1.6000000000000000e+02
# spectrum_window_local_period_source_s=2.1396601464325707e-01
# spectrum_window_start_source_s=1.0826413175120510e+03
# spectrum_window_stop_source_s=1.1168758798549720e+03
# spectrum_window_duration_source_s=3.4234562342920981e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=1.0997585986835115e+03
# spectrum_window_anchor_harmonic=1
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 2.807063019924861154e-23 -2.807063019924861154e-23 0.000000000000000000e+00
7.302148361933788120e-03 2.750202788311110044e-23 -1.944800908447899823e-23 1.944573167390321587e-23
1.460429672386757624e-02 2.585969873888684781e-23 -2.847733112050181405e-27 2.585969858208718615e-23
2.190644508580136263e-02 2.332320833073255508e-23 1.648952467460405657e-23 1.649447249366819039e-23
2.920859344773515248e-02 2.015800514036651761e-23 2.015800482162358073e-23 3.584751510584063842e-27
3.651074180966894234e-02 1.667244823767302458e-23 1.179154686700522838e-23 -1.178685508187427729e-23
4.381289017160272525e-02 1.317111184318396328e-23 2.962929847661839953e-27 -1.317111150991850046e-23
5.111503853353651511e-02 9.913613970660325321e-24 -7.008078322239130129e-24 -7.011888489460850253e-24
5.841718689547030496e-02 7.086217729398205232e-24 -7.086217282398380127e-24 -2.516957680501069864e-27
6.571933525740408788e-02 4.789923596526813919e-24 -3.388615071393352904e-24 3.385359059020208323e-24
7.302148361933788467e-02 3.044750059413331629e-24 -1.902568163442455978e-27 3.044749464985891250e-24
8.032363198127166759e-02 1.806472201656842956e-24 1.276467461016820529e-24 1.278269391139517610e-24
8.762578034320545051e-02 9.900599883520912470e-25 9.900598454290048554e-25 5.319819904638672804e-28
9.492792870513924730e-02 4.937516487051570513e-25 3.490643497873131826e-25 -3.492059139055653003e-25
1.022300770670730302e-01 2.189098815289834585e-25 -4.130461623910124973e-28 -2.189094918542850974e-25
1.095322254290068270e-01 8.294171694959114386e-26 -5.888613536831237965e-26 -5.841020006754713848e-26
1.168343737909406099e-01 2.486202563365173309e-26 -2.486202251464060746e-26 -1.245350790952803099e-29
1.241365221528743928e-01 4.897423460410271882e-27 -3.726494140141054311e-27 3.177734723678378329e-27
1.314386705148081758e-01 6.403985899260021530e-28 -5.491655394673667289e-28 3.294352200975601698e-28
1.387408188767419726e-01 4.778821321544013223e-28 -8.448798682803384268e-29 4.703542413056170714e-28
1.460429672386757693e-01 5.937107292351785090e-28 5.936788842860323795e-28 6.149175705679036159e-30
1.533451156006095384e-01 5.571774069915348653e-28 1.387668317331000623e-29 -5.570045785502287896e-28
1.606472639625433352e-01 5.537311088223760198e-28 -5.498064277859315141e-28 6.581058306177888611e-29
1.679494123244771320e-01 5.913285450359983701e-28 3.338703097002303899e-29 5.903852592480586002e-28
1.752515606864109010e-01 5.212231172602979737e-28 5.211737531780496130e-28 7.173351019416395712e-30
1.825537090483446978e-01 4.911809464799462359e-28 -5.537640904076228197e-29 -4.880493576542089917e-28
1.898558574102784946e-01 5.552269480205640675e-28 -5.516399822710319575e-28 6.301026716532636669e-29
1.971580057722122914e-01 5.524627525706665616e-28 -9.288571748252167426e-30 5.523846625430824276e-28
2.044601541341460604e-01 4.876605974640034539e-28 4.875316233687914467e-28 1.121492462478461878e-29
2.117623024960798572e-01 4.958362583504511914e-28 -4.425027389844202172e-29 -4.938577815068708644e-28
2.190644508580136540e-01 5.499797274473601664e-28 -5.489715529584577333e-28 3.328565224615250938e-29
2.263665992199474231e-01 5.421974039669709476e-28 -1.789884345613485469e-29 5.419018880493548751e-28
2.336687475818812199e-01 5.001619521183626813e-28 5.000423012564201929e-28 1.093962069885734779e-29
2.409708959438150166e-01 5.115987457366369693e-28 -2.681269467297466490e-29 -5.108956410497880686e-28
2.482730443057487857e-01 5.486069457444154983e-28 -5.483565965004840508e-28 1.657178304894855070e-29
2.555751926676825825e-01 5.407505400395029100e-28 -1.756098364369799245e-29 5.404653165620156599e-28
2.628773410296163515e-01 5.090036730305947901e-28 5.089359131459631516e-28 8.305147134233427310e-30
2.701794893915501761e-01 5.192861904461556339e-28 -2.581271839268357100e-29 -5.186442433472688549e-28
2.774816377534839451e-01 5.559464370952342359e-28 -5.555617250403589895e-28 2.067874727989509618e-29
2.847837861154177141e-01 5.558027930791983472e-28 -1.547651301150624296e-29 5.555872769778325205e-28
2.920859344773515387e-01 5.205020665060862491e-28 5.201718813550796735e-28 1.853685746352804073e-29
2.993880828392853077e-01 5.131467682406695533e-28 -1.730152394753231257e-29 -5.128550116991510798e-28
3.066902312012190768e-01 5.471490130122906430e-28 -5.463242321108552993e-28 3.003124787297544414e-29
3.139923795631529013e-01 5.607904678118109047e-28 1.411600593766401314e-30 5.607886911951358435e-28
3.212945279250866704e-01 5.344184180689645320e-28 5.343092893393999993e-28 1.079948595813311161e-29
3.285966762870204394e-01 5.240859977241533542e-28 -1.736797604016006894e-29 -5.237981351807103226e-28
3.358988246489542639e-01 5.550881145668749953e-28 -5.543835623260170865e-28 2.795855425667293520e-29
3.432009730108880330e-01 5.650943743371011026e-28 -5.586594314145897769e-30 5.650667587740485918e-28
3.505031213728218020e-01 5.268072342479322332e-28 5.265037197144773611e-28 1.788002188966448710e-29
3.578052697347556266e-01 5.091539721012825645e-28 -2.503175973626970551e-29 -5.085382761513819895e-28
3.651074180966893956e-01 5.533460043713293408e-28 -5.510726042275187886e-28 5.010773816104316890e-29
3.724095664586232202e-01 5.799257637384988147e-28 1.141061269081929279e-29 5.798134953290595209e-28
3.797117148205569892e-01 5.443687260293780142e-28 5.440989321580227902e-28 1.713656626478376377e-29
3.870138631824907582e-01 5.173528375980198315e-28 -1.771111850942742242e-29 -5.170495864536284060e-28
3.943160115444245828e-01 5.541874564732131115e-28 -5.525482714672405496e-28 4.259277650980520665e-29
4.016181599063583518e-01 5.749959455024660672e-28 3.746946363110789456e-30 5.749837369328170162e-28
4.089203082682921209e-01 5.302618173599069884e-28 5.299183526198149542e-28 1.908230873172571618e-29
4.162224566302259454e-01 5.028790668021360498e-28 -3.104086305821263995e-29 -5.019201337348288177e-28
4.235246049921597145e-01 5.560017253612346581e-28 -5.521198536008011130e-28 6.558647623176423048e-29
4.308267533540934835e-01 5.901562324630964310e-28 1.871564299911921868e-29 5.898593929252681539e-28
4.381289017160273080e-01 5.458790133992829975e-28 5.455678311966011228e-28 1.842929280280619620e-29
4.454310500779610771e-01 5.110711533022695639e-28 -2.562397908550012969e-29 -5.104283842357689310e-28
4.527331984398948461e-01 5.593823047521617983e-28 -5.562958050471643514e-28 5.868168501983961774e-29
4.600353468018286707e-01 5.883736361027258679e-28 8.788350398857982667e-30 5.883079980401506116e-28
4.673374951637624397e-01 5.340011197831820834e-28 5.333995980850649343e-28 2.533899548884280820e-29
4.746396435256962087e-01 4.951197932784891675e-28 -3.193788553251542979e-29 -4.940886369507457719e-28
4.819417918876300333e-01 5.545647658680765804e-28 -5.494097979364383771e-28 7.543840847841794101e-29
4.892439402495638023e-01 5.932769660370845116e-28 2.308922439828813252e-29 5.928275011728567264e-28
4.965460886114975714e-01 5.406932527333871405e-28 5.404019535739386021e-28 1.774604533075165481e-29
5.038482369734313959e-01 5.022711208795823362e-28 -3.768168188708094568e-29 -5.008556376040833686e-28
5.111503853353651650e-01 5.649921534259999704e-28 -5.595476080415471635e-28 7.824709430983214272e-29
5.184525336972989340e-01 6.025134578278695966e-28 1.731888093386721614e-29 6.022644960703682455e-28
5.257546820592327030e-01 5.409664877083047269e-28 5.402435066153356753e-28 2.795879796101902845e-29
5.330568304211665831e-01 4.939556184458816630e-28 -3.363500739091987839e-29 -4.928091306703500802e-28
5.403589787831003521e-01 5.591764866632865250e-28 -5.532424992376536245e-28 8.124703240347570355e-29
5.476611271450341212e-01 5.995521983221115017e-28 2.022454114514197816e-29 5.992109865884846197e-28
5.549632755069678902e-01 5.356548520721368021e-28 5.350641373323373454e-28 2.514934371359312193e-29
5.622654238689016593e-01 4.893224457738089881e-28 -4.194903892407376019e-29 -4.875210088513199141e-28
5.695675722308354283e-01 5.626471221346121950e-28 -5.550264574135764321e-28 9.228984568898492744e-29
5.768697205927693084e-01 6.067011925676980827e-28 2.554521199584675396e-29 6.061631621990520802e-28
5.841718689547030774e-01 5.394295066418395397e-28 5.388479546319971727e-28 2.504145412653850837e-29
5.914740173166368464e-01 4.900547755511569697e-28 -4.403742485881115636e-29 -4.880721137826861440e-28
5.987761656785706155e-01 5.667284423457532557e-28 -5.585659623392445154e-28 9.583941297648591427e-29
6.060783140405043845e-01 6.116950704785616124e-28 2.434044502257567380e-29 6.112106036251951220e-28
6.133804624024381535e-01 5.392736174435917134e-28 5.384857987373368389e-28 2.913896066968855101e-29
6.206826107643720336e-01 4.858007091927658238e-28 -4.451975859134730520e-29 -4.837564678091264214e-28
6.279847591263058026e-01 5.665669064779190563e-28 -5.576613366939583106e-28 1.000594476931928170e-28
6.352869074882395717e-01 6.135907115306062504e-28 2.546584556714255783e-29 6.130620294767782540e-28
6.425890558501733407e-01 5.374767739540487613e-28 5.366306385144857241e-28 3.014697907895523592e-29
6.498912042121071098e-01 4.819159019084660038e-28 -4.791201762020624360e-29 -4.795282839205746256e-28
6.571933525740408788e-01 5.679477866468636812e-28 -5.578815703892726540e-28 1.064558207758993282e-28
6.644955009359747589e-01 6.171797831010587795e-28 2.791205533759141278e-29 6.165482964338650799e-28
6.717976492979085279e-01 5.374346175444112060e-28 5.365592512430261634e-28 3.066167054533374065e-29
6.790997976598422969e-01 4.796289407804947104e-28 -5.105558073502875091e-29 -4.769038147362928226e-28
6.864019460217760660e-01 5.703802866539125156e-28 -5.592539141663983838e-28 1.121103514086109937e-28
6.937040943837098350e-01 6.213868255019417657e-28 2.945404768015191017e-29 6.206883646264331615e-28
7.010062427456436041e-01 5.377262655563039450e-28 5.367703012942253544e-28 3.204965393939983763e-29
7.083083911075774841e-01 4.772811355529334444e-28 -5.340920050906486045e-29 -4.742833959308295692e-28
7.156105394695112532e-01 5.724992923145589418e-28 -5.603897359843370485e-28 1.171272107756173104e-28
7.229126878314450222e-01 6.252041818456869574e-28 3.059536798005588063e-29 6.244551164459297036e-28
7.302148361933787912e-01 5.376676243780822340e-28 5.366155411773378074e-28 3.361897189569239436e-29
7.375169845553125603e-01 4.746420000331091165e-28 -5.570802831761694168e-29 -4.713614788847233522e-28
7.448191329172464403e-01 5.744139298583871778e-28 -5.612709211239738528e-28 1.221733027956683763e-28
