# label=highfre axion+backreaction
# source_module=highfre322v
# source_component=axion_backreaction_total
# source_transition_family=fine
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=2
# superradiant_spin_threshold=5.5045871559633019e-01
# nu_cut_hz=7.7547497937276717e+01
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=8.0000000000000004e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
2.294549062541474118e-04 0.000000000000000000e+00
2.353841681419664093e-04 3.556703629788523082e-41
2.414666459583888786e-04 7.269888928625786849e-41
2.477062989012410415e-04 1.222152523418381896e-40
2.541071884765591735e-04 1.704926194669061625e-40
2.606734811423002665e-04 2.332899301922823450e-40
2.674094510203651803e-04 2.951696073519069512e-40
2.743194826787054633e-04 3.740643531703632033e-40
2.814080739853194171e-04 4.524821731804998288e-40
2.886798390359983043e-04 5.401091077508750311e-40
2.961395111577267195e-04 6.492875174272702437e-40
3.037919459896930253e-04 7.589045426363051680e-40
3.116421246439160606e-04 8.937473150738570226e-40
3.196951569475420338e-04 1.029897963709695904e-39
3.279562847689268252e-04 1.195561899216227587e-39
3.364308854296654350e-04 1.363646065646697944e-39
3.451244752047904324e-04 1.549509750388654163e-39
3.540427129134178573e-04 1.772671532351027573e-39
3.631914036021772997e-04 2.000445281310127153e-39
3.725765023238262574e-04 2.271810922894294514e-39
3.822041180135023197e-04 2.549753000174898901e-39
3.920805174651439224e-04 2.878621832341487877e-39
4.022121294106628404e-04 3.216504627513222309e-39
4.126055487045249292e-04 3.613859082851604047e-39
4.232675406164637167e-04 4.023233959835589825e-39
4.342050452351195857e-04 4.472406345375031353e-39
4.454251819854741605e-04 4.996538023581075737e-39
4.569352542630138029e-04 5.538433156971024814e-39
4.687427541876470864e-04 6.167052431651909415e-39
4.808553674804643828e-04 6.816123145546240814e-39
4.932809784665165981e-04 7.564376830436943642e-39
5.060276752068689713e-04 8.338076759115137284e-39
5.191037547632693875e-04 9.180615634195854958e-39
5.325177285988624875e-04 1.014683766954734910e-38
5.462783281184558845e-04 1.114780247263225709e-38
5.603945103519560912e-04 1.229196808910308332e-38
5.748754637846648346e-04 1.347869352239654117e-38
5.897306143382350209e-04 1.483111834902266395e-38
6.049696315061784194e-04 1.623537764605594832e-38
6.206024346479177469e-04 1.783128374248103722e-38
6.366391994454850172e-04 1.949000356735775105e-38
6.530903645270574615e-04 2.128914232121481597e-38
6.699666382616580734e-04 2.332628905717812803e-38
6.872790057294305517e-04 2.544638935550469202e-38
7.050387358720323168e-04 2.783745995638072890e-38
7.232573888277983457e-04 3.031847103045303853e-38
7.419468234564488085e-04 3.310522787883553647e-38
7.611192050582450035e-04 3.599777440977849254e-38
7.807870132926013037e-04 3.911541071473265734e-38
8.009630503013378785e-04 4.260753409681407030e-38
8.216604490418241138e-04 4.623389745475323166e-38
8.428926818354686530e-04 5.028862994122404273e-38
8.646735691371028364e-04 5.450048181221544046e-38
8.870172885309703104e-04 5.920186807803366399e-38
9.099383839591854107e-04 6.408673300347462018e-38
9.334517751886444673e-04 6.952594163013636554e-38
9.575727675225924242e-04 7.515852228030485814e-38
9.823170617631190541e-04 8.118763782384936988e-38
1.007700764431107435e-03 8.786830770766714489e-38
1.033740398250266321e-03 9.478407101626070178e-38
1.060452912902077639e-03 1.024371598739105111e-37
1.087855696058663817e-03 1.103593248391412416e-37
1.115966584700735014e-03 1.191148079186566239e-37
1.144803876728026342e-03 1.281778531684439363e-37
1.174386342869729273e-03 1.378428283151183270e-37
1.204733238902713083e-03 1.484691136375974945e-37
1.235864318185466403e-03 1.594277807034518541e-37
1.267799844515925083e-03 1.714651971600988256e-37
1.300560605321559671e-03 1.838778734983811660e-37
1.334167925190285530e-03 1.974993766355955400e-37
1.368643679751050486e-03 2.115440466164382932e-37
1.404010309913074394e-03 2.269272544420696785e-37
1.440290836473059758e-03 2.427410035928234059e-37
1.477508875099855633e-03 2.594856556456335304e-37
1.515688651706333058e-03 2.777708664089092681e-37
1.554855018218489820e-03 2.965681621065251026e-37
1.595033468752014025e-03 3.170802564089768684e-37
1.636250156206898662e-03 3.381545132929297990e-37
1.678531909290834501e-03 3.610853779881364707e-37
1.721906249982520188e-03 3.846122192980197753e-37
1.766401411446230293e-03 4.094518632310956243e-37
1.812046356409302344e-03 4.364613756367097171e-37
1.858870796014525225e-03 4.641799004690688313e-37
1.906905209159653111e-03 4.942603811907806079e-37
1.956180862336711658e-03 5.251041499362041335e-37
2.006729829983919765e-03 5.585581567068574877e-37
2.058585015363544133e-03 5.928784433896403258e-37
2.111780171979245248e-03 6.300668345067339589e-37
2.166349925546855442e-03 6.682022004844922208e-37
2.222329796532912863e-03 7.083696150598026763e-37
2.279756223275568143e-03 7.518339972368673950e-37
2.338666585703007891e-03 7.964347959894100467e-37
2.399099229664718690e-03 8.446340547162046962e-37
2.461093491891525476e-03 8.941014089407848220e-37
2.524689725600597068e-03 9.468398147752003727e-37
2.589929326762102982e-03 9.945020502793292847e-37
2.656854761044632422e-03 1.044186187672470359e-36
2.725509591456858841e-03 1.095955509478319901e-36
2.795938506703548026e-03 1.149876568589042849e-36
2.868187350274236606e-03 1.206003410635091579e-36
2.942303150283626101e-03 1.264398455390009052e-36
3.018334150083052878e-03 1.325115644101875992e-36
3.096329839662978131e-03 1.388203864096595124e-36
3.176340987866959394e-03 1.453715268314048038e-36
3.258419675437998313e-03 1.521686848738173570e-36
3.342619328918909269e-03 1.592161006010161807e-36
3.428994755428612772e-03 1.665163753334454798e-36
3.517602178337124897e-03 1.740725332164697642e-36
3.608499273862387450e-03 1.818858070879262642e-36
3.701745208612790012e-03 1.899571877356298444e-36
3.797400678099830881e-03 1.982868745601974326e-36
3.895527946245911245e-03 2.068731342059403373e-36
3.996190885913135545e-03 2.157145069834543815e-36
4.099455020479298058e-03 2.248064694997797636e-36
4.205387566488289104e-03 2.341450000083070021e-36
4.314057477402587562e-03 2.437226096324584633e-36
4.425535488486346397e-03 2.535316302021205077e-36
4.539894162848313874e-03 2.635615887751216826e-36
4.657207938674455018e-03 2.737996630562764140e-36
