# label=highfre axion+backreaction
# source_module=highfre322
# source_component=axion_backreaction_total
# source_transition_family=fine
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=2
# superradiant_spin_threshold=5.5045871559633019e-01
# nu_cut_hz=1.0806033479629879e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=8.0000000000000004e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
2.745881820120620325e-04 1.307837937814494164e-41
2.817696648715161518e-04 1.547637597804332988e-40
2.891389697110811636e-04 3.471908497846038994e-40
2.967010087608504070e-04 5.350544072819896919e-40
3.044608227236564497e-04 7.827826157469791100e-40
3.124235841351042059e-04 1.027630550537114389e-39
3.205946008114767963e-04 1.343076940057276213e-39
3.289793193878211720e-04 1.657943758973804890e-39
3.375833289485627485e-04 2.056034056429614482e-39
3.464123647530791840e-04 2.456612184736995959e-39
3.554723120587058760e-04 2.955258550985825086e-39
3.647692100437327630e-04 3.460407318471018753e-39
3.743092558329959253e-04 4.081073646254602998e-39
3.840988086287590395e-04 4.713421859848985614e-39
3.941443939496265818e-04 5.481792165875773602e-39
4.044527079803260264e-04 6.268450956043624217e-39
4.150306220352463255e-04 7.215219125822018476e-39
4.258851871387211107e-04 8.188624646756568801e-39
4.370236387250959055e-04 9.350426934102485869e-39
4.484534014617263544e-04 1.054933587586884827e-38
4.601820941981081959e-04 1.196985122495885579e-38
4.722175350444525726e-04 1.344051603673329249e-38
4.845677465830770824e-04 1.517176356553138874e-38
4.972409612161009934e-04 1.696931888207668640e-38
5.102456266529947857e-04 1.907318683619086815e-38
5.235904115416575161e-04 2.126328394665361528e-38
5.372842112467577855e-04 2.381333020973532275e-38
5.513361537792096706e-04 2.647405666150538833e-38
5.657556058807159663e-04 2.955732334898663068e-38
5.805521792674539841e-04 3.278064475999732889e-38
5.957357370370475105e-04 3.649985190893351957e-38
6.113164002431132693e-04 4.039532450480055725e-38
6.273045546417468877e-04 4.487275970794838941e-38
6.437108576144630898e-04 4.957044630142786245e-38
6.605462452721865951e-04 5.495087460521612345e-38
6.778219397450485975e-04 6.060484207214133784e-38
6.955494566628269695e-04 6.705949689531628705e-38
7.137406128310385539e-04 7.385209078682724872e-38
7.324075341077781022e-04 8.158335069986345383e-38
7.515626634865764421e-04 8.973020633327006360e-38
7.712187693906435906e-04 9.897707118562287028e-38
7.913889541840478208e-04 1.087329834226092855e-37
8.120866629054821926e-04 1.197774811684624659e-37
8.333256922304618569e-04 1.314430969474273673e-37
8.551201996679038591e-04 1.446160273411369910e-37
8.774847129972441345e-04 1.585425937111025214e-37
9.004341399523549134e-04 1.742325630798049441e-37
9.239837781587476907e-04 1.908362635175636607e-37
9.481493253306539281e-04 2.095023620884396067e-37
9.729468897348130928e-04 2.292734349346350771e-37
9.983930009279109400e-04 2.514554543267319837e-37
1.024504620774856082e-03 2.749705756578689489e-37
1.051299154755210496e-03 3.013027001723846928e-37
1.078794463565338133e-03 3.292396899173773705e-37
1.107008875023977792e-03 3.604662516604040811e-37
1.135961196289206462e-03 3.936182292888589554e-37
1.165670726394902289e-03 4.306055416344445369e-37
1.196157269115101073e-03 4.698999886800318409e-37
1.227441146164783741e-03 5.136671644150901512e-37
1.259543210745931461e-03 5.601952871260332036e-37
1.292484861447839922e-03 6.119363213411233114e-37
1.326288056510997607e-03 6.669761583622358233e-37
1.360975328463997049e-03 7.280878073476037860e-37
1.396569799143273539e-03 7.931342594499352145e-37
1.433095195105645297e-03 8.652445663420716267e-37
1.470575863443968675e-03 9.420387902246768062e-37
1.509036788016408911e-03 1.027048662781318010e-36
1.548503606100187736e-03 1.117630503485326857e-36
1.589002625480863233e-03 1.217761576538965423e-36
