# label=highfre pure binary template
# source_module=highfre_pure_peters
# source_component=pure_binary_template
# source_transition_family=none
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=0
# superradiant_spin_threshold=nan
# nu_cut_hz=1.3085122500000000e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=8.0000000000000004e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
7.260477239435371259e-04 3.301097993718979274e-43
7.438713956314961040e-04 3.880726097507658424e-42
7.621326188218751447e-04 7.904317020356372583e-42
7.808421349219799631e-04 1.244827477801699124e-41
8.000109490288288090e-04 1.756421721119444101e-41
8.196503364024489754e-04 2.330834108415858340e-41
8.397718490980779884e-04 3.069351682016538027e-41
8.603873227611825818e-04 3.794250054507968316e-41
8.815088835892830434e-04 4.602343234192518692e-41
9.031489554646911916e-04 5.501519061521637041e-41
9.253202672623404975e-04 6.500348503315744376e-41
9.480358603370206590e-04 7.608141720573151416e-41
9.713090961944102460e-04 8.971842831001656621e-41
9.951536643504337466e-04 1.033732727561707438e-40
1.019583590383547726e-03 1.184530540320924696e-40
1.044613244184708703e-03 1.350873195334158738e-40
1.070257348409860230e-03 1.534165694267261672e-40
1.096530987139931286e-03 1.735931410208443671e-40
1.123449614753417982e-03 1.977487620446343519e-40
1.151029065016782567e-03 2.222521695048967387e-40
1.179285560398004879e-03 2.491484999498920824e-40
1.208235721608784223e-03 2.786482158757692384e-40
1.237896577380978580e-03 3.109792131377676402e-40
1.268285574483052564e-03 3.463882076827416071e-40
1.299420587982410939e-03 3.879669724629231848e-40
1.331319931759672318e-03 4.305312644835579097e-40
1.364002369281046290e-03 4.770530627014547906e-40
1.397487124635165678e-03 5.278711560147947461e-40
1.431793893840855062e-03 5.833518968791600640e-40
1.466942856432504935e-03 6.438733948830156636e-40
1.502954687329840101e-03 7.137574373478247692e-40
1.539850568999086072e-03 7.855390062287752411e-40
1.577652203912677676e-03 8.634884478691402741e-40
1.616381827314831944e-03 9.480942315421131785e-40
1.656062220300518525e-03 1.039881420070726447e-39
1.696716723215489038e-03 1.139412880007077595e-39
1.738369249385262249e-03 1.253105774926139212e-39
1.781044299181157135e-03 1.370353413924435302e-39
1.824766974431613108e-03 1.497327266827652237e-39
1.869562993187301242e-03 1.634780607229533723e-39
1.915458704848703149e-03 1.783522007248099832e-39
1.962481105665046018e-03 1.944417756301251179e-39
2.010657854613737312e-03 2.126708822662794194e-39
2.060017289669604634e-03 2.315291936424189534e-39
2.110588444473537450e-03 2.519067214224082026e-39
2.162401065410314745e-03 2.739187458648840243e-39
2.215485629105694732e-03 2.976676121142064995e-39
2.269873360353016900e-03 3.232190366044815618e-39
2.325596250479898628e-03 3.518796851563089059e-39
2.382687076165794678e-03 3.814874729250995716e-39
2.441179418721536529e-03 4.133025164522767589e-39
2.501107683842135072e-03 4.474781201311022291e-39
2.562507121844505732e-03 4.841773408385710768e-39
2.625413848402011023e-03 5.235736607752650951e-39
2.689864865787994393e-03 5.675322900647725300e-39
2.755898084640849566e-03 6.129902510409203353e-39
2.823552346263375618e-03 6.617427419613216836e-39
2.892867445469552226e-03 7.140132429990720157e-39
2.963884153992205235e-03 7.699654690324110692e-39
3.036644244465278985e-03 8.297050004392283480e-39
3.111190514994857312e-03 8.958325035733139009e-39
3.187566814333377390e-03 9.640023317928745956e-39
3.265818067671828404e-03 1.036716071522480584e-38
3.345990303065151175e-03 1.114252708059272130e-38
3.428130678506322460e-03 1.196909738054940371e-38
3.512287509665080760e-03 1.284999817846281611e-38
3.598510298307632579e-03 1.382155296817454443e-38
3.686849761414003317e-03 1.482234069927459909e-38
3.777357861010199620e-03 1.588459352166333316e-38
3.870087834732719497e-03 1.701156835076774220e-38
3.965094227143371557e-03 1.820696708844301501e-38
4.062432921812870329e-03 1.947466221866544745e-38
4.162161174192025546e-03 2.086414441763244662e-38
4.264337645289864066e-03 2.229124803996275818e-38
4.369022436178570876e-03 2.380353865627690968e-38
4.476277123345429217e-03 2.540290727956189002e-38
4.586164794912642867e-03 2.709228565530216662e-38
4.698750087746312622e-03 2.887655379748306856e-38
4.814099225476371584e-03 3.082229023068172994e-38
4.932280057449919645e-03 3.281504614282827678e-38
5.053362098640775714e-03 3.491894767257030729e-38
5.177416570538754918e-03 3.713837841780748537e-38
5.304516443042812945e-03 3.947611849991847730e-38
5.434736477382494553e-03 4.193838756351133359e-38
5.568153270093180625e-03 4.461324300063614799e-38
5.704845298070805072e-03 4.734858943247546675e-38
5.844892964732615812e-03 5.022923713275768698e-38
5.988378647311185486e-03 5.325969747957774895e-38
6.135386745309381537e-03 5.644677906950813241e-38
6.286003730144876928e-03 5.979878214091314406e-38
6.440318196013383907e-03 6.342965055689313412e-38
6.598420912000492293e-03 6.714172949908516699e-38
6.760404875472851571e-03 7.104298805474295878e-38
6.926365366780005972e-03 7.514269257861229646e-38
7.096400005299080722e-03 7.945096261004214387e-38
7.270608806855378969e-03 8.397812925215791332e-38
7.449094242552510917e-03 8.886693220559922643e-38
7.631961299046785205e-03 9.386644151034729545e-38
7.819317540301256100e-03 9.911653232494484844e-38
8.011273170855738590e-03 1.045546650018942362e-37
8.207941100650104418e-03 1.095528152080470459e-37
8.409437011438850376e-03 1.147522344908763119e-37
8.615879424836053388e-03 1.201591866008353376e-37
8.827389772030900736e-03 1.257796300069604821e-37
9.044092465214415705e-03 1.316191015670919332e-37
9.266114970759879374e-03 1.376832397031278908e-37
9.493587884199598467e-03 1.439772668613114585e-37
9.726645007042280730e-03 1.505060219700465506e-37
9.965423425476285443e-03 1.572740774913878840e-37
1.021006359100485629e-02 1.642856995690009324e-37
1.046070940306087840e-02 1.715446867973880713e-37
1.071750829364979257e-02 1.790543093786208529e-37
1.098061131407031786e-02 1.868170203992449332e-37
1.125017322376415177e-02 1.948347941859586453e-37
1.152635258134675732e-02 2.031089283171678020e-37
1.180931183787293712e-02 2.116400450571185525e-37
1.209921743239187816e-02 2.204279053940468660e-37
1.239623988984807357e-02 2.294713351969614108e-37
1.270055392138550419e-02 2.387676351357896709e-37
1.301233852711426546e-02 2.483132166832617707e-37
1.333177710139991576e-02 2.581030241637917687e-37
1.365905754073765480e-02 2.681307643846071869e-37
1.399437235427459722e-02 2.783886175811453766e-37
1.433791877704534631e-02 2.888670476170109793e-37
1.468989888598726604e-02 2.995541313468042479e-37
1.505051971880392268e-02 3.104364750955736230e-37
1.541999339574637133e-02 3.214982583860423738e-37
1.579853724438414972e-02 3.327215329751899778e-37
1.618637392743915021e-02 3.440922533308914319e-37
1.658373157375779908e-02 3.556225318857808173e-37
1.699084391249834625e-02 3.672975375693893077e-37
1.740795041061234463e-02 3.790957360346354247e-37
1.783529641370119878e-02 3.909931680838975701e-37
1.827313329033048925e-02 4.029638480082967091e-37
1.872171857988715743e-02 4.149780489107939766e-37
1.918131614406631477e-02 4.270029273048187917e-37
1.965219632207701114e-02 4.390007896969887086e-37
2.013463608965798679e-02 4.509309718646613272e-37
2.062891922199724601e-02 4.627492611529022333e-37
2.113533646065096638e-02 4.744086131345515796e-37
2.165418568456024470e-02 4.858563472383067126e-37
2.218577208526593264e-02 4.970349524462852404e-37
2.273040834642502117e-02 5.078798623889689818e-37
2.328841482773371871e-02 5.183224978103337332e-37
2.386011975336586877e-02 5.282896898698479028e-37
2.444585940503710142e-02 5.377694070751929902e-37
2.504597831980871422e-02 5.468108108332966524e-37
2.566082949274721067e-02 5.553526008750511407e-37
2.629077458455910885e-02 5.633255740617660145e-37
2.693618413432275621e-02 5.706587819212978530e-37
2.759743777744267518e-02 5.772771515060651898e-37
2.827492446895424685e-02 5.830974992951313829e-37
2.896904271231049571e-02 5.880298227209419586e-37
2.968020079378509354e-02 5.919840813585187958e-37
3.040881702262995812e-02 5.948631061725057471e-37
3.115531997712819856e-02 5.965599360218400101e-37
3.192014875668765239e-02 5.969619901198354051e-37
3.270375324012276402e-02 5.961716243944008247e-37
3.350659435027728006e-02 5.943491479595275134e-37
3.432914432514284908e-02 5.914160860533819710e-37
3.517188699563361665e-02 5.872912659412604543e-37
3.603531807017951172e-02 5.819012117419165449e-37
3.691994542630631926e-02 5.751636336763087858e-37
3.782628940937352024e-02 5.669865967035303888e-37
3.875488313864582091e-02 5.572893007033157615e-37
3.970627282087857424e-02 5.459804380374502975e-37
4.068101807160110633e-02 5.331802429687608645e-37
4.167969224428751118e-02 5.193589066465784333e-37
4.270288276760788454e-02 5.045025634471939353e-37
4.375119149095903909e-02 4.885589172462300157e-37
4.482523503847730267e-02 4.714993594060677096e-37
4.592564517174227423e-02 4.532741267034429503e-37
4.705306916138415896e-02 4.338369419925074011e-37
4.820817016781411141e-02 4.131888132872196327e-37
4.939162763130063027e-02 3.919850810293578262e-37
5.060413767162231374e-02 3.706079041019952234e-37
5.184641349753126710e-02 3.490513777679285625e-37
5.311918582626877494e-02 3.279387874057037306e-37
5.442320331337920786e-02 3.089223323556314495e-37
5.575923299307581488e-02 2.965086424108755463e-37
5.712806072941657709e-02 3.102183618768424010e-37
5.853049167855637475e-02 4.031941958993360999e-37
5.996735076234648715e-02 7.417838851580673224e-37
6.143948315356087542e-02 1.821107201206215778e-36
6.294775477303381217e-02 4.911635888910871756e-36
6.449305279900212351e-02 1.311490386096569136e-35
6.607628618895075578e-02 3.283840955260523924e-35
6.769838621426960135e-02 7.493303437453526797e-35
6.936030700803498539e-02 1.539699608729074610e-34
7.106302612623915937e-02 2.820119979545545709e-34
7.280754512279680180e-02 4.579499162373640306e-34
7.459489013866783813e-02 6.616629112914886436e-34
7.642611250544215085e-02 8.609246044118866670e-34
7.830228936374190873e-02 1.029499306072026949e-33
8.022452429680455854e-02 1.160554635649430227e-33
