# label=highfre pure binary template
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=0
# superradiant_spin_threshold=nan
# nu_cut_hz=1.3085122500000000e+02
# characteristic_mass_msun=5.0500000000000000e-01
# columns=frequency_hz omega_gw
7.260477239435371259e-04 8.252744984297415329e-44
7.438713956314961040e-04 9.701815243769109419e-43
7.621326188218751447e-04 1.976079255089086773e-42
7.808421349219799631e-04 3.112068694504238890e-42
8.000109490288288090e-04 4.391054302798594321e-42
8.196503364024489754e-04 5.827085271039628007e-42
8.397718490980779884e-04 7.673379205041322127e-42
8.603873227611825818e-04 9.485625136269890204e-42
8.815088835892830434e-04 1.150585808548126614e-41
9.031489554646911916e-04 1.375379765380405437e-41
9.253202672623404975e-04 1.625087125828931506e-41
9.480358603370206590e-04 1.902035430143282756e-41
9.713090961944102460e-04 2.242960707750409312e-41
9.951536643504337466e-04 2.584331818904264007e-41
1.019583590383547726e-03 2.961326350802304603e-41
1.044613244184708703e-03 3.377182988335390728e-41
1.070257348409860230e-03 3.835414235668148573e-41
1.096530987139931286e-03 4.339828525521103059e-41
1.123449614753417982e-03 4.943719051115851660e-41
1.151029065016782567e-03 5.556304237622411330e-41
1.179285560398004879e-03 6.228712498747296963e-41
1.208235721608784223e-03 6.966205396894223824e-41
1.237896577380978580e-03 7.774480328444185907e-41
1.268285574483052564e-03 8.659705192068532020e-41
1.299420587982410939e-03 9.699174311573069425e-41
1.331319931759672318e-03 1.076328161208894570e-40
1.364002369281046290e-03 1.192632656753636773e-40
1.397487124635165678e-03 1.319677890036986661e-40
1.431793893840855062e-03 1.458379742197899752e-40
1.466942856432504935e-03 1.609683487207539159e-40
1.502954687329840101e-03 1.784393593369562331e-40
