# module=highfre_pure_peters
# component=pure_binary_template
# template_model=peters
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000000e-02
# eccentricity_init=6.5000000000000002e-01
# orbital_frequency_init_hz=5.1120000000000001e+00
# duration_source_s=3.1298904538341159e+01
# window_orbits=1.6000000000000000e+02
# sample_points=8192
# pad_factor=4
# fft_nyquist_hz=1.3085122500000000e+02
# fft_dt_obs_s=3.8211335048640165e-03
# fft_df_hz=7.9865249633789062e-03
# fft_n_samples=8192
# fft_n_fft=32768
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
0.000000000000000000e+00 1.292766071120319329e-25 -1.292766071120319329e-25 0.000000000000000000e+00
7.986524963378906217e-03 1.267008272411923067e-25 -8.930787930854702466e-26 8.987325696230473034e-26
1.597304992675781243e-02 1.192390306912063821e-25 5.592894488544611044e-28 1.192377190132839418e-25
2.395957489013671865e-02 1.076548522708725675e-25 7.639157686650245137e-26 7.585442769748278029e-26
3.194609985351562487e-02 9.310963701476444625e-26 9.310962953000857025e-26 3.733370798098490388e-29
3.993262481689453108e-02 7.699890629891530311e-26 5.476372265977088383e-26 -5.412731520843091685e-26
4.791914978027343730e-02 6.074907253711652942e-26 6.171301256523485469e-28 -6.074593784384153133e-26
5.590567474365234352e-02 4.561563419876211981e-26 -3.194229974443487978e-26 -3.256494388743747626e-26
6.389219970703124973e-02 3.252371092816005898e-26 -3.252370369555638246e-26 -2.169013992958919102e-29
7.187872467041014901e-02 2.197606118738198129e-26 -1.525736542427753650e-26 1.581644921028791327e-26
7.986524963378906217e-02 1.404234962603309739e-26 5.688010485280973076e-28 1.403082493608074162e-26
8.785177459716797532e-02 8.443414582993889101e-27 6.246311377565784007e-27 5.681095316469008667e-27
9.583829956054687460e-02 4.724543271114606814e-27 4.724531990009848011e-27 1.032453427009097802e-29
1.038248245239257739e-01 2.437329816946997629e-27 1.993783868351599832e-27 -1.401928144692093284e-27
1.118113494873046870e-01 1.182507887908524318e-27 5.837333909675978154e-28 -1.028387200054215424e-27
1.197978744506836002e-01 4.979113464531828026e-28 8.650567348418627888e-29 -4.903391452677103809e-28
1.277843994140624995e-01 4.278424378606524336e-29 4.227284691853741251e-29 6.595296031821809103e-30
1.357709243774413987e-01 4.297404810041427099e-28 3.684498469504207276e-28 2.211822580947293228e-28
1.437574493408202980e-01 5.829338829271541813e-28 5.825234553992045290e-28 -2.187088874051820431e-29
1.517439743041992251e-01 4.171710181777195248e-28 3.543399098195025727e-28 -2.201701312997337370e-28
1.597304992675781243e-01 1.600688671763446044e-28 1.598435063408096044e-28 8.490919843798624435e-30
1.677170242309570236e-01 4.387296674282822271e-28 3.893285330419086774e-28 2.022548255077404570e-28
1.757035491943359506e-01 5.833983586695056292e-28 5.827099712928121589e-28 -2.833256525983942639e-29
1.836900741577148499e-01 4.154608442541620784e-28 3.515203067901049246e-28 -2.214524486714283926e-28
1.916765991210937492e-01 1.598863912791693779e-28 1.595591867901099366e-28 1.022369928912519724e-29
1.996631240844726485e-01 4.410489853335134815e-28 3.926427613303481081e-28 2.008877035525096822e-28
2.076496490478515478e-01 5.838956962851530551e-28 5.829267649346458207e-28 -3.362396263309610827e-29
2.156361740112304748e-01 4.135451749719403865e-28 3.479523467335848995e-28 -2.234922283775520788e-28
2.236226989746093741e-01 1.599095755527092848e-28 1.594598590487853351e-28 1.198439425207454493e-29
2.316092239379882733e-01 4.435958939626384118e-28 3.963709364174784294e-28 1.991667590338397762e-28
