# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=lisa.csv
1.022606944899999730e-05 9.224143633167176888e-06
1.032415669784920317e-05 9.051926172468515274e-06
1.042318478798983294e-05 8.882924062151908100e-06
1.052316274386033513e-05 8.717077270684664214e-06
1.062409967646041974e-05 8.554326887340934368e-06
1.072600478418151480e-05 8.394615101274794953e-06
1.082888735364484275e-05 8.237885180986290632e-06
1.093275676054788761e-05 8.084081454168616398e-06
1.103762247051862597e-05 7.933149287933694658e-06
1.114349403997830970e-05 7.785035069405130831e-06
1.125038111701215990e-05 7.639686186674862875e-06
1.135829344224878193e-05 7.497051010114365256e-06
1.146724084974764923e-05 7.357078874035441193e-06
1.157723326789546074e-05 7.219720058693118813e-06
1.168828072031073649e-05 7.084925772624555955e-06
1.180039332675744932e-05 6.952648135317961717e-06
1.191358130406708469e-05 6.822840160204462020e-06
1.202785496706976362e-05 6.695455737968449558e-06
1.214322472953431375e-05 6.570449620168583929e-06
1.225970110511710209e-05 6.447777403165172059e-06
1.237729470832034440e-05 6.327395512348802661e-06
1.249601625545920501e-05 6.209261186659684946e-06
1.261587656563857835e-05 6.093332463398910468e-06
1.273688656173883024e-05 5.979568163323360037e-06
1.285905727141140555e-05 5.867927876018592453e-06
1.298239982808357865e-05 5.758371945544312670e-06
1.310692547197323958e-05 5.650861456348236757e-06
1.323264555111301782e-05 5.545358219443141001e-06
1.335957152238463829e-05 5.441824758840960947e-06
1.348771495256276581e-05 5.340224298241626284e-06
1.361708751936931713e-05 5.240520747969233578e-06
1.374770101253744788e-05 5.142678692152593948e-06
1.387956733488604257e-05 5.046663376145471581e-06
1.401269850340449960e-05 4.952440694180900646e-06
1.414710665034764839e-05 4.859977177256584659e-06
1.428280402434158303e-05 4.769239981246343531e-06
1.441980299149965705e-05 4.680196875233336706e-06
1.455811603654963517e-05 4.592816230061574316e-06
1.469775576397120105e-05 4.507067007100416471e-06
1.483873489914483033e-05 4.422918747219267994e-06
1.498106628951122633e-05 4.340341559969402378e-06
1.512476290574234648e-05 4.259306112965503389e-06
1.526983784292317587e-05 4.179783621466620256e-06
1.541630432174532716e-05 4.101745838151072233e-06
1.556417568971163833e-05 4.025165043083144280e-06
1.571346542235260512e-05 3.950014033866307033e-06
1.586418712445452123e-05 3.876266115980761301e-06
1.601635453129905345e-05 3.803895093301092263e-06
1.616998150991518684e-05 3.732875258791280930e-06
1.632508206034268954e-05 3.663181385373121035e-06
1.648167031690818152e-05 3.594788716965379138e-06
1.663976054951293632e-05 3.527672959690047642e-06
1.679936716493357466e-05 3.461810273242952275e-06
1.696050470813467083e-05 3.397177262425238231e-06
1.712318786359452516e-05 3.333750968833360322e-06
1.728743145664307296e-05 3.271508862703922176e-06
1.745325045481320022e-05 3.210428834910625204e-06
1.762065996920446324e-05 3.150489189111073348e-06
1.778967525586043198e-05 3.091668634039967585e-06
1.796031171715874568e-05 3.033946275946165574e-06
1.813258490321481583e-05 2.977301611170854042e-06
1.830651051329904106e-05 2.921714518864657432e-06
1.848210439726721201e-05 2.867165253839016525e-06
1.865938255700521747e-05 2.813634439554108346e-06
1.883836114788698464e-05 2.761103061236725917e-06
1.901905648024703233e-05 2.709552459124855925e-06
1.920148502086652928e-05 2.658964321839706469e-06
1.938566339447421282e-05 2.609320679881327508e-06
1.957160838526109386e-05 2.560603899245674232e-06
1.975933693841032374e-05 2.512796675160550235e-06
1.994886616164108121e-05 2.465882025939083713e-06
2.014021332676792616e-05 2.419843286947301111e-06
2.033339587127446150e-05 2.374664104685024047e-06
2.052843139990272951e-05 2.330328430976465463e-06
2.072533768625726183e-05 2.286820517270148514e-06
2.092413267442488767e-05 2.244124909044651210e-06
2.112483448061014101e-05 2.202226440318837651e-06
2.132746139478585671e-05 2.161110228265091865e-06
2.153203188236031435e-05 2.120761667922402844e-06
2.173856458585962184e-05 2.081166427008687120e-06
2.194707832662697532e-05 2.042310440829832338e-06
2.215759210653748751e-05 2.004179907284066340e-06
2.237012510973019391e-05 1.966761281958551616e-06
2.258469670435593580e-05 1.930041273318212757e-06
2.280132644434274968e-05 1.894006837984994198e-06
2.302003407117746215e-05 1.858645176104533667e-06
2.324083951570508609e-05 1.823943726799435866e-06
2.346376289994479825e-05 1.789890163707550977e-06
2.368882453892381305e-05 1.756472390603643157e-06
2.391604494252881706e-05 1.723678537102420974e-06
2.414544481737472011e-05 1.691496954442226360e-06
2.437704506869202436e-05 1.659916211347221910e-06
2.461086680223153030e-05 1.628925089966760037e-06
2.484693132618811458e-05 1.598512581890859309e-06
2.508526015314212616e-05 1.568667884239648363e-06
2.532587500202024728e-05 1.539380395826319565e-06
2.556879780007433514e-05 1.510639713391251239e-06
2.581405068488005721e-05 1.482435627906730503e-06
2.606165600635388331e-05 1.454758120950657205e-06
2.631163632879024051e-05 1.427597361147684384e-06
2.656401443291740101e-05 1.400943700677223512e-06
2.681881331797389531e-05 1.374787671846319123e-06
2.707605620380401076e-05 1.349119983726529690e-06
2.733576653297425921e-05 1.323931518853881127e-06
2.759796797290930951e-05 1.299213329990103963e-06
2.786268441804897044e-05 1.274956636944592828e-06
2.812993999202586504e-05 1.251152823455480585e-06
2.839975904986340649e-05 1.227793434129045285e-06
2.867216618019575972e-05 1.204870171436176228e-06
2.894718620750811819e-05 1.182374892765134050e-06
2.922484419439943376e-05 1.160299607529057716e-06
2.950516544386591936e-05 1.138636474327699635e-06
2.978817550160735698e-05 1.117377798162023874e-06
3.007390015835463586e-05 1.096516027700950484e-06
3.036236545222051621e-05 1.076043752598845356e-06
3.065359767107202281e-05 1.055953700863482649e-06
3.094762335492652166e-05 1.036238736272801824e-06
3.124446929836992791e-05 1.016891855840084049e-06
3.154416255299863066e-05 9.979061873265317362e-07
3.184673042988492466e-05 9.792749867998529884e-07
3.215220050206544404e-05 9.609916362391696357e-07
3.246060060705437009e-05 9.430496411837797711e-07
3.277195884937977307e-05 9.254426284266169429e-07
3.308630360314529745e-05 9.081643437501599913e-07
3.340366351461536058e-05 8.912086497049867599e-07
3.372406750482624362e-05 8.745695234296799542e-07
3.404754477222110938e-05 8.582410545113451605e-07
3.437412479531140017e-05 8.422531652678748125e-07
3.470383733536268437e-05 8.267637469998934455e-07
3.503671243910735065e-05 8.117510101153885031e-07
3.537278044148228621e-05 7.971691843376202276e-07
3.571207196839349741e-05 7.829752421966424435e-07
3.605461793950719178e-05 7.691287270692536191e-07
3.640044957106738232e-05 7.555916019703706214e-07
3.674959837874044094e-05 7.423281171953381880e-07
3.710209618048729231e-05 7.293046950756712072e-07
3.745797509946319394e-05 7.164898302474386503e-07
3.781726756694461442e-05 7.038540039509797271e-07
3.818000632528530390e-05 6.913696109794998386e-07
3.854622443089946961e-05 6.790108979791760309e-07
3.891595525727486852e-05 6.667539118738985137e-07
