preset,alpha,snr_model,source_parameter_tag,detector_curve_kind,scan_low_hz,detector_curve_extrapolated,snr_ref,rho2_ref,transition_freq_obs_mhz,peak_overlap_abs,max_h_axion_ref,time_samples,nyquist_hz,df_hz,runtime_s,status,message
211v,0.1,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.4457712186562727e-16,2.0902544166948441e-32,3.5542678954652192e-02,7.8620590058610222e-04,1.8424712907128232e-29,65994,2.6139899738890152e-03,7.9219019119587095e-08,4.126,ok,
211v,0.12,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.4711131399858551e-15,2.1641738706390422e-30,1.0612987067953147e-01,1.4365134276238963e-03,1.4482317394466304e-28,65994,2.6139899738890152e-03,7.9219019119587095e-08,4.116,ok,
211v,0.14,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,7.3186510846525664e-15,5.3562653698886191e-29,2.6761988073422344e-01,1.3205288730805508e-03,4.5703185382435131e-28,65994,2.6139899738890152e-03,7.9219019119587095e-08,3.757,ok,
211v,0.16,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,2.8823121321433225e-14,8.3077232271005839e-28,5.9630720205256216e-01,1.1960193372926430e-03,1.2046788932084235e-27,65994,2.6139899738890152e-03,7.9219019119587095e-08,3.751,ok,
211v,0.18,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,3.5629129966081049e-13,1.2694349021398948e-25,1.2088855581870381e+00,1.0857868786953403e-03,2.8054580113383965e-27,114450,4.5333374527847491e-03,7.9219527353162932e-08,3.824,ok,
211v,0.2,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.2276712384301202e-04,1.5071766696685452e-08,2.2747314531455709e+00,9.8848245305753089e-04,5.9345075674711166e-27,215356,8.5302351889877566e-03,7.9219851678037823e-08,4.143,ok,
211v,0.22,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,8.3393391853761600e-04,6.9544578048750313e-07,4.0298255278656159e+00,9.0251137557356600e-04,1.1614036391287379e-26,381510,1.5111613367302964e-02,7.9220011885942508e-08,5.897,ok,
211v,0.24,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,4.4328255520238551e-03,1.9649942374675593e-05,6.7923117233883739e+00,8.2640385377649630e-04,2.1332378725830206e-26,643008,2.5469577851294140e-02,7.9220096332531286e-08,11.745,ok,
211v,0.26,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.9599196370367195e-02,3.8412849836421461e-04,1.0979694250640440e+01,7.5889473431360588e-04,3.7147207042018020e-26,1039246,4.1164608525363147e-02,7.9220143306518665e-08,17.170,ok,
211v,0.28,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,7.1609713547270124e-02,5.1279510743220819e-03,1.7127672366798976e+01,6.9845499821257276e-04,6.1884759639026781e-26,1620331,6.4181409549546597e-02,7.9220170643691834e-08,24.665,ok,
211v,0.3,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=1;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.9623012929003505e-01,3.8506263641183876e-02,2.5910612958491502e+01,6.4375084782660537e-04,9.9052428179473264e-26,2447596,9.6949506616472739e-02,7.9220187168530050e-08,33.843,ok,
