preset,alpha,snr_model,detector_curve_kind,scan_low_hz,detector_curve_extrapolated,snr_ref,rho2_ref,transition_freq_obs_mhz,peak_overlap_abs,max_h_axion_ref,time_samples,nyquist_hz,df_hz,runtime_s,status,message
322,0.1,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,7.2582165361225562e-12,5.2681707285242913e-23,1.7347585665579143e-02,5.6323758163596429e-04,1.4221771748003654e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,7.728,ok,
322,0.10202020202,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,1.1021518314211071e-11,1.2147386595049006e-22,1.9172111087287873e-02,6.4787273684585285e-04,1.8423465096653103e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,6.402,ok,
322,0.10404040404,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,1.8008928832416623e-11,3.2432151769104673e-22,2.1147020745414021e-02,7.4317288290990031e-04,2.3808850116458088e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,6.288,ok,
322,0.106060606061,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,2.0117579560496933e-11,4.0471700737292392e-22,2.3281425227849959e-02,8.5022096433723577e-04,3.0526953952592064e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,7.919,ok,
322,0.108080808081,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,1.9607743038641519e-11,3.8446358706939492e-22,2.5584795867862851e-02,9.7016670217857370e-04,3.8993270795726468e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,8.397,ok,
322,0.110101010101,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,3.1208219201239292e-11,9.7395294571260092e-22,2.8066971749918526e-02,1.1042041723142140e-03,4.9644623464480078e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,6.472,ok,
322,0.112121212121,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,3.1461413153132084e-11,9.8982051759207243e-22,3.0738166714042767e-02,1.2535166798153729e-03,6.2871543340297138e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,7.859,ok,
322,0.114141414141,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,4.1882854111775367e-11,1.7541734685482590e-21,3.3608976360767602e-02,1.4190364866279738e-03,7.9123154981684462e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,9.299,ok,
322,0.116161616162,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,7.7670734001925469e-11,6.0327429203978610e-21,3.6690385055200114e-02,1.6015512601051513e-03,9.9308949756141852e-26,12625,4.8927399775477174e-04,1.9377188029891951e-08,7.860,ok,
322,0.118181818182,deterministic_strain_psd_v6_geometry_quadrature_decigo_n4_response,characteristic_strain,2.0000000000000001e-04,True,9.0150215562439927e-11,8.1270613659543851e-21,3.9993772932553767e-02,1.8006631969519030e-03,1.2385898583634194e-25,12625,4.8927399775477174e-04,1.9377188029891951e-08,6.488,ok,
