# module=highfre322
# component=frequency_window
# transition_family=fine
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=1.4121429464253092e+01
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
3.338441725812371260e+03 3.338441725812371260e+03 -4.532119086773627714e+01 -1.052520921548386153e-21 0.000000000000000000e+00 -1.052520921548386153e-21 -1.052517177119641398e-21 0.000000000000000000e+00 6.399465079559668590e-01 7.214859613235331199e+04
3.338444674299188591e+03 3.338444674299188591e+03 -4.531824238091894586e+01 -1.344909993918649222e-21 0.000000000000000000e+00 -1.344909993918649222e-21 -1.344905830072437886e-21 0.000000000000000000e+00 6.399464988085795669e-01 7.214866148958254780e+04
3.338447622786005923e+03 3.338447622786005923e+03 -4.531529389410161457e+01 -1.664681476149960892e-21 0.000000000000000000e+00 -1.664681476149960892e-21 -1.664676861206129998e-21 0.000000000000000000e+00 6.399464896611922748e-01 7.214872684681179817e+04
3.338450571272822799e+03 3.338450571272822799e+03 -4.531234540728473803e+01 -2.014372460298036818e-21 0.000000000000000000e+00 -2.014372460298036818e-21 -2.014367365304242318e-21 0.000000000000000000e+00 6.399464805138049828e-01 7.214879220404101943e+04
3.338453519759640130e+03 3.338453519759640130e+03 -4.530939692046740674e+01 -2.396409898466308884e-21 0.000000000000000000e+00 -2.396409898466308884e-21 -2.396404301050822531e-21 0.000000000000000000e+00 6.399464713664176907e-01 7.214885756127025525e+04
3.338456468246457462e+03 3.338456468246457462e+03 -4.530644843365007546e+01 -2.812758342526363079e-21 -0.000000000000000000e+00 -2.812758342526363079e-21 -2.812752234552241073e-21 0.000000000000000000e+00 6.399464622190303986e-01 7.214892291849949106e+04
3.338459416733274793e+03 3.338459416733274793e+03 -4.530349994683274417e+01 -3.264262506342985234e-21 -0.000000000000000000e+00 -3.264262506342985234e-21 -3.264255906832821201e-21 0.000000000000000000e+00 6.399464530716431065e-01 7.214898827572872688e+04
3.338462365220092124e+03 3.338462365220092124e+03 -4.530055146001541289e+01 -3.749437054649731735e-21 -0.000000000000000000e+00 -3.749437054649731735e-21 -3.749430032335765583e-21 0.000000000000000000e+00 6.399464439242558145e-01 7.214905363295797724e+04
3.338465313706909001e+03 3.338465313706909001e+03 -4.529760297319853635e+01 -4.262246849125046297e-21 -0.000000000000000000e+00 -4.262246849125046297e-21 -4.262239563067868212e-21 0.000000000000000000e+00 6.399464347768685224e-01 7.214911899018719851e+04
3.338468262193726332e+03 3.338468262193726332e+03 -4.529465448638120506e+01 -4.788027708362260345e-21 -0.000000000000000000e+00 -4.788027708362260345e-21 -4.788020478470214379e-21 0.000000000000000000e+00 6.399464256294812303e-01 7.214918434741643432e+04
