# module=highfre322
# component=selected_time_window
# transition_family=fine
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=1.4121429464253092e+01
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
3.372432610959779595e+03 3.372432610959779595e+03 -1.133030572032794225e+01 8.770127154732984823e-23 0.000000000000000000e+00 8.770127154732984823e-23 8.770302835379329597e-23 0.000000000000000000e+00 6.398410220416250738e-01 7.290224816304697015e+04
3.372435377484433502e+03 3.372435377484433502e+03 -1.132753919567403500e+01 -8.843621803275645865e-23 0.000000000000000000e+00 -8.843621803275645865e-23 -8.843420330571356345e-23 0.000000000000000000e+00 6.398410134534453508e-01 7.290230951908239513e+04
3.372438144009086955e+03 3.372438144009086955e+03 -1.132477267102058249e+01 -2.793252023296201172e-22 0.000000000000000000e+00 -2.793252023296201172e-22 -2.793229058202394429e-22 0.000000000000000000e+00 6.398410048652657389e-01 7.290237087511782011e+04
3.372440910533740862e+03 3.372440910533740862e+03 -1.132200614636667524e+01 -4.863489018643521175e-22 0.000000000000000000e+00 -4.863489018643521175e-22 -4.863462977196516021e-22 0.000000000000000000e+00 6.398409962770861270e-01 7.290243223115324508e+04
3.372443677058394314e+03 3.372443677058394314e+03 -1.131923962171322273e+01 -7.110440223801478169e-22 0.000000000000000000e+00 -7.110440223801478169e-22 -7.110410826009890560e-22 0.000000000000000000e+00 6.398409876889065151e-01 7.290249358718865551e+04
3.372446443583048222e+03 3.372446443583048222e+03 -1.131647309705931548e+01 -9.551069771850305284e-22 -0.000000000000000000e+00 -9.551069771850305284e-22 -9.551036717908796134e-22 0.000000000000000000e+00 6.398409791007267922e-01 7.290255494322408049e+04
3.372449210107702129e+03 3.372449210107702129e+03 -1.131370657240540822e+01 -1.220391550434824991e-21 -0.000000000000000000e+00 -1.220391550434824991e-21 -1.220387847565924691e-21 0.000000000000000000e+00 6.398409705125471802e-01 7.290261629925950547e+04
3.372451976632355581e+03 3.372451976632355581e+03 -1.131094004775195572e+01 -1.508890632701799244e-21 -0.000000000000000000e+00 -1.508890632701799244e-21 -1.508886499441760393e-21 0.000000000000000000e+00 6.398409619243675683e-01 7.290267765529493045e+04
3.372454743157009489e+03 3.372454743157009489e+03 -1.130817352309804846e+01 -1.822689465582231517e-21 -0.000000000000000000e+00 -1.822689465582231517e-21 -1.822684869344487222e-21 0.000000000000000000e+00 6.398409533361879564e-01 7.290273901133035542e+04
3.372457509681662941e+03 3.372457509681662941e+03 -1.130540699844459596e+01 -2.163868942435665388e-21 -0.000000000000000000e+00 -2.163868942435665388e-21 -2.163863853039527214e-21 0.000000000000000000e+00 6.398409447480083445e-01 7.290280036736576585e+04
