# module=highfre322v
# component=frequency_window
# transition_family=fine
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=1.4121429464253092e+01
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
3.360191031290531555e+03 3.360191031290531555e+03 -2.357188538957598212e+01 1.759860773577901393e-21 -7.534208587266862170e-25 1.759107352719174574e-21 1.759861008294995066e-21 1.325568673075776813e-03 6.398790195709598283e-01 7.263078003522101790e+04
3.360193982941594641e+03 3.360193982941594641e+03 -2.356893373851289653e+01 1.736328836208323641e-21 -7.772061276335444400e-25 1.735551630080690166e-21 1.736329110361780878e-21 1.325568262264949617e-03 6.398790104101410581e-01 7.263084548453333264e+04
3.360196934592657726e+03 3.360196934592657726e+03 -2.356598208744981093e+01 1.707920162563957175e-21 -7.479499938392334131e-25 1.707172212570117764e-21 1.707920470728830920e-21 1.325567863589817647e-03 6.398790012493223989e-01 7.263091093384564738e+04
3.360199886243720812e+03 3.360199886243720812e+03 -2.356303043638672534e+01 1.674500916218736351e-21 -6.676491095711341861e-25 1.673833267109165272e-21 1.674501252318258154e-21 1.325567477050376133e-03 6.398789920885036286e-01 7.263097638315796212e+04
3.360202837894783897e+03 3.360202837894783897e+03 -2.356007878532363975e+01 1.635911477190882039e-21 -5.417837358402480737e-25 1.635369693455041826e-21 1.635911834396034583e-21 1.325567102646620955e-03 6.398789829276849694e-01 7.263104183247026231e+04
3.360205789545846983e+03 3.360205789545846983e+03 -2.355712713426055416e+01 1.591964598169732325e-21 -3.789437335618721671e-25 1.591585654436170415e-21 1.591964968824209256e-21 1.325566740378547126e-03 6.398789737668663102e-01 7.263110728178257705e+04
3.360208741196910069e+03 3.360208741196910069e+03 -2.355417548319746857e+01 1.542443203194737368e-21 -1.902423365813414669e-25 1.542252960858155994e-21 1.542443578659623252e-21 1.325566390246149442e-03 6.398789646060475400e-01 7.263117273109489179e+04
3.360211692847973154e+03 3.360211692847973154e+03 -2.355122383213438297e+01 1.487097785500248845e-21 1.144228527196990875e-26 1.487109227785520807e-21 1.487098156056961697e-21 1.325566052249422047e-03 6.398789554452288808e-01 7.263123818040720653e+04
3.360214644499036240e+03 3.360214644499036240e+03 -2.354827218107129738e+01 1.425643353234445046e-21 2.123459132493053476e-25 1.425855699147694357e-21 1.425643707861299878e-21 1.325565726388358437e-03 6.398789462844102216e-01 7.263130362971950672e+04
3.360217596150098871e+03 3.360217596150098871e+03 -2.354532053000866654e+01 1.357755862107225158e-21 3.987576352773717668e-25 1.358154619742502588e-21 1.357756188382830905e-21 1.325565412662953408e-03 6.398789371235914514e-01 7.263136907903182146e+04
3.360220547801161956e+03 3.360220547801161956e+03 -2.354236887894558095e+01 1.283068063879683982e-21 5.579555635392821403e-25 1.283626019443223179e-21 1.283068347644407149e-21 1.325565111073199586e-03 6.398789279627727922e-01 7.263143452834412165e+04
3.360223499452225042e+03 3.360223499452225042e+03 -2.353941722788249535e+01 1.201164687376062427e-21 6.790750538824836968e-25 1.201843762429944913e-21 1.201164912558517731e-21 1.325564821619090033e-03 6.398789188019540219e-01 7.263149997765643639e+04
3.360226451103288127e+03 3.360226451103288127e+03 -2.353646557681940976e+01 1.111576856967534889e-21 7.538501758305178453e-25 1.112330707143365365e-21 1.111577005267664269e-21 1.325564544300618245e-03 6.398789096411353627e-01 7.263156542696875113e+04
3.360229402754351213e+03 3.360229402754351213e+03 -2.353351392575632417e+01 1.013775639562806837e-21 7.771778294530042225e-25 1.014552817392259813e-21 1.013775690026999183e-21 1.325564279117775546e-03 6.398789004803167035e-01 7.263163087628106587e+04
3.360232354405414299e+03 3.360232354405414299e+03 -2.353056227469323858e+01 9.071644582052872107e-22 7.474658931866823951e-25 9.079119240984738059e-22 9.071645278491323926e-22 1.325563690878146230e-03 6.398788913194842776e-01 7.263169632567634108e+04
3.360235306056477384e+03 3.360235306056477384e+03 -2.352761062363015299e+01 7.910707996915938960e-22 6.667423615253354079e-25 7.917375420531192514e-22 7.910710068464036790e-22 1.325562850729322239e-03 6.398788821586411935e-01 7.263176177513696894e+04
3.360238257707540470e+03 3.360238257707540470e+03 -2.352465897256706739e+01 6.647363495783258296e-22 5.405164991522188797e-25 6.652768660774780236e-22 6.647367118235241905e-22 1.325562022565766928e-03 6.398788729977979983e-01 7.263182722459758224e+04
3.360241209358603555e+03 3.360241209358603555e+03 -2.352170732150398180e+01 5.273055653342621195e-22 3.774027582186541074e-25 5.276829680924807316e-22 5.273061017449411084e-22 1.325561206387487236e-03 6.398788638369549142e-01 7.263189267405821010e+04
3.360244161009666641e+03 3.360244161009666641e+03 -2.351875567044089621e+01 3.778130579253981059e-22 1.885330253757623942e-25 3.780015909507738748e-22 3.778137891546870858e-22 1.325560402194490318e-03 6.398788546761117191e-01 7.263195812351882341e+04
3.360247112660729726e+03 3.360247112660729726e+03 -2.351580401937781062e+01 2.151693279084198262e-22 -1.320308640349591285e-26 2.151561248220163163e-22 2.151702766732482635e-22 1.325559609986783332e-03 6.398788455152686350e-01 7.263202357297945127e+04
3.360250064311792812e+03 3.360250064311792812e+03 -2.351285236831472503e+01 3.814503661044836098e-23 -2.140379023425475674e-25 3.793099870810581566e-23 3.814622769011700619e-23 1.325558829764372564e-03 6.398788363544254398e-01 7.263208902244006458e+04
3.360253015962855898e+03 3.360253015962855898e+03 -2.350990071725163943e+01 -1.546458814996522609e-22 -4.002652738264359124e-25 -1.550461467734787051e-22 -1.546444207156560702e-22 1.325558061527263871e-03 6.398788271935823557e-01 7.263215447190069244e+04
3.360255967613918983e+03 3.360255967613918983e+03 -2.350694906618855384e+01 -3.647635442749886781e-22 -5.591759659064587743e-25 -3.653227202408951375e-22 -3.647617836993262101e-22 1.325557305275462889e-03 6.398788180327391606e-01 7.263221992136130575e+04
3.360258919264982069e+03 3.360258919264982069e+03 -2.350399741512546825e+01 -5.939584399793435870e-22 -6.799250087545512340e-25 -5.946383649880981544e-22 -5.939563464452203407e-22 1.325556561008975473e-03 6.398788088718960765e-01 7.263228537082193361e+04
