# module=highfre322v
# component=selected_time_window
# transition_family=fine
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=6.4623052646217953e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
2.718406210877355261e+04 2.718406210877355261e+04 -2.476182870388947777e+01 1.025106933988484456e-21 1.153543297909201322e-26 1.025118469421463503e-21 1.025106928964917565e-21 9.736231079348074799e-05 6.398154068560941710e-01 2.689356483997904579e+05
2.718406815473374445e+04 2.718406815473374445e+04 -2.475578274369763676e+01 1.039363061629677146e-21 1.195339751525094317e-26 1.039375015027192384e-21 1.039363058216848410e-21 9.736231011513438508e-05 6.398154045216318808e-01 2.689357097691979725e+05
2.718407420069393993e+04 2.718407420069393993e+04 -2.474973678350215778e+01 1.051104499637506615e-21 1.165460082195545684e-26 1.051116154238328577e-21 1.051104497645528746e-21 9.736230944347242671e-05 6.398154021871695907e-01 2.689357711386054871e+05
2.718408024665413177e+04 2.718408024665413177e+04 -2.474369082331031677e+01 1.060379058276595277e-21 1.065695964748385834e-26 1.060389715236242847e-21 1.060379057428613401e-21 9.736230877849488645e-05 6.398153998527074116e-01 2.689358325080130016e+05
2.718408629261432361e+04 2.718408629261432361e+04 -2.473764486311847577e+01 1.067224199724750595e-21 9.020295527840860381e-27 1.067233220020278354e-21 1.067224199671253001e-21 9.736230812020175074e-05 6.398153975182451214e-01 2.689358938774205744e+05
2.718409233857451909e+04 2.718409233857451909e+04 -2.473159890292299679e+01 1.071667402257480851e-21 6.842747677492254523e-27 1.071674245005158332e-21 1.071667401967815157e-21 9.736230899562543990e-05 6.398153951837822762e-01 2.689359552468396141e+05
2.718409838453471093e+04 2.718409838453471093e+04 -2.472555294273115578e+01 1.073726422293950661e-21 4.254888250742222656e-27 1.073730677182201349e-21 1.073726422140389345e-21 9.736231002130831512e-05 6.398153928493194309e-01 2.689360166162597598e+05
2.718410443049490277e+04 2.718410443049490277e+04 -2.471950698253931478e+01 1.073409468032986411e-21 1.411892990661405292e-27 1.073410879925977080e-21 1.073409468411158742e-21 9.736231105363622480e-05 6.398153905148566967e-01 2.689360779856799054e+05
2.718411047645509461e+04 2.718411047645509461e+04 -2.471346102234747377e+01 1.070715276591803451e-21 -1.515763640159871430e-27 1.070713760828163286e-21 1.070715277807992664e-21 9.736231209260920959e-05 6.398153881803938514e-01 2.689361393550999928e+05
2.718411652241529009e+04 2.718411652241529009e+04 -2.470741506215199479e+01 1.065633101830781230e-21 -4.352530629784159311e-27 1.065628749300151536e-21 1.065633104124798893e-21 9.736231313822725595e-05 6.398153858459310062e-01 2.689362007245201967e+05
