# module=highfre644
# component=frequency_window
# transition_family=bohr
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=5.3809271737277893e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
1.073770552962753982e+03 1.073770552962753982e+03 -2.598804572075755459e+01 -1.113179313212343521e-21 3.615710753949422974e-23 -1.077022205672849356e-21 -1.113129736168408266e-21 4.876423673094003042e-01 6.400539404715478442e-01 3.536049512201638572e+04
1.073772053817232290e+03 1.073772053817232290e+03 -2.598654486627924598e+01 -1.390260213983548541e-21 4.312192986723800482e-23 -1.347138284116310519e-21 -1.390207563389880693e-21 4.876441927323398873e-01 6.400539261541351443e-01 3.536054580221180368e+04
1.073773554671710826e+03 1.073773554671710826e+03 -2.598504401180071000e+01 -1.687162064236883956e-21 4.997607409491283222e-23 -1.637185990141971077e-21 -1.687106154340128159e-21 4.876460390779923104e-01 6.400539118367223335e-01 3.536059648240722890e+04
1.073775055526189135e+03 1.073775055526189135e+03 -2.598354315732240138e+01 -2.005400003314738121e-21 5.670193946004306023e-23 -1.948698063854695190e-21 -2.005340648079100828e-21 4.876479063460134600e-01 6.400538975193096336e-01 3.536064716260263958e+04
1.073776556380667671e+03 1.073776556380667671e+03 -2.598204230284386540e+01 -2.346539753148362408e-21 6.328225443942015447e-23 -2.283257498708942289e-21 -2.346476774002423591e-21 4.876497945360603326e-01 6.400538832018968227e-01 3.536069784279806481e+04
1.073778057235145980e+03 1.073778057235145980e+03 -2.598054144836555679e+01 -2.712146081533404652e-21 6.970012109822977301e-23 -2.642445960435174797e-21 -2.712079320334792823e-21 4.876517036477876488e-01 6.400538688844841229e-01 3.536074852299348277e+04
1.073779558089624288e+03 1.073779558089624288e+03 -2.597904059388724818e+01 -3.103695222486368755e-21 7.593905847945746377e-23 -3.027756164006911115e-21 -3.103624561203668689e-21 4.876536336808510175e-01 6.400538545670713120e-01 3.536079920318889344e+04
1.073781058944102824e+03 1.073781058944102824e+03 -2.597753973940871219e+01 -3.522430495625071749e-21 8.198304492836776788e-23 -3.440447450696703981e-21 -3.522355887222214993e-21 4.876555846349053258e-01 6.400538402496586121e-01 3.536084988338431867e+04
1.073782559798581133e+03 1.073782559798581133e+03 -2.597603888493040358e+01 -3.969128280233690994e-21 8.781655922403621962e-23 -3.881311721009654798e-21 -3.969049796688495727e-21 4.876575565096043507e-01 6.400538259322458012e-01 3.536090056357973663e+04
1.073784060653059669e+03 1.073784060653059669e+03 -2.597453803045186760e+01 -4.443722010278337584e-21 9.342462044890949652e-23 -4.350297389829428417e-21 -4.443639916808065343e-21 4.876595493046027019e-01 6.400538116148331014e-01 3.536095124377516186e+04
1.073785561507537977e+03 1.073785561507537977e+03 -2.597303717597355899e+01 -4.944700204848586056e-21 9.879282644520183633e-23 -4.845907378403383973e-21 -4.944615075374758521e-21 4.876615630195527684e-01 6.400537972974202905e-01 3.536100192397057253e+04
1.073787062362016286e+03 1.073787062362016286e+03 -2.597153632149525038e+01 -5.468142914395738281e-21 1.039073908104327192e-22 -5.364235523585305914e-21 -5.468055811707978058e-21 4.876635976541079387e-01 6.400537829800075906e-01 3.536105260416599049e+04
1.073788563216494822e+03 1.073788563216494822e+03 -2.597003546701671439e+01 -6.006176601567178586e-21 1.087551782957652211e-22 -5.897421423271413506e-21 -6.006089359518688987e-21 4.876656532079210460e-01 6.400537686625947797e-01 3.536110328436141572e+04
1.073790064070973131e+03 1.073790064070973131e+03 -2.596853461253840578e+01 -6.544490493725599370e-21 1.133237385341217075e-22 -6.431166755191477992e-21 -6.544406161106294429e-21 4.876677296806434248e-01 6.400537543451820799e-01 3.536115396455682639e+04
1.073791564925451667e+03 1.073791564925451667e+03 -2.596703375805986980e+01 -7.058339272564784846e-21 1.176013380235296602e-22 -6.940737934541255750e-21 -7.058262810058310189e-21 4.876698270719272421e-01 6.400537400277692690e-01 3.536120464475225162e+04
1.073793065779929975e+03 1.073793065779929975e+03 -2.596553290358156119e+01 -7.506125586803667104e-21 1.215769902502019908e-22 -7.384548596553465301e-21 -7.506064956550091674e-21 4.876719453814229444e-01 6.400537257103564581e-01 3.536125532494766958e+04
1.073794566634408511e+03 1.073794566634408511e+03 -2.596403204910302520e+01 -7.819207742889748368e-21 1.252404839142513226e-22 -7.693967258975496505e-21 -7.819175576098994949e-21 4.876740846087818104e-01 6.400537113929437583e-01 3.536130600514309481e+04
1.073796067488886820e+03 1.073796067488886820e+03 -2.596253119462471659e+01 -7.886159987844802990e-21 1.285824091463850045e-22 -7.757577578698417515e-21 -7.886176021354230705e-21 4.876762447536534539e-01 6.400536970755309474e-01 3.536135668533850549e+04
1.073797568343365128e+03 1.073797568343365128e+03 -2.596103034014640798e+01 -7.530015856370643947e-21 1.315941816842468778e-22 -7.398421674686396740e-21 -7.530110107525151132e-21 4.876784258156879881e-01 6.400536827581182475e-01 3.536140736553392344e+04
1.073799069197843664e+03 1.073799069197843664e+03 -2.595952948566787200e+01 -6.480392270193721164e-21 1.342680649156241455e-22 -6.346124205278097066e-21 -6.480607966373652807e-21 4.876806277945348600e-01 6.400536684407054366e-01 3.536145804572934867e+04
1.073800570052321973e+03 1.073800570052321973e+03 -2.595802863118956338e+01 -4.355353076574348134e-21 1.365971897536362197e-22 -4.218755886820711702e-21 -4.355745438235429481e-21 4.876828506898422955e-01 6.400536541232927368e-01 3.536150872592475935e+04
1.073802070906800509e+03 1.073802070906800509e+03 -2.595652777671102740e+01 -7.041441616593558472e-22 1.385755722817035585e-22 -5.655685893776522417e-22 -7.047644122560549525e-22 4.876850945012594640e-01 6.400536398058799259e-01 3.536155940612018458e+04
