# module=highfre644
# component=selected_time_window
# transition_family=bohr
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=5.3809271737277893e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
1.093258572923893553e+03 1.093258572923893553e+03 -6.500025759617983567e+00 2.211718656665785105e-21 -1.313679806389815385e-22 2.080350676026803613e-21 2.211724004325746406e-21 4.991847427101414048e-01 6.398679326420904090e-01 3.601886394378338446e+04
1.093260159993318666e+03 1.093260159993318666e+03 -6.498438690192870126e+00 2.169617165301987601e-21 -1.277110838800393631e-22 2.041906081421948238e-21 2.169623010490746142e-21 4.991859925549661514e-01 6.398679174857379026e-01 3.601891758484543243e+04
1.093261747062743780e+03 1.093261747062743780e+03 -6.496851620767756685e+00 2.122759302494210204e-21 -1.236867861197357763e-22 1.999072516374474381e-21 2.122765632337749222e-21 4.991872642507608204e-01 6.398679023293852852e-01 3.601897122590748040e+04
1.093263334132168893e+03 1.093263334132168893e+03 -6.495264551342643244e+00 2.070990078048772224e-21 -1.193066616130549485e-22 1.951683416435717416e-21 2.070996879532695726e-21 4.991885577974233823e-01 6.398678871730327788e-01 3.601902486696952838e+04
1.093264921201594007e+03 1.093264921201594007e+03 -6.493677481917529803e+00 2.014135520631543018e-21 -1.145833082136682927e-22 1.899552212417874796e-21 2.014142780467474928e-21 4.991898731948517520e-01 6.398678720166801615e-01 3.601907850803156907e+04
1.093266508271019120e+03 1.093266508271019120e+03 -6.492090412492416363e+00 1.952001258383322139e-21 -1.095303111411289398e-22 1.842470947242193246e-21 1.952008962865069796e-21 4.991912104429438446e-01 6.398678568603275441e-01 3.601913214909361704e+04
1.093268095340444233e+03 1.093268095340444233e+03 -6.490503343067302922e+00 1.884370904606937929e-21 -1.041622039105272472e-22 1.780208700696410576e-21 1.884379039434800635e-21 4.991925695415975750e-01 6.398678417039750377e-01 3.601918579015566502e+04
1.093269682409869347e+03 1.093269682409869347e+03 -6.488916273642189481e+00 1.811004226734979755e-21 -9.849442653457838649e-23 1.712509800200401193e-21 1.811012776826880497e-21 4.991939504907108582e-01 6.398678265476224203e-01 3.601923943121771299e+04
1.093271269479294460e+03 1.093271269479294460e+03 -6.487329204217076040e+00 1.731635074095769510e-21 -9.254328111417491698e-23 1.639091792981594617e-21 1.731644023363413753e-21 4.991953532901816648e-01 6.398678113912699139e-01 3.601929307227976096e+04
1.093272856548719574e+03 1.093272856548719574e+03 -6.485742134791962599e+00 1.645969036646178805e-21 -8.632588495674884355e-23 1.559643151689429949e-21 1.645978367762594748e-21 4.991967779399077987e-01 6.398677962349172965e-01 3.601934671334180166e+04
1.093274443618144687e+03 1.093274443618144687e+03 -6.484155065366849158e+00 1.553680803400276922e-21 -7.986012134189658996e-23 1.473820682058380250e-21 1.553690497537760944e-21 4.991982244397871749e-01 6.398677810785646791e-01 3.601940035440384963e+04
1.093276030687569801e+03 1.093276030687569801e+03 -6.482567995941735717e+00 1.454411185988814375e-21 -7.316458808729218918e-23 1.381246597901522245e-21 1.454421222493677201e-21 4.991996927897177083e-01 6.398677659222121727e-01 3.601945399546589761e+04
1.093277617756994914e+03 1.093277617756994914e+03 -6.480980926516622276e+00 1.347763768861587079e-21 -6.625854405827793687e-23 1.281505224803309200e-21 1.347774124891630947e-21 4.992011829895970365e-01 6.398677507658595554e-01 3.601950763652794558e+04
1.093279204826420028e+03 1.093279204826420028e+03 -6.479393857091508835e+00 1.233301144819567884e-21 -5.916185377669315161e-23 1.174139291042874803e-21 1.233311794892943852e-21 4.992026950393234075e-01 6.398677356095070490e-01 3.601956127758998628e+04
1.093280791895845141e+03 1.093280791895845141e+03 -6.477806787666395394e+00 1.110540691642001742e-21 -5.189493028242295295e-23 1.058645761359578789e-21 1.110551607210848855e-21 4.992042289387942922e-01 6.398677204531544316e-01 3.601961491865203425e+04
