# module=highfre644v
# component=frequency_window
# transition_family=bohr
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=5.3812334869975658e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
1.082593124985822215e+03 1.082593124985822215e+03 -1.699855685755733248e+01 2.264429823686488102e-21 -6.604372528809924024e-23 2.198386098398389026e-21 2.264431977310362319e-21 4.989389699654778187e-01 6.399681879763750025e-01 3.566064335669168213e+04
1.082595062253684546e+03 1.082595062253684546e+03 -1.699661958969500120e+01 2.220735099415519210e-21 -5.736186259060384694e-23 2.163373236824915433e-21 2.220737805703730417e-21 4.989383392002094686e-01 6.399681694835691603e-01 3.566070880555260374e+04
1.082596999521546877e+03 1.082596999521546877e+03 -1.699468232183266991e+01 2.170215546656243025e-21 -4.843456903154030737e-23 2.121780977624702700e-21 2.170218870018083513e-21 4.989377403027150382e-01 6.399681509907633181e-01 3.566077425441352534e+04
1.082598936789408981e+03 1.082598936789408981e+03 -1.699274505397056600e+01 2.112626335059515171e-21 -3.930004382714148057e-23 2.073326291232373784e-21 2.112630343202784719e-21 4.989371732720470076e-01 6.399681324979574759e-01 3.566083970327444695e+04
1.082600874057271312e+03 1.082600874057271312e+03 -1.699080778610823472e+01 2.047683401462287736e-21 -2.999737281641704457e-23 2.017686028645870650e-21 2.047688166039033097e-21 4.989366381072560253e-01 6.399681140051515227e-01 3.566090515213536855e+04
1.082602811325133644e+03 1.082602811325133644e+03 -1.698887051824590344e+01 1.975060049604931784e-21 -2.056636123277813899e-23 1.954493688372153477e-21 1.975065646981549710e-21 4.989361348073932945e-01 6.399680955123456805e-01 3.566097060099629016e+04
1.082604748592995975e+03 1.082604748592995975e+03 -1.698693325038357216e+01 1.894382956981610403e-21 -1.104736338885963499e-23 1.883335593592750805e-21 1.894389469042965151e-21 4.989356633715076872e-01 6.399680770195398383e-01 3.566103604985721904e+04
1.082606685860858079e+03 1.082606685860858079e+03 -1.698499598252146825e+01 1.805227509383136167e-21 -1.481110013072463349e-24 1.803746399370063539e-21 1.805235024421618411e-21 4.989352237986478533e-01 6.399680585267339961e-01 3.566110149871813337e+04
1.082608623128720410e+03 1.082608623128720410e+03 -1.698305871465913697e+01 1.707112369617680904e-21 8.091466019926954477e-24 1.715203835637608042e-21 1.707120983391765416e-21 4.989348160878609995e-01 6.399680400339281539e-01 3.566116694757905498e+04
1.082610560396582741e+03 1.082610560396582741e+03 -1.698112144679680569e+01 1.599493172113062643e-21 1.762940482348185216e-23 1.617122576936544525e-21 1.599502988994838102e-21 4.989344402381941657e-01 6.399680215411222006e-01 3.566123239643998386e+04
1.082612497664445073e+03 1.082612497664445073e+03 -1.697918417893447440e+01 1.481755217951864841e-21 2.709189475399582144e-23 1.508847112705860669e-21 1.481766352182611697e-21 4.989340962486928932e-01 6.399680030483163584e-01 3.566129784530090546e+04
1.082614434932307176e+03 1.082614434932307176e+03 -1.697724691107237049e+01 1.353205027873603350e-21 3.643844702535160046e-23 1.389643474898954997e-21 1.353217605108510201e-21 4.989337841184018907e-01 6.399679845555105162e-01 3.566136329416181979e+04
1.082616372200169508e+03 1.082616372200169508e+03 -1.697530964321003921e+01 1.213060593960976563e-21 4.562906895333658092e-23 1.258689662914313097e-21 1.213074752921602153e-21 4.989335038463649230e-01 6.399679660627046740e-01 3.566142874302274140e+04
1.082618309468031839e+03 1.082618309468031839e+03 -1.697337237534770793e+01 1.060440156421643782e-21 5.462443505673473750e-23 1.115064591478378472e-21 1.060456050854667685e-21 4.989332554316250334e-01 6.399679475698988318e-01 3.566149419188367028e+04
1.082620246735894170e+03 1.082620246735894170e+03 -1.697143510748537665e+01 8.943493240077297798e-22 6.338605532458703900e-23 9.577353793323167247e-22 8.943671248503963743e-22 4.989330388732240440e-01 6.399679290770928786e-01 3.566155964074459189e+04
1.082622184003756274e+03 1.082622184003756274e+03 -1.696949783962327274e+01 7.136663622935393745e-22 7.187643989755616629e-23 7.855428021910955056e-22 7.136862602071113850e-22 4.989328541702032771e-01 6.399679105842870364e-01 3.566162508960550622e+04
1.082624121271618606e+03 1.082624121271618606e+03 -1.696756057176094146e+01 5.171255047600418302e-22 8.005925947693852755e-23 5.971847642369803342e-22 5.171477129370122102e-22 4.989327013216024453e-01 6.399678920914811942e-01 3.566169053846643510e+04
