# module=highfre644v
# component=selected_time_window
# transition_family=bohr
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=5.3812334869975658e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
5.043745305114038047e+02 5.043745305114038047e+02 -5.952171513319757423e+02 2.006264393210856000e-21 -0.000000000000000000e+00 2.006264393210856000e-21 2.014835690619102169e-21 0.000000000000000000e+00 6.454000868250897582e-01 1.639037133709754562e+04
5.050043126210102855e+02 5.050043126210102855e+02 -5.945873692223692615e+02 -6.476018726710053310e-21 -0.000000000000000000e+00 -6.476018726710053310e-21 -6.377013900674134212e-21 0.000000000000000000e+00 6.453942638738038307e-01 1.641107790420121455e+04
5.056340947306168232e+02 5.056340947306168232e+02 -5.939575871127626669e+02 -1.126869037607163364e-21 -0.000000000000000000e+00 -1.126869037607163364e-21 -1.177034039263050805e-21 0.000000000000000000e+00 6.453884409225179031e-01 1.643178447130488348e+04
5.062638768402233040e+02 5.062638768402233040e+02 -5.933278050031562998e+02 2.332880897877940611e-21 0.000000000000000000e+00 2.332880897877940611e-21 2.332461907366755863e-21 0.000000000000000000e+00 6.453826179712319755e-01 1.645249103840855241e+04
5.068936589498298417e+02 5.068936589498298417e+02 -5.926980228935497053e+02 -8.292674948451009756e-22 -0.000000000000000000e+00 -8.292674948451009756e-22 -7.908599870399006063e-22 0.000000000000000000e+00 6.453767950199460479e-01 1.647319760551222134e+04
5.075234410594363226e+02 5.075234410594363226e+02 -5.920682407839432244e+02 -7.074694365698333111e-21 -0.000000000000000000e+00 -7.074694365698333111e-21 -7.134030773165014485e-21 0.000000000000000000e+00 6.453709720686601203e-01 1.649390417261589027e+04
5.081532231690428603e+02 5.081532231690428603e+02 -5.914384586743367436e+02 1.944135633675871822e-21 0.000000000000000000e+00 1.944135633675871822e-21 1.939631280200267766e-21 0.000000000000000000e+00 6.453651491173741928e-01 1.651461073971955921e+04
5.087830052786493411e+02 5.087830052786493411e+02 -5.908086765647301490e+02 1.393271843919539224e-21 -0.000000000000000000e+00 1.393271843919539224e-21 1.395503251520367728e-21 0.000000000000000000e+00 6.453593261660882652e-01 1.653531730682322814e+04
5.094127873882558788e+02 5.094127873882558788e+02 -5.901788944551236682e+02 3.342422073114219100e-21 0.000000000000000000e+00 3.342422073114219100e-21 3.096771012030799335e-21 0.000000000000000000e+00 6.453535017692008102e-01 1.655602825469033996e+04
5.100425694978623596e+02 5.100425694978623596e+02 -5.895491123455171874e+02 6.192545651434949182e-22 -0.000000000000000000e+00 6.192545651434949182e-22 6.053505898098508401e-22 0.000000000000000000e+00 6.453476765678257676e-01 1.657674164048423336e+04
5.106723516074688973e+02 5.106723516074688973e+02 -5.889193302359105928e+02 2.212620306236511518e-21 -0.000000000000000000e+00 2.212620306236511518e-21 2.216618452791792496e-21 0.000000000000000000e+00 6.453418513664506140e-01 1.659745502627812675e+04
5.113021337170753782e+02 5.113021337170753782e+02 -5.882895481263042257e+02 -3.900633606584576010e-21 0.000000000000000000e+00 -3.900633606584576010e-21 -3.825516881773026513e-21 0.000000000000000000e+00 6.453360261650754603e-01 1.661816841207202015e+04
5.119319158266819159e+02 5.119319158266819159e+02 -5.876597660166976311e+02 -2.672081518949632341e-21 -0.000000000000000000e+00 -2.672081518949632341e-21 -2.740933364931738739e-21 0.000000000000000000e+00 6.453302009637004177e-01 1.663888179786591354e+04
5.125616979362883967e+02 5.125616979362883967e+02 -5.870299839070911503e+02 2.284444379694177932e-21 -0.000000000000000000e+00 2.284444379694177932e-21 2.280844706988459708e-21 0.000000000000000000e+00 6.453243757623252641e-01 1.665959518365980693e+04
5.131914800458948775e+02 5.131914800458948775e+02 -5.864002017974846694e+02 1.377692266394030072e-22 -0.000000000000000000e+00 1.377692266394030072e-22 1.701745181195096920e-22 0.000000000000000000e+00 6.453185505609502215e-01 1.668030856945370033e+04
5.138212621555014721e+02 5.138212621555014721e+02 -5.857704196878780749e+02 -6.769436177277074347e-21 -0.000000000000000000e+00 -6.769436177277074347e-21 -6.548084409766279117e-21 0.000000000000000000e+00 6.453127253595750679e-01 1.670102195524759736e+04
5.144510442651079529e+02 5.144510442651079529e+02 -5.851406375782715941e+02 1.654879478362267024e-21 0.000000000000000000e+00 1.654879478362267024e-21 1.644405434671551830e-21 0.000000000000000000e+00 6.453069001581999142e-01 1.672173534104149076e+04
5.150808263747144338e+02 5.150808263747144338e+02 -5.845108554686651132e+02 1.744559053787391385e-21 -0.000000000000000000e+00 1.744559053787391385e-21 1.751072273162263693e-21 0.000000000000000000e+00 6.453010749568248716e-01 1.674244872683538051e+04
5.157106084843209146e+02 5.157106084843209146e+02 -5.838810733590586324e+02 -7.692351678888537905e-21 -0.000000000000000000e+00 -7.692351678888537905e-21 -7.705280304954151363e-21 0.000000000000000000e+00 6.452952497554497180e-01 1.676316211262927391e+04
5.163403905939273955e+02 5.163403905939273955e+02 -5.832512912494521515e+02 -7.499364578746861975e-23 -0.000000000000000000e+00 -7.499364578746861975e-23 -8.021200652291276816e-23 0.000000000000000000e+00 6.452894236150187313e-01 1.678387834388205738e+04
5.169701727035339900e+02 5.169701727035339900e+02 -5.826215091398455570e+02 2.301971854969390524e-21 -0.000000000000000000e+00 2.301971854969390524e-21 2.303219688187159200e-21 0.000000000000000000e+00 6.452835961620407845e-01 1.680459855231937036e+04
5.175999548131404708e+02 5.175999548131404708e+02 -5.819917270302390762e+02 -2.356011612790326530e-21 0.000000000000000000e+00 -2.356011612790326530e-21 -2.311364712095329552e-21 0.000000000000000000e+00 6.452777687090628378e-01 1.682531876075668333e+04
5.182297369227469517e+02 5.182297369227469517e+02 -5.813619449206325953e+02 -4.248468252418035954e-21 -0.000000000000000000e+00 -4.248468252418035954e-21 -4.325191882231148945e-21 0.000000000000000000e+00 6.452719412560847800e-01 1.684603896919399267e+04
5.188595190323534325e+02 5.188595190323534325e+02 -5.807321628110261145e+02 2.194671578771920119e-21 -0.000000000000000000e+00 2.194671578771920119e-21 2.188835790735517908e-21 0.000000000000000000e+00 6.452661138031068333e-01 1.686675917763130201e+04
5.194893011419600271e+02 5.194893011419600271e+02 -5.801023807014195199e+02 6.874043384997798467e-22 0.000000000000000000e+00 6.874043384997798467e-22 7.141396342796109937e-22 0.000000000000000000e+00 6.452602863501288866e-01 1.688747938606861499e+04
5.201190832515665079e+02 5.201190832515665079e+02 -5.794725985918130391e+02 5.493352985240761534e-21 -0.000000000000000000e+00 5.493352985240761534e-21 6.743063658247003218e-21 0.000000000000000000e+00 6.452544588971509398e-01 1.690819959450592432e+04
5.207488653611729887e+02 5.207488653611729887e+02 -5.788428164822065582e+02 1.378765714918714833e-21 0.000000000000000000e+00 1.378765714918714833e-21 1.362235797865303010e-21 0.000000000000000000e+00 6.452486314441728821e-01 1.692891980294323366e+04
5.213786474707794696e+02 5.213786474707794696e+02 -5.782130343726000774e+02 1.938665849599466495e-21 -0.000000000000000000e+00 1.938665849599466495e-21 1.946632868238258075e-21 0.000000000000000000e+00 6.452428039911949353e-01 1.694964001138054664e+04
5.220084295803860641e+02 5.220084295803860641e+02 -5.775832522629934829e+02 -7.256327851800350541e-21 -0.000000000000000000e+00 -7.256327851800350541e-21 -7.210378257155194551e-21 0.000000000000000000e+00 6.452369765382169886e-01 1.697036021981785962e+04
5.226382116899925450e+02 5.226382116899925450e+02 -5.769534701533870020e+02 -6.751093482446692350e-22 0.000000000000000000e+00 -6.751093482446692350e-22 -6.869250429099193065e-22 0.000000000000000000e+00 6.452311490852390419e-01 1.699108042825516895e+04
5.232679937995990258e+02 5.232679937995990258e+02 -5.763236880437805212e+02 2.331126355979532256e-21 -0.000000000000000000e+00 2.331126355979532256e-21 2.331193547698053622e-21 0.000000000000000000e+00 6.452253212004328553e-01 1.701180194506537373e+04
5.238977759092055067e+02 5.238977759092055067e+02 -5.756939059341740403e+02 -1.504760345249884291e-21 -0.000000000000000000e+00 -1.504760345249884291e-21 -1.483920941515750012e-21 0.000000000000000000e+00 6.452194914943367721e-01 1.703252898010284116e+04
